(-6, -6, -6), [2, 2, 2], 3.11.as_fl_axo 
(-6, -6, -5), [2, 2, 3], 3.11.ar_ez_avi 
(-6, -6, -4), [2, 2, 0], 3.11.aq_en_atc 
(-6, -5, -5), [2, 3, 3], 3.11.aq_eo_ati 
(-6, -6, -3), [2, 2, 1], 3.11.ap_eb_aqw 
(-6, -5, -4), [2, 3, 0], 3.11.ap_ed_ari 
(-5, -5, -5), [3, 3, 3], 3.11.ap_ee_arn 
(-6, -6, -2), [2, 2, 2], 3.11.ao_dp_aoq 
(-6, -5, -3), [2, 3, 1], 3.11.ao_ds_api 
(-6, -4, -4), [2, 0, 0], 3.11.ao_dt_apo 
(-5, -5, -4), [3, 3, 0], 3.11.ao_du_aps 
(-6, -6, -1), [2, 2, 3], 3.11.an_dd_amk 
(-6, -5, -2), [2, 3, 2], 3.11.an_dh_ani 
(-6, -4, -3), [2, 0, 1], 3.11.an_dj_anu 
(-5, -5, -3), [3, 3, 1], 3.11.an_dk_anx 
(-5, -4, -4), [3, 0, 0], 3.11.an_dl_aoc 
(-5, -4, -3), [3, 0, 1], 3.11.am_dc_amm 
(-5, -5, -1), [3, 3, 3], 3.11.al_cq_akh 
(-6, -3, -2), [2, 1, 2], 3.11.al_cr_aks 
(-5, -4, -2), [3, 0, 2], 3.11.al_ct_akw 
(-5, -3, -3), [3, 1, 1], 3.11.al_cu_alb 
(-4, -4, -3), [0, 0, 1], 3.11.al_cv_ale 
(-4, -4, -2), [0, 0, 2], 3.11.ak_cn_ajs 
(-4, -3, -3), [0, 1, 1], 3.11.ak_co_ajw 
(-5, -5, 1), [3, 3, 1], 3.11.aj_bw_agr 
(-5, -3, -1), [3, 1, 3], 3.11.aj_ce_aif 
(-5, -2, -2), [3, 2, 2], 3.11.aj_cf_aik 
(-4, -4, -1), [0, 0, 3], 3.11.aj_cf_aig 
(-4, -3, -2), [0, 1, 2], 3.11.aj_ch_aio 
(-3, -3, -3), [1, 1, 1], 3.11.aj_ci_air 
(-3, -3, -2), [1, 1, 2], 3.11.ai_cc_ahm 
(-5, -5, 3), [3, 3, 3], 3.11.ah_bc_adb 
(-5, -3, 1), [3, 1, 1], 3.11.ah_bo_afj 
(-5, -1, -1), [3, 3, 3], 3.11.ah_bs_agd 
(-4, -2, -1), [0, 2, 3], 3.11.ah_bv_agg 
(-3, -3, -1), [1, 1, 3], 3.11.ah_bw_agh 
(-3, -2, -2), [1, 2, 2], 3.11.ah_bx_agk 
(-3, -2, -1), [1, 2, 3], 3.11.ag_bs_afi 
(-6, -5, 6), [2, 3, 2], 3.11.af_ad_cs 
(-5, -5, 5), [3, 3, 1], 3.11.af_i_p 
(-5, -3, 3), [3, 1, 3], 3.11.af_y_acn 
(-5, -1, 1), [3, 3, 1], 3.11.af_bg_aeb 
(-3, -3, 1), [1, 1, 1], 3.11.af_bk_adx 
(-3, -1, -1), [1, 3, 3], 3.11.af_bo_aej 
(-2, -2, -1), [2, 2, 3], 3.11.af_bp_aek 
(-2, -1, -1), [2, 3, 3], 3.11.ae_bm_adm 
(-5, -3, 5), [3, 1, 1], 3.11.ad_i_j 
(-5, -1, 3), [3, 3, 3], 3.11.ad_u_abz 
(-5, 1, 1), [3, 1, 1], 3.11.ad_y_act 
(-3, -3, 3), [1, 1, 3], 3.11.ad_y_abn 
(-3, -1, 1), [1, 3, 1], 3.11.ad_bg_acl 
(-2, -2, 1), [2, 2, 1], 3.11.ad_bh_ack 
(-1, -1, -1), [3, 3, 3], 3.11.ad_bk_acp 
(-5, -1, 5), [3, 3, 1], 3.11.ab_i_d 
(-3, -3, 5), [1, 1, 1], 3.11.ab_m_x 
(-5, 1, 3), [3, 1, 3], 3.11.ab_q_abl 
(-3, -1, 3), [1, 3, 3], 3.11.ab_y_an 
(-3, 1, 1), [1, 1, 1], 3.11.ab_bc_az 
(-2, -1, 2), [2, 3, 2], 3.11.ab_bd_as 
(-1, -1, 1), [3, 3, 1], 3.11.ab_bg_av 
(-5, 1, 5), [3, 1, 1], 3.11.b_i_ad 
(-5, 3, 3), [3, 3, 3], 3.11.b_m_ax 
(-3, -1, 5), [1, 3, 1], 3.11.b_q_bl 
