(-7, -7, -7), [1, 1, 1], 3.13.av_he_abif 
(-7, -7, -6), [1, 1, 2], 3.13.au_gq_abfi 
(-7, -7, -5), [1, 1, 3], 3.13.at_gc_abcl 
(-7, -6, -6), [1, 2, 2], 3.13.at_gd_abcs 
(-7, -7, -4), [1, 1, 0], 3.13.as_fo_azo 
(-7, -6, -5), [1, 2, 3], 3.13.as_fq_abac 
(-6, -6, -6), [2, 2, 2], 3.13.as_fr_abai 
(-7, -7, -3), [1, 1, 1], 3.13.ar_fa_awr 
(-7, -6, -4), [1, 2, 0], 3.13.ar_fd_axm 
(-7, -5, -5), [1, 3, 3], 3.13.ar_fe_axt 
(-6, -6, -5), [2, 2, 3], 3.13.ar_ff_axy 
(-7, -7, -2), [1, 1, 2], 3.13.aq_em_atu 
(-7, -6, -3), [1, 2, 1], 3.13.aq_eq_auw 
(-7, -5, -4), [1, 3, 0], 3.13.aq_es_avk 
(-6, -6, -4), [2, 2, 0], 3.13.aq_et_avo 
(-6, -5, -5), [2, 3, 3], 3.13.aq_eu_avu 
(-7, -7, -1), [1, 1, 3], 3.13.ap_dy_aqx 
(-7, -6, -2), [1, 2, 2], 3.13.ap_ed_asg 
(-7, -5, -3), [1, 3, 1], 3.13.ap_eg_atb 
(-7, -4, -4), [1, 0, 0], 3.13.ap_eh_ati 
(-6, -6, -3), [2, 2, 1], 3.13.ap_eh_ate 
(-6, -5, -4), [2, 3, 0], 3.13.ap_ej_atq 
(-5, -5, -5), [3, 3, 3], 3.13.ap_ek_atv 
(-7, -5, -2), [1, 3, 2], 3.13.ao_du_aqs 
(-7, -4, -3), [1, 0, 1], 3.13.ao_dw_arg 
(-5, -5, -4), [3, 3, 0], 3.13.ao_ea_arw 
(-7, -7, 1), [1, 1, 1], 3.13.an_cw_ald 
(-7, -5, -1), [1, 3, 3], 3.13.an_di_aoj 
(-6, -6, -1), [2, 2, 3], 3.13.an_dj_aok 
(-7, -3, -3), [1, 1, 1], 3.13.an_dm_apl 
(-6, -5, -2), [2, 3, 2], 3.13.an_dn_api 
(-6, -4, -3), [2, 0, 1], 3.13.an_dp_apu 
(-5, -5, -3), [3, 3, 1], 3.13.an_dq_apx 
(-5, -4, -4), [3, 0, 0], 3.13.an_dr_aqc 
(-5, -4, -3), [3, 0, 1], 3.13.am_di_aoi 
(-7, -7, 3), [1, 1, 3], 3.13.al_bu_afj 
(-7, -5, 1), [1, 3, 1], 3.13.al_ck_ajr 
(-7, -3, -1), [1, 1, 3], 3.13.al_cs_alv 
(-5, -5, -1), [3, 3, 3], 3.13.al_cw_alz 
(-6, -3, -2), [2, 1, 2], 3.13.al_cx_amk 
(-5, -4, -2), [3, 0, 2], 3.13.al_cz_amo 
(-5, -3, -3), [3, 1, 1], 3.13.al_da_amt 
(-4, -4, -3), [0, 0, 1], 3.13.al_db_amw 
(-4, -3, -3), [0, 1, 1], 3.13.ak_cu_alk 
(-7, -7, 5), [1, 1, 1], 3.13.aj_s_l 
(-7, -5, 3), [1, 3, 3], 3.13.aj_bm_aez 
(-7, -3, 1), [1, 1, 1], 3.13.aj_by_aif 
(-7, -1, -1), [1, 3, 3], 3.13.aj_cc_ajh 
(-5, -5, 1), [3, 3, 1], 3.13.aj_cc_aib 
(-5, -3, -1), [3, 1, 3], 3.13.aj_ck_ajp 
(-5, -2, -2), [3, 2, 2], 3.13.aj_cl_aju 
(-4, -4, -1), [0, 0, 3], 3.13.aj_cl_ajq 
(-4, -3, -2), [0, 1, 2], 3.13.aj_cn_ajy 
(-3, -3, -3), [1, 1, 1], 3.13.aj_co_akb 
(-4, -2, -2), [0, 2, 2], 3.13.ai_ch_aiq 
(-3, -3, -2), [1, 1, 2], 3.13.ai_ci_ais 
(-7, -7, 7), [1, 1, 3], 3.13.ah_ak_gf 
