(-8, -8, -8), [11, 11, 11], 3.19.ay_jp_accu 
(-8, -8, -7), [11, 11, 12], 3.19.ax_iz_abyw 
(-8, -8, -6), [11, 11, 13], 3.19.aw_ij_abuy 
(-8, -7, -7), [11, 12, 12], 3.19.aw_ik_abvg 
(-8, -8, -5), [11, 11, 14], 3.19.av_ht_abra 
(-8, -7, -6), [11, 12, 13], 3.19.av_hv_abrq 
(-7, -7, -7), [12, 12, 12], 3.19.av_hw_abrx 
(-8, -7, -5), [11, 12, 14], 3.19.au_hg_aboa 
(-7, -7, -6), [12, 12, 13], 3.19.au_hi_aboo 
(-8, -8, -3), [11, 11, 16], 3.19.at_gn_abje 
(-8, -7, -4), [11, 12, 15], 3.19.at_gr_abkk 
(-8, -6, -5), [11, 13, 14], 3.19.at_gt_abla 
(-7, -7, -5), [12, 12, 14], 3.19.at_gu_ablf 
(-7, -6, -6), [12, 13, 13], 3.19.at_gv_ablm 
(-7, -6, -5), [12, 13, 14], 3.19.as_gi_abik 
(-8, -6, -3), [11, 13, 16], 3.19.ar_fr_abek 
(-7, -7, -3), [12, 12, 16], 3.19.ar_fs_aben 
(-8, -5, -4), [11, 14, 15], 3.19.ar_ft_abfa 
(-7, -6, -4), [12, 13, 15], 3.19.ar_fv_abfi 
(-7, -5, -5), [12, 14, 14], 3.19.ar_fw_abfp 
(-6, -6, -5), [13, 13, 14], 3.19.ar_fx_abfu 
(-6, -5, -5), [13, 14, 14], 3.19.aq_fm_abde 
(-7, -7, -1), [12, 12, 18], 3.19.ap_eq_axv 
(-7, -5, -3), [12, 14, 16], 3.19.ap_ey_azz 
(-7, -4, -4), [12, 15, 15], 3.19.ap_ez_abag 
(-6, -6, -3), [13, 13, 16], 3.19.ap_ez_abac 
(-6, -5, -4), [13, 14, 15], 3.19.ap_fb_abao 
(-5, -5, -5), [14, 14, 14], 3.19.ap_fc_abat 
(-6, -4, -4), [13, 15, 15], 3.19.ao_er_aye 
(-5, -5, -4), [14, 14, 15], 3.19.ao_es_ayi 
(-7, -7, 1), [12, 12, 1], 3.19.an_do_ard 
(-7, -5, -1), [12, 14, 18], 3.19.an_ea_auj 
(-7, -3, -3), [12, 16, 16], 3.19.an_ee_avl 
(-6, -5, -2), [13, 14, 17], 3.19.an_ef_avi 
(-6, -4, -3), [13, 15, 16], 3.19.an_eh_avu 
(-5, -5, -3), [14, 14, 16], 3.19.an_ei_avx 
(-5, -4, -4), [14, 15, 15], 3.19.an_ej_awc 
(-5, -4, -3), [14, 15, 16], 3.19.am_ea_atw 
(-7, -7, 3), [12, 12, 3], 3.19.al_cm_akl 
(-7, -5, 1), [12, 14, 1], 3.19.al_dc_aot 
(-7, -3, -1), [12, 16, 18], 3.19.al_dk_aqx 
(-5, -5, -1), [14, 14, 18], 3.19.al_do_arb 
(-6, -3, -2), [13, 16, 17], 3.19.al_dp_arm 
(-5, -4, -2), [14, 15, 17], 3.19.al_dr_arq 
(-5, -3, -3), [14, 16, 16], 3.19.al_ds_arv 
(-4, -4, -3), [15, 15, 16], 3.19.al_dt_ary 
(-5, -3, -2), [14, 16, 17], 3.19.ak_dk_apu 
(-4, -4, -2), [15, 15, 17], 3.19.ak_dl_apw 
(-4, -3, -3), [15, 16, 16], 3.19.ak_dm_aqa 
(-7, -7, 5), [12, 12, 5], 3.19.aj_bk_adt 
(-7, -5, 3), [12, 14, 3], 3.19.aj_ce_ajd 
(-7, -3, 1), [12, 16, 1], 3.19.aj_cq_amj 
(-7, -1, -1), [12, 18, 18], 3.19.aj_cu_anl 
(-5, -5, 1), [14, 14, 1], 3.19.aj_cu_amf 
(-5, -3, -1), [14, 16, 18], 3.19.aj_dc_ant 
(-5, -2, -2), [14, 17, 17], 3.19.aj_dd_any 
(-4, -4, -1), [15, 15, 18], 3.19.aj_dd_anu 
(-4, -3, -2), [15, 16, 17], 3.19.aj_df_aoc 
(-3, -3, -3), [16, 16, 16], 3.19.aj_dg_aof 
(-3, -3, -2), [16, 16, 17], 3.19.ai_da_amk 
(-7, -7, 7), [12, 12, 7], 3.19.ah_i_cz 
(-7, -5, 5), [12, 14, 5], 3.19.ah_bg_adn 
(-7, -3, 3), [12, 16, 3], 3.19.ah_bw_ahv 
(-5, -5, 3), [14, 14, 3], 3.19.ah_ca_ahj 
(-7, -1, 1), [12, 18, 1], 3.19.ah_ce_ajz 
(-5, -3, 1), [14, 16, 1], 3.19.ah_cm_ajr 
(-5, -1, -1), [14, 18, 18], 3.19.ah_cq_akl 
(-4, -2, -1), [15, 17, 18], 3.19.ah_ct_ako 
(-3, -3, -1), [16, 16, 18], 3.19.ah_cu_akp 
(-3, -2, -2), [16, 17, 17], 3.19.ah_cv_aks 
(-3, -2, -1), [16, 17, 18], 3.19.ag_cq_aja 
(-7, -5, 7), [12, 14, 7], 3.19.af_i_cd 
(-7, -3, 5), [12, 16, 5], 3.19.af_bc_adh 
(-5, -5, 5), [14, 14, 5], 3.19.af_bg_acn 
(-7, -1, 3), [12, 18, 3], 3.19.af_bo_agn 
(-7, 1, 1), [12, 1, 1], 3.19.af_bs_ahp 
(-5, -3, 3), [14, 16, 3], 3.19.af_bw_afp 
(-5, -1, 1), [14, 18, 1], 3.19.af_ce_ahd 
(-3, -3, 1), [16, 16, 1], 3.19.af_ci_agz 
(-3, -1, -1), [16, 18, 18], 3.19.af_cm_ahl 
(-2, -2, -1), [17, 17, 18], 3.19.af_cn_ahm 
(-2, -1, -1), [17, 18, 18], 3.19.ae_ck_afy 
(-7, -3, 7), [12, 16, 7], 3.19.ad_i_bh 
(-5, -5, 7), [14, 14, 7], 3.19.ad_m_cj 
(-7, -1, 5), [12, 18, 5], 3.19.ad_y_adb 
(-7, 1, 3), [12, 1, 3], 3.19.ad_bg_aff 
(-5, -3, 5), [14, 16, 5], 3.19.ad_bg_abn 
(-5, -1, 3), [14, 18, 3], 3.19.ad_bs_adv 
(-5, 1, 1), [14, 1, 1], 3.19.ad_bw_aep 
(-3, -3, 3), [16, 16, 3], 3.19.ad_bw_adj 
(-3, -1, 1), [16, 18, 1], 3.19.ad_ce_aeh 
(-2, -2, 1), [17, 17, 1], 3.19.ad_cf_aeg 
(-1, -1, -1), [18, 18, 18], 3.19.ad_ci_ael 
(-7, -1, 7), [12, 18, 7], 3.19.ab_i_l 
(-5, -3, 7), [14, 16, 7], 3.19.ab_q_cp 
(-7, 1, 5), [12, 1, 5], 3.19.ab_u_acv 
(-7, 3, 3), [12, 3, 3], 3.19.ab_y_adx 
(-5, -1, 5), [14, 18, 5], 3.19.ab_bg_an 
(-3, -3, 5), [16, 16, 5], 3.19.ab_bk_h 
(-5, 1, 3), [14, 1, 3], 3.19.ab_bo_acb 
(-3, -1, 3), [16, 18, 3], 3.19.ab_bw_abd 
(-3, 1, 1), [16, 1, 1], 3.19.ab_ca_abp 
(-2, -1, 2), [17, 18, 2], 3.19.ab_cb_abi 
(-1, -1, 1), [18, 18, 1], 3.19.ab_ce_abl 
(-7, 1, 7), [12, 1, 7], 3.19.b_i_al 
(-7, 3, 5), [12, 3, 5], 3.19.b_q_acp 
(-5, -1, 7), [14, 18, 7], 3.19.b_u_cv 
(-3, -3, 7), [16, 16, 7], 3.19.b_y_dx 
(-5, 1, 5), [14, 1, 5], 3.19.b_bg_n 
