(-2, -2, -2), [1, 1, 1], 3.3.ag_v_abs 
(-2, -2, -1), [1, 1, 2], 3.3.af_r_abi 
(-2, -1, -1), [1, 2, 2], 3.3.ae_o_aba 
(-2, -2, 1), [1, 1, 1], 3.3.ad_j_ao 
(-1, -1, -1), [2, 2, 2], 3.3.ad_m_at 
(-2, -1, 1), [1, 2, 1], 3.3.ac_i_ak 
(-2, -1, 2), [1, 2, 2], 3.3.ab_f_ac 
(-1, -1, 1), [2, 2, 1], 3.3.ab_i_af 
(-2, 1, 1), [1, 1, 1], 3.3.a_g_ac 
(-1, -1, 2), [2, 2, 2], 3.3.a_g_c 
(-2, 1, 2), [1, 1, 2], 3.3.b_f_c 
(-1, 1, 1), [2, 1, 1], 3.3.b_i_f 
(-1, 1, 2), [2, 1, 2], 3.3.c_i_k 
(-1, 2, 2), [2, 2, 2], 3.3.d_j_o 
(1, 1, 1), [1, 1, 1], 3.3.d_m_t 
(1, 1, 2), [1, 1, 2], 3.3.e_o_ba 
(1, 2, 2), [1, 2, 2], 3.3.f_r_bi 
(2, 2, 2), [2, 2, 2], 3.3.g_v_bs 
