(-4, -4, -4), [1, 1, 1], 3.5.am_cl_ahc 
(-4, -4, -3), [1, 1, 2], 3.5.al_cd_agc 
(-4, -4, -2), [1, 1, 3], 3.5.ak_bv_afc 
(-4, -3, -3), [1, 2, 2], 3.5.ak_bw_afg 
(-4, -4, -1), [1, 1, 4], 3.5.aj_bn_aec 
(-4, -3, -2), [1, 2, 3], 3.5.aj_bp_aek 
(-3, -3, -3), [2, 2, 2], 3.5.aj_bq_aen 
(-4, -3, -1), [1, 2, 4], 3.5.ai_bi_ado 
(-4, -2, -2), [1, 3, 3], 3.5.ai_bj_ads 
(-3, -3, -2), [2, 2, 3], 3.5.ai_bk_adu 
(-4, -4, 1), [1, 1, 1], 3.5.ah_x_acc 
(-4, -2, -1), [1, 3, 4], 3.5.ah_bd_ada 
(-3, -3, -1), [2, 2, 4], 3.5.ah_be_adb 
(-3, -2, -2), [2, 3, 3], 3.5.ah_bf_ade 
(-3, -2, -1), [2, 3, 4], 3.5.ag_ba_aco 
(-4, -4, 3), [1, 1, 3], 3.5.af_h_ac 
(-3, -3, 1), [2, 2, 1], 3.5.af_s_abp 
(-3, -1, -1), [2, 4, 4], 3.5.af_w_acb 
(-2, -2, -1), [3, 3, 4], 3.5.af_x_acc 
(-4, -4, 4), [1, 1, 4], 3.5.ae_ab_y 
(-2, -1, -1), [3, 4, 4], 3.5.ae_u_abq 
(-4, -3, 4), [1, 2, 4], 3.5.ad_ab_s 
(-3, -3, 3), [2, 2, 3], 3.5.ad_g_ad 
(-3, -1, 1), [2, 4, 1], 3.5.ad_o_abb 
(-2, -2, 1), [3, 3, 1], 3.5.ad_p_aba 
(-1, -1, -1), [4, 4, 4], 3.5.ad_s_abf 
(-3, -1, 3), [2, 4, 3], 3.5.ab_g_ab 
(-3, 1, 1), [2, 1, 1], 3.5.ab_k_an 
(-2, -1, 2), [3, 4, 2], 3.5.ab_l_ag 
(-1, -1, 1), [4, 4, 1], 3.5.ab_o_aj 
(-3, 1, 3), [2, 1, 3], 3.5.b_g_b 
(-1, -1, 3), [4, 4, 3], 3.5.b_k_n 
(-2, 1, 2), [3, 1, 2], 3.5.b_l_g 
(-1, 1, 1), [4, 1, 1], 3.5.b_o_j 
(-4, 3, 4), [1, 3, 4], 3.5.d_ab_as 
(-3, 3, 3), [2, 3, 3], 3.5.d_g_d 
(-1, 1, 3), [4, 1, 3], 3.5.d_o_bb 
(-1, 2, 2), [4, 2, 2], 3.5.d_p_ba 
(1, 1, 1), [1, 1, 1], 3.5.d_s_bf 
(-4, 4, 4), [1, 4, 4], 3.5.e_ab_ay 
(1, 1, 2), [1, 1, 2], 3.5.e_u_bq 
(-3, 4, 4), [2, 4, 4], 3.5.f_h_c 
(-1, 3, 3), [4, 3, 3], 3.5.f_s_bp 
(1, 1, 3), [1, 1, 3], 3.5.f_w_cb 
(1, 2, 2), [1, 2, 2], 3.5.f_x_cc 
(1, 2, 3), [1, 2, 3], 3.5.g_ba_co 
(-1, 4, 4), [4, 4, 4], 3.5.h_x_cc 
(1, 2, 4), [1, 2, 4], 3.5.h_bd_da 
(1, 3, 3), [1, 3, 3], 3.5.h_be_db 
(2, 2, 3), [2, 2, 3], 3.5.h_bf_de 
(1, 3, 4), [1, 3, 4], 3.5.i_bi_do 
(2, 2, 4), [2, 2, 4], 3.5.i_bj_ds 
(2, 3, 3), [2, 3, 3], 3.5.i_bk_du 
(1, 4, 4), [1, 4, 4], 3.5.j_bn_ec 
(2, 3, 4), [2, 3, 4], 3.5.j_bp_ek 
(3, 3, 3), [3, 3, 3], 3.5.j_bq_en 
(2, 4, 4), [2, 4, 4], 3.5.k_bv_fc 
(3, 3, 4), [3, 3, 4], 3.5.k_bw_fg 
(3, 4, 4), [3, 4, 4], 3.5.l_cd_gc 
(4, 4, 4), [4, 4, 4], 3.5.m_cl_hc 
