(-5, -5, -5), [2, 2, 2], 3.7.ap_ds_amx 
(-5, -5, -4), [2, 2, 3], 3.7.ao_di_alk 
(-5, -5, -3), [2, 2, 4], 3.7.an_cy_ajx 
(-5, -4, -4), [2, 3, 3], 3.7.an_cz_akc 
(-5, -5, -2), [2, 2, 5], 3.7.am_co_aik 
(-5, -4, -3), [2, 3, 4], 3.7.am_cq_aiu 
(-4, -4, -4), [3, 3, 3], 3.7.am_cr_aiy 
(-5, -5, -1), [2, 2, 6], 3.7.al_ce_agx 
(-5, -4, -2), [2, 3, 5], 3.7.al_ch_ahm 
(-5, -3, -3), [2, 4, 4], 3.7.al_ci_ahr 
(-4, -4, -3), [3, 3, 4], 3.7.al_cj_ahu 
(-5, -4, -1), [2, 3, 6], 3.7.ak_by_age 
(-5, -3, -2), [2, 4, 5], 3.7.ak_ca_ago 
(-4, -4, -2), [3, 3, 5], 3.7.ak_cb_agq 
(-4, -3, -3), [3, 4, 4], 3.7.ak_cc_agu 
(-5, -5, 1), [2, 2, 1], 3.7.aj_bk_adx 
(-5, -3, -1), [2, 4, 6], 3.7.aj_bs_afl 
(-5, -2, -2), [2, 5, 5], 3.7.aj_bt_afq 
(-4, -4, -1), [3, 3, 6], 3.7.aj_bt_afm 
(-4, -3, -2), [3, 4, 5], 3.7.aj_bv_afu 
(-3, -3, -3), [4, 4, 4], 3.7.aj_bw_afx 
(-3, -3, -2), [4, 4, 5], 3.7.ai_bq_afa 
(-5, -5, 3), [2, 2, 3], 3.7.ah_q_ax 
(-5, -3, 1), [2, 4, 1], 3.7.ah_bc_adf 
(-5, -1, -1), [2, 6, 6], 3.7.ah_bg_adz 
(-4, -2, -1), [3, 5, 6], 3.7.ah_bj_aec 
(-3, -3, -1), [4, 4, 6], 3.7.ah_bk_aed 
(-3, -2, -2), [4, 5, 5], 3.7.ah_bl_aeg 
(-5, -5, 4), [2, 2, 4], 3.7.ag_g_q 
(-3, -2, -1), [4, 5, 6], 3.7.ag_bg_adm 
(-5, -5, 5), [2, 2, 5], 3.7.af_ae_cd 
(-5, -3, 3), [2, 4, 3], 3.7.af_m_az 
(-5, -1, 1), [2, 6, 1], 3.7.af_u_acn 
(-3, -3, 1), [4, 4, 1], 3.7.af_y_acj 
(-3, -1, -1), [4, 6, 6], 3.7.af_bc_acv 
(-2, -2, -1), [5, 5, 6], 3.7.af_bd_acw 
(-2, -1, -1), [5, 6, 6], 3.7.ae_ba_acg 
(-5, -3, 5), [2, 4, 5], 3.7.ad_ae_bh 
(-5, -1, 3), [2, 6, 3], 3.7.ad_i_abb 
(-5, 1, 1), [2, 1, 1], 3.7.ad_m_abv 
(-3, -3, 3), [4, 4, 3], 3.7.ad_m_ap 
(-3, -1, 1), [4, 6, 1], 3.7.ad_u_abn 
(-2, -2, 1), [5, 5, 1], 3.7.ad_v_abm 
(-1, -1, -1), [6, 6, 6], 3.7.ad_y_abr 
(-5, -1, 5), [2, 6, 5], 3.7.ab_ae_l 
(-3, -3, 5), [4, 4, 5], 3.7.ab_a_bf 
(-5, 1, 3), [2, 1, 3], 3.7.ab_e_abd 
(-3, -1, 3), [4, 6, 3], 3.7.ab_m_af 
(-3, 1, 1), [4, 1, 1], 3.7.ab_q_ar 
(-2, -1, 2), [5, 6, 2], 3.7.ab_r_ak 
(-1, -1, 1), [6, 6, 1], 3.7.ab_u_an 
(-5, 1, 5), [2, 1, 5], 3.7.b_ae_al 
(-5, 3, 3), [2, 3, 3], 3.7.b_a_abf 
(-3, -1, 5), [4, 6, 5], 3.7.b_e_bd 
(-3, 1, 3), [4, 1, 3], 3.7.b_m_f 
(-1, -1, 3), [6, 6, 3], 3.7.b_q_r 
(-2, 1, 2), [5, 1, 2], 3.7.b_r_k 
(-1, 1, 1), [6, 1, 1], 3.7.b_u_n 
(-5, 3, 5), [2, 3, 5], 3.7.d_ae_abh 
(-3, 1, 5), [4, 1, 5], 3.7.d_i_bb 
(-3, 3, 3), [4, 3, 3], 3.7.d_m_p 
(-1, -1, 5), [6, 6, 5], 3.7.d_m_bv 
(-1, 1, 3), [6, 1, 3], 3.7.d_u_bn 
(-1, 2, 2), [6, 2, 2], 3.7.d_v_bm 
(1, 1, 1), [1, 1, 1], 3.7.d_y_br 
(1, 1, 2), [1, 1, 2], 3.7.e_ba_cg 
(-5, 5, 5), [2, 5, 5], 3.7.f_ae_acd 
(-3, 3, 5), [4, 3, 5], 3.7.f_m_z 
(-1, 1, 5), [6, 1, 5], 3.7.f_u_cn 
(-1, 3, 3), [6, 3, 3], 3.7.f_y_cj 
(1, 1, 3), [1, 1, 3], 3.7.f_bc_cv 
(1, 2, 2), [1, 2, 2], 3.7.f_bd_cw 
(-4, 5, 5), [3, 5, 5], 3.7.g_g_aq 
(1, 2, 3), [1, 2, 3], 3.7.g_bg_dm 
(-3, 5, 5), [4, 5, 5], 3.7.h_q_x 
(-1, 3, 5), [6, 3, 5], 3.7.h_bc_df 
(1, 1, 5), [1, 1, 5], 3.7.h_bg_dz 
(1, 2, 4), [1, 2, 4], 3.7.h_bj_ec 
(1, 3, 3), [1, 3, 3], 3.7.h_bk_ed 
(2, 2, 3), [2, 2, 3], 3.7.h_bl_eg 
(2, 3, 3), [2, 3, 3], 3.7.i_bq_fa 
(-1, 5, 5), [6, 5, 5], 3.7.j_bk_dx 
(1, 3, 5), [1, 3, 5], 3.7.j_bs_fl 
(1, 4, 4), [1, 4, 4], 3.7.j_bt_fm 
(2, 2, 5), [2, 2, 5], 3.7.j_bt_fq 
(2, 3, 4), [2, 3, 4], 3.7.j_bv_fu 
(3, 3, 3), [3, 3, 3], 3.7.j_bw_fx 
(1, 4, 5), [1, 4, 5], 3.7.k_by_ge 
(2, 3, 5), [2, 3, 5], 3.7.k_ca_go 
(2, 4, 4), [2, 4, 4], 3.7.k_cb_gq 
(3, 3, 4), [3, 3, 4], 3.7.k_cc_gu 
(1, 5, 5), [1, 5, 5], 3.7.l_ce_gx 
(2, 4, 5), [2, 4, 5], 3.7.l_ch_hm 
(3, 3, 5), [3, 3, 5], 3.7.l_ci_hr 
(3, 4, 4), [3, 4, 4], 3.7.l_cj_hu 
(2, 5, 5), [2, 5, 5], 3.7.m_co_ik 
(3, 4, 5), [3, 4, 5], 3.7.m_cq_iu 
(4, 4, 4), [4, 4, 4], 3.7.m_cr_iy 
(3, 5, 5), [3, 5, 5], 3.7.n_cy_jx 
(4, 4, 5), [4, 4, 5], 3.7.n_cz_kc 
(4, 5, 5), [4, 5, 5], 3.7.o_di_lk 
(5, 5, 5), [5, 5, 5], 3.7.p_ds_mx 
