(-5, -5, -5), [4, 4, 4], 3.9.ap_dy_apf 
(-5, -5, -4), [4, 4, 5], 3.9.ao_do_ano 
(-5, -4, -4), [4, 5, 5], 3.9.an_df_amc 
(-5, -5, -2), [4, 4, 7], 3.9.am_cu_akg 
(-4, -4, -4), [5, 5, 5], 3.9.am_cx_aku 
(-5, -5, -1), [4, 4, 8], 3.9.al_ck_aip 
(-5, -4, -2), [4, 5, 7], 3.9.al_cn_aje 
(-5, -5, 1), [4, 4, 1], 3.9.aj_bq_afh 
(-5, -2, -2), [4, 7, 7], 3.9.aj_bz_aha 
(-4, -4, -1), [5, 5, 8], 3.9.aj_bz_agw 
(-4, -2, -2), [5, 7, 7], 3.9.ai_bv_age 
(-5, -1, -1), [4, 8, 8], 3.9.ah_bm_afb 
(-4, -2, -1), [5, 7, 8], 3.9.ah_bp_afe 
(-5, -5, 5), [4, 4, 5], 3.9.af_c_bj 
(-5, -1, 1), [4, 8, 1], 3.9.af_ba_adh 
(-2, -2, -1), [7, 7, 8], 3.9.af_bj_adq 
(-2, -1, -1), [7, 8, 8], 3.9.ae_bg_acw 
(-5, 1, 1), [4, 1, 1], 3.9.ad_s_ach 
(-2, -2, 1), [7, 7, 1], 3.9.ad_bb_aby 
(-1, -1, -1), [8, 8, 8], 3.9.ad_be_acd 
(-5, -1, 5), [4, 8, 5], 3.9.ab_c_h 
(-2, -1, 2), [7, 8, 2], 3.9.ab_x_ao 
(-1, -1, 1), [8, 8, 1], 3.9.ab_ba_ar 
(-5, 1, 5), [4, 1, 5], 3.9.b_c_ah 
(-2, 1, 2), [7, 1, 2], 3.9.b_x_o 
(-1, 1, 1), [8, 1, 1], 3.9.b_ba_r 
(-1, -1, 5), [8, 8, 5], 3.9.d_s_ch 
(-1, 2, 2), [8, 2, 2], 3.9.d_bb_by 
(1, 1, 1), [1, 1, 1], 3.9.d_be_cd 
(1, 1, 2), [1, 1, 2], 3.9.e_bg_cw 
(-5, 5, 5), [4, 5, 5], 3.9.f_c_abj 
(-1, 1, 5), [8, 1, 5], 3.9.f_ba_dh 
(1, 2, 2), [1, 2, 2], 3.9.f_bj_dq 
(1, 1, 5), [1, 1, 5], 3.9.h_bm_fb 
(1, 2, 4), [1, 2, 4], 3.9.h_bp_fe 
(2, 2, 4), [2, 2, 4], 3.9.i_bv_ge 
(-1, 5, 5), [8, 5, 5], 3.9.j_bq_fh 
(1, 4, 4), [1, 4, 4], 3.9.j_bz_gw 
(2, 2, 5), [2, 2, 5], 3.9.j_bz_ha 
(1, 5, 5), [1, 5, 5], 3.9.l_ck_ip 
(2, 4, 5), [2, 4, 5], 3.9.l_cn_je 
(2, 5, 5), [2, 5, 5], 3.9.m_cu_kg 
(4, 4, 4), [4, 4, 4], 3.9.m_cx_ku 
(4, 4, 5), [4, 4, 5], 3.9.n_df_mc 
(4, 5, 5), [4, 5, 5], 3.9.o_do_no 
(5, 5, 5), [5, 5, 5], 3.9.p_dy_pf 
