(-7, -6, -1), [1, 2, 3], 3.13.ao_dq_apq 
(-6, -6, -2), [2, 2, 2], 3.13.ao_dv_aqu 
(-6, -5, -3), [2, 3, 1], 3.13.ao_dy_arm 
(-6, -4, -4), [2, 0, 0], 3.13.ao_dz_ars 
(-7, -4, -2), [1, 0, 2], 3.13.an_dl_ape 
(-7, -7, 2), [1, 1, 2], 3.13.am_ci_aig 
(-7, -6, 1), [1, 2, 1], 3.13.am_cq_akk 
(-7, -4, -1), [1, 0, 3], 3.13.am_da_anc 
(-7, -3, -2), [1, 1, 2], 3.13.am_dc_anq 
(-6, -5, -1), [2, 3, 3], 3.13.am_dc_ane 
(-6, -4, -2), [2, 0, 2], 3.13.am_df_anw 
(-6, -3, -3), [2, 1, 1], 3.13.am_dg_aoc 
(-5, -5, -2), [3, 3, 2], 3.13.am_dg_any 
(-4, -4, -4), [0, 0, 0], 3.13.am_dj_aom 
(-7, -6, 2), [1, 2, 2], 3.13.al_cd_ahu 
(-6, -6, 1), [2, 2, 1], 3.13.al_cl_ajq 
(-7, -2, -2), [1, 2, 2], 3.13.al_ct_amc 
(-6, -4, -1), [2, 0, 3], 3.13.al_cv_aly 
(-7, -7, 4), [1, 1, 0], 3.13.ak_bg_acm 
(-7, -6, 3), [1, 2, 3], 3.13.ak_bq_afe 
(-7, -5, 2), [1, 3, 2], 3.13.ak_by_ahi 
(-6, -6, 2), [2, 2, 2], 3.13.ak_bz_ahg 
(-7, -4, 1), [1, 0, 1], 3.13.ak_ce_aiy 
(-6, -5, 1), [2, 3, 1], 3.13.ak_cg_aiw 
(-7, -2, -1), [1, 2, 3], 3.13.ak_ck_ako 
(-6, -3, -1), [2, 1, 3], 3.13.ak_co_aks 
(-6, -2, -2), [2, 2, 2], 3.13.ak_cp_aky 
(-5, -4, -1), [3, 0, 3], 3.13.ak_cq_aku 
(-5, -3, -2), [3, 1, 2], 3.13.ak_cs_ale 
(-4, -4, -2), [0, 0, 2], 3.13.ak_ct_alg 
(-7, -6, 4), [1, 2, 0], 3.13.aj_bd_aco 
(-6, -6, 3), [2, 2, 3], 3.13.aj_bn_aew 
(-7, -4, 2), [1, 0, 2], 3.13.aj_bt_agw 
(-6, -5, 2), [2, 3, 2], 3.13.aj_bv_ags 
(-6, -4, 1), [2, 0, 1], 3.13.aj_cb_aic 
(-6, -2, -1), [2, 2, 3], 3.13.aj_ch_ajm 
(-7, -7, 6), [1, 1, 2], 3.13.ai_e_di 
(-7, -6, 5), [1, 2, 1], 3.13.ai_q_c 
(-7, -5, 4), [1, 3, 0], 3.13.ai_ba_acq 
(-6, -6, 4), [2, 2, 0], 3.13.ai_bb_acm 
(-7, -4, 3), [1, 0, 3], 3.13.ai_bi_aeu 
(-6, -5, 3), [2, 3, 3], 3.13.ai_bk_aeo 
(-7, -3, 2), [1, 1, 2], 3.13.ai_bo_agk 
(-6, -4, 2), [2, 0, 2], 3.13.ai_br_age 
(-7, -2, 1), [1, 2, 1], 3.13.ai_bs_ahm 
(-5, -5, 2), [3, 3, 2], 3.13.ai_bs_agc 
(-6, -3, 1), [2, 1, 1], 3.13.ai_bw_ahi 
(-5, -4, 1), [3, 0, 1], 3.13.ai_by_ahg 
(-6, -1, -1), [2, 3, 3], 3.13.ai_ca_aig 
(-5, -2, -1), [3, 2, 3], 3.13.ai_ce_aik 
(-4, -3, -1), [0, 1, 3], 3.13.ai_cg_aim 
(-7, -6, 6), [1, 2, 2], 3.13.ah_d_cs 
(-6, -6, 5), [2, 2, 1], 3.13.ah_p_ac 
(-7, -4, 4), [1, 0, 0], 3.13.ah_x_acs 
(-6, -5, 4), [2, 3, 0], 3.13.ah_z_ack 
(-6, -4, 3), [2, 0, 3], 3.13.ah_bh_aeg 
(-7, -2, 2), [1, 2, 2], 3.13.ah_bj_afy 
(-6, -3, 2), [2, 1, 2], 3.13.ah_bn_afq 
(-5, -4, 2), [3, 0, 2], 3.13.ah_bp_afm 
(-6, -2, 1), [2, 2, 1], 3.13.ah_br_ago 
(-4, -4, 1), [0, 0, 1], 3.13.ah_bv_agk 
(-7, -6, 7), [1, 2, 3], 3.13.ag_ak_fi 
(-7, -5, 6), [1, 3, 2], 3.13.ag_c_cc 
(-6, -6, 6), [2, 2, 2], 3.13.ag_d_ci 
(-7, -4, 5), [1, 0, 1], 3.13.ag_m_aq 
(-6, -5, 5), [2, 3, 1], 3.13.ag_o_ag 
(-7, -3, 4), [1, 1, 0], 3.13.ag_u_acu 
(-6, -4, 4), [2, 0, 0], 3.13.ag_x_aci 
(-5, -5, 4), [3, 3, 0], 3.13.ag_y_ace 
(-7, -2, 3), [1, 2, 3], 3.13.ag_ba_aek 
(-7, -1, 2), [1, 3, 2], 3.13.ag_be_afm 
(-6, -3, 3), [2, 1, 3], 3.13.ag_be_ady 
(-5, -4, 3), [3, 0, 3], 3.13.ag_bg_ads 
(-6, -2, 2), [2, 2, 2], 3.13.ag_bj_afc 
(-6, -1, 1), [2, 3, 1], 3.13.ag_bm_afu 
(-5, -3, 2), [3, 1, 2], 3.13.ag_bm_aew 
(-4, -4, 2), [0, 0, 2], 3.13.ag_bn_aeu 
(-5, -2, 1), [3, 2, 1], 3.13.ag_bq_afq 
(-4, -3, 1), [0, 1, 1], 3.13.ag_bs_afo 
(-4, -1, -1), [0, 3, 3], 3.13.ag_bw_age 
(-2, -2, -2), [2, 2, 2], 3.13.ag_bz_agi 
(-6, -6, 7), [2, 2, 3], 3.13.af_aj_es 
(-7, -4, 6), [1, 0, 2], 3.13.af_b_bm 
(-6, -5, 6), [2, 3, 2], 3.13.af_d_by 
(-6, -4, 5), [2, 0, 1], 3.13.af_n_ak 
(-7, -2, 4), [1, 2, 0], 3.13.af_r_acw 
(-6, -3, 4), [2, 1, 0], 3.13.af_v_acg 
(-5, -4, 4), [3, 0, 0], 3.13.af_x_aby 
(-6, -2, 3), [2, 2, 3], 3.13.af_bb_adq 
(-6, -1, 2), [2, 3, 2], 3.13.af_bf_aeo 
(-4, -4, 3), [0, 0, 3], 3.13.af_bf_ade 
(-5, -2, 2), [3, 2, 2], 3.13.af_bj_aeg 
(-4, -3, 2), [0, 1, 2], 3.13.af_bl_aec 
(-4, -2, 1), [0, 2, 1], 3.13.af_bp_aes 
(-7, -4, 7), [1, 0, 3], 3.13.ae_ak_do 
(-6, -5, 7), [2, 3, 3], 3.13.ae_ai_ec 
(-7, -3, 6), [1, 1, 2], 3.13.ae_a_w 
(-6, -4, 6), [2, 0, 2], 3.13.ae_d_bo 
(-5, -5, 6), [3, 3, 2], 3.13.ae_e_bu 
(-7, -2, 5), [1, 2, 1], 3.13.ae_i_abi 
(-6, -3, 5), [2, 1, 1], 3.13.ae_m_ao 
(-7, -1, 4), [1, 3, 0], 3.13.ae_o_acy 
(-5, -4, 5), [3, 0, 1], 3.13.ae_o_ae 
(-6, -2, 4), [2, 2, 0], 3.13.ae_t_ace 
(-7, 1, 2), [1, 1, 2], 3.13.ae_u_aeo 
(-5, -3, 4), [3, 1, 0], 3.13.ae_w_abs 
