(-7, -5, -5), [9, 11, 11], 3.16.ar_fn_abbr 
(-7, -7, -1), [9, 9, 15], 3.16.ap_eh_auj 
(-7, -5, -3), [9, 11, 13], 3.16.ap_ep_awn 
(-7, -7, 1), [9, 9, 1], 3.16.an_df_aod 
(-7, -5, -1), [9, 11, 15], 3.16.an_dr_arj 
(-7, -3, -3), [9, 13, 13], 3.16.an_dv_asl 
(-5, -5, -3), [11, 11, 13], 3.16.an_dz_asx 
(-7, -7, 3), [9, 9, 3], 3.16.al_cd_ahx 
(-7, -5, 1), [9, 11, 1], 3.16.al_ct_amf 
(-7, -3, -1), [9, 13, 15], 3.16.al_db_aoj 
(-5, -5, -1), [11, 11, 15], 3.16.al_df_aon 
(-7, -7, 5), [9, 9, 5], 3.16.aj_bb_abr 
(-7, -5, 3), [9, 11, 3], 3.16.aj_bv_ahb 
(-7, -3, 1), [9, 13, 1], 3.16.aj_ch_akh 
(-7, -1, -1), [9, 15, 15], 3.16.aj_cl_alj 
(-5, -5, 1), [11, 11, 1], 3.16.aj_cl_akd 
(-5, -3, -1), [11, 13, 15], 3.16.aj_ct_alr 
(-3, -3, -3), [13, 13, 13], 3.16.aj_cx_amd 
(-7, -7, 7), [9, 9, 7], 3.16.ah_ab_ep 
(-7, -5, 5), [9, 11, 5], 3.16.ah_x_abx 
(-7, -3, 3), [9, 13, 3], 3.16.ah_bn_agf 
(-5, -5, 3), [11, 11, 3], 3.16.ah_br_aft 
(-7, -1, 1), [9, 15, 1], 3.16.ah_bv_aij 
(-5, -3, 1), [11, 13, 1], 3.16.ah_cd_aib 
(-5, -1, -1), [11, 15, 15], 3.16.ah_ch_aiv 
(-3, -3, -1), [13, 13, 15], 3.16.ah_cl_aiz 
(-7, -5, 7), [9, 11, 7], 3.16.af_ab_dh 
(-7, -3, 5), [9, 13, 5], 3.16.af_t_acd 
(-5, -5, 5), [11, 11, 5], 3.16.af_x_abj 
(-7, -1, 3), [9, 15, 3], 3.16.af_bf_afj 
(-7, 1, 1), [9, 1, 1], 3.16.af_bj_agl 
(-5, -3, 3), [11, 13, 3], 3.16.af_bn_ael 
(-5, -1, 1), [11, 15, 1], 3.16.af_bv_afz 
(-3, -3, 1), [13, 13, 1], 3.16.af_bz_afv 
(-3, -1, -1), [13, 15, 15], 3.16.af_cd_agh 
(-7, -3, 7), [9, 13, 7], 3.16.ad_ab_bz 
(-5, -5, 7), [11, 11, 7], 3.16.ad_d_db 
(-7, -1, 5), [9, 15, 5], 3.16.ad_p_acj 
(-7, 1, 3), [9, 1, 3], 3.16.ad_x_aen 
(-5, -3, 5), [11, 13, 5], 3.16.ad_x_av 
(-5, -1, 3), [11, 15, 3], 3.16.ad_bj_add 
(-5, 1, 1), [11, 1, 1], 3.16.ad_bn_adx 
(-3, -3, 3), [13, 13, 3], 3.16.ad_bn_acr 
(-3, -1, 1), [13, 15, 1], 3.16.ad_bv_adp 
(-1, -1, -1), [15, 15, 15], 3.16.ad_bz_adt 
(-7, -1, 7), [9, 15, 7], 3.16.ab_ab_r 
(-5, -3, 7), [11, 13, 7], 3.16.ab_h_cv 
(-7, 1, 5), [9, 1, 5], 3.16.ab_l_acp 
(-7, 3, 3), [9, 3, 3], 3.16.ab_p_adr 
(-5, -1, 5), [11, 15, 5], 3.16.ab_x_ah 
(-3, -3, 5), [13, 13, 5], 3.16.ab_bb_n 
(-5, 1, 3), [11, 1, 3], 3.16.ab_bf_abv 
(-3, -1, 3), [13, 15, 3], 3.16.ab_bn_ax 
(-3, 1, 1), [13, 1, 1], 3.16.ab_br_abj 
(-1, -1, 1), [15, 15, 1], 3.16.ab_bv_abf 
(-7, 1, 7), [9, 1, 7], 3.16.b_ab_ar 
(-7, 3, 5), [9, 3, 5], 3.16.b_h_acv 
(-5, -1, 7), [11, 15, 7], 3.16.b_l_cp 
(-3, -3, 7), [13, 13, 7], 3.16.b_p_dr 
(-5, 1, 5), [11, 1, 5], 3.16.b_x_h 
(-5, 3, 3), [11, 3, 3], 3.16.b_bb_an 
(-3, -1, 5), [13, 15, 5], 3.16.b_bf_bv 
(-3, 1, 3), [13, 1, 3], 3.16.b_bn_x 
(-1, -1, 3), [15, 15, 3], 3.16.b_br_bj 
(-1, 1, 1), [15, 1, 1], 3.16.b_bv_bf 
(-7, 3, 7), [9, 3, 7], 3.16.d_ab_abz 
(-7, 5, 5), [9, 5, 5], 3.16.d_d_adb 
(-5, 1, 7), [11, 1, 7], 3.16.d_p_cj 
(-5, 3, 5), [11, 3, 5], 3.16.d_x_v 
(-3, -1, 7), [13, 15, 7], 3.16.d_x_en 
(-3, 1, 5), [13, 1, 5], 3.16.d_bj_dd 
(-3, 3, 3), [13, 3, 3], 3.16.d_bn_cr 
(-1, -1, 5), [15, 15, 5], 3.16.d_bn_dx 
(-1, 1, 3), [15, 1, 3], 3.16.d_bv_dp 
(1, 1, 1), [1, 1, 1], 3.16.d_bz_dt 
(-7, 5, 7), [9, 5, 7], 3.16.f_ab_adh 
(-5, 3, 7), [11, 3, 7], 3.16.f_t_cd 
(-5, 5, 5), [11, 5, 5], 3.16.f_x_bj 
(-3, 1, 7), [13, 1, 7], 3.16.f_bf_fj 
(-1, -1, 7), [15, 15, 7], 3.16.f_bj_gl 
(-3, 3, 5), [13, 3, 5], 3.16.f_bn_el 
(-1, 1, 5), [15, 1, 5], 3.16.f_bv_fz 
(-1, 3, 3), [15, 3, 3], 3.16.f_bz_fv 
(1, 1, 3), [1, 1, 3], 3.16.f_cd_gh 
(-7, 7, 7), [9, 7, 7], 3.16.h_ab_aep 
(-5, 5, 7), [11, 5, 7], 3.16.h_x_bx 
(-3, 3, 7), [13, 3, 7], 3.16.h_bn_gf 
(-3, 5, 5), [13, 5, 5], 3.16.h_br_ft 
(-1, 1, 7), [15, 1, 7], 3.16.h_bv_ij 
(-1, 3, 5), [15, 3, 5], 3.16.h_cd_ib 
(1, 1, 5), [1, 1, 5], 3.16.h_ch_iv 
(1, 3, 3), [1, 3, 3], 3.16.h_cl_iz 
(-5, 7, 7), [11, 7, 7], 3.16.j_bb_br 
(-3, 5, 7), [13, 5, 7], 3.16.j_bv_hb 
(-1, 3, 7), [15, 3, 7], 3.16.j_ch_kh 
(-1, 5, 5), [15, 5, 5], 3.16.j_cl_kd 
(1, 1, 7), [1, 1, 7], 3.16.j_cl_lj 
(1, 3, 5), [1, 3, 5], 3.16.j_ct_lr 
(3, 3, 3), [3, 3, 3], 3.16.j_cx_md 
(-3, 7, 7), [13, 7, 7], 3.16.l_cd_hx 
(-1, 5, 7), [15, 5, 7], 3.16.l_ct_mf 
(1, 3, 7), [1, 3, 7], 3.16.l_db_oj 
(1, 5, 5), [1, 5, 5], 3.16.l_df_on 
(-1, 7, 7), [15, 7, 7], 3.16.n_df_od 
(1, 5, 7), [1, 5, 7], 3.16.n_dr_rj 
(3, 3, 7), [3, 3, 7], 3.16.n_dv_sl 
(3, 5, 5), [3, 5, 5], 3.16.n_dz_sx 
(1, 7, 7), [1, 7, 7], 3.16.p_eh_uj 
(3, 5, 7), [3, 5, 7], 3.16.p_ep_wn 
(5, 5, 7), [5, 5, 7], 3.16.r_fn_bbr 
