(-8, -8, -2), [0, 0, 2], 3.17.as_fr_abcm 
(-8, -6, -4), [0, 2, 0], 3.17.as_fz_abey 
(-7, -7, -4), [1, 1, 0], 3.17.as_ga_abfc 
(-6, -6, -6), [2, 2, 2], 3.17.as_gd_abfw 
(-8, -6, -3), [0, 2, 1], 3.17.ar_fl_abbu 
(-8, -7, -1), [0, 1, 3], 3.17.aq_es_axc 
(-8, -6, -2), [0, 2, 2], 3.17.aq_ex_ayq 
(-7, -7, -2), [1, 1, 2], 3.17.aq_ey_ays 
(-8, -5, -3), [0, 3, 1], 3.17.aq_fa_azo 
(-8, -4, -4), [0, 0, 0], 3.17.aq_fb_azw 
(-7, -6, -3), [1, 2, 1], 3.17.aq_fc_azu 
(-8, -6, -1), [0, 2, 3], 3.17.ap_ej_avm 
(-8, -5, -2), [0, 3, 2], 3.17.ap_en_aws 
(-8, -4, -3), [0, 0, 1], 3.17.ap_ep_axi 
(-8, -8, 2), [0, 0, 2], 3.17.ao_df_ank 
(-8, -7, 1), [0, 1, 1], 3.17.ao_do_aqe 
(-8, -5, -1), [0, 3, 3], 3.17.ao_ea_atw 
(-7, -6, -1), [1, 2, 3], 3.17.ao_ec_aty 
(-8, -4, -2), [0, 0, 2], 3.17.ao_ed_auu 
(-8, -3, -3), [0, 1, 1], 3.17.ao_ee_avc 
(-7, -5, -2), [1, 3, 2], 3.17.ao_eg_ava 
(-6, -6, -2), [2, 2, 2], 3.17.ao_eh_avc 
(-7, -4, -3), [1, 0, 1], 3.17.ao_ei_avo 
(-6, -5, -3), [2, 3, 1], 3.17.ao_ek_avu 
(-6, -4, -4), [2, 0, 0], 3.17.ao_el_awa 
(-8, -8, 3), [0, 0, 3], 3.17.an_cp_ajq 
(-8, -7, 2), [0, 1, 2], 3.17.an_cz_ams 
(-8, -6, 1), [0, 2, 1], 3.17.an_dh_ape 
(-8, -4, -1), [0, 0, 3], 3.17.an_dr_asg 
(-8, -3, -2), [0, 1, 2], 3.17.an_dt_asw 
(-6, -6, -1), [2, 2, 3], 3.17.an_dv_ask 
(-7, -4, -2), [1, 0, 2], 3.17.an_dx_ate 
(-8, -8, 4), [0, 0, 0], 3.17.am_bz_afw 
(-8, -7, 3), [0, 1, 3], 3.17.am_ck_ajg 
(-8, -6, 2), [0, 2, 2], 3.17.am_ct_ama 
(-7, -7, 2), [1, 1, 2], 3.17.am_cu_aly 
(-8, -5, 1), [0, 3, 1], 3.17.am_da_aoe 
(-7, -6, 1), [1, 2, 1], 3.17.am_dc_aoc 
(-8, -3, -1), [0, 1, 3], 3.17.am_di_aqq 
(-8, -2, -2), [0, 2, 2], 3.17.am_dj_aqy 
(-7, -4, -1), [1, 0, 3], 3.17.am_dm_aqu 
(-7, -3, -2), [1, 1, 2], 3.17.am_do_ari 
(-6, -5, -1), [2, 3, 3], 3.17.am_do_aqw 
(-6, -4, -2), [2, 0, 2], 3.17.am_dr_aro 
