(-8, -8, -4), [11, 11, 15], 3.19.au_hd_abnc 
(-8, -6, -6), [11, 13, 13], 3.19.au_hh_aboi 
(-8, -8, -2), [11, 11, 17], 3.19.as_fx_abfg 
(-8, -7, -3), [11, 12, 16], 3.19.as_gc_abgu 
(-8, -6, -4), [11, 13, 15], 3.19.as_gf_abhs 
(-8, -5, -5), [11, 14, 14], 3.19.as_gg_abia 
(-7, -7, -4), [12, 12, 15], 3.19.as_gg_abhw 
(-6, -6, -6), [13, 13, 13], 3.19.as_gj_abiq 
(-8, -8, -1), [11, 11, 18], 3.19.ar_fh_abbi 
(-8, -7, -2), [11, 12, 17], 3.19.ar_fn_abde 
(-8, -7, -1), [11, 12, 18], 3.19.aq_ey_azo 
(-8, -6, -2), [11, 13, 17], 3.19.aq_fd_abbc 
(-7, -7, -2), [12, 12, 17], 3.19.aq_fe_abbe 
(-8, -5, -3), [11, 14, 16], 3.19.aq_fg_abca 
(-8, -4, -4), [11, 15, 15], 3.19.aq_fh_abci 
(-7, -6, -3), [12, 13, 16], 3.19.aq_fi_abcg 
(-7, -5, -4), [12, 14, 15], 3.19.aq_fk_abcu 
(-6, -6, -4), [13, 13, 15], 3.19.aq_fl_abcy 
(-8, -8, 1), [11, 11, 1], 3.19.ap_eb_atm 
(-8, -6, -1), [11, 13, 18], 3.19.ap_ep_axu 
(-8, -5, -2), [11, 14, 17], 3.19.ap_et_aza 
(-8, -4, -3), [11, 15, 16], 3.19.ap_ev_azq 
(-7, -6, -2), [12, 13, 17], 3.19.ap_ev_aze 
(-8, -8, 2), [11, 11, 2], 3.19.ao_dl_apo 
(-8, -7, 1), [11, 12, 1], 3.19.ao_du_asi 
(-8, -5, -1), [11, 14, 18], 3.19.ao_eg_awa 
(-7, -6, -1), [12, 13, 18], 3.19.ao_ei_awc 
(-8, -4, -2), [11, 15, 17], 3.19.ao_ej_awy 
(-8, -3, -3), [11, 16, 16], 3.19.ao_ek_axg 
(-7, -5, -2), [12, 14, 17], 3.19.ao_em_axe 
(-6, -6, -2), [13, 13, 17], 3.19.ao_en_axg 
(-7, -4, -3), [12, 15, 16], 3.19.ao_eo_axs 
(-6, -5, -3), [13, 14, 16], 3.19.ao_eq_axy 
(-8, -8, 3), [11, 11, 3], 3.19.an_cv_alq 
(-8, -7, 2), [11, 12, 2], 3.19.an_df_aos 
(-8, -6, 1), [11, 13, 1], 3.19.an_dn_are 
(-8, -4, -1), [11, 15, 18], 3.19.an_dx_aug 
(-8, -3, -2), [11, 16, 17], 3.19.an_dz_auw 
