(-8, -8, -8), [15, 15, 15], 3.23.ay_kb_acke 
(-9, -9, -4), [14, 14, 19], 3.23.aw_io_abzk 
(-9, -9, -2), [14, 14, 21], 3.23.au_he_abpq 
(-9, -8, -3), [14, 15, 20], 3.23.au_hk_abrs 
(-9, -7, -4), [14, 16, 19], 3.23.au_ho_abtc 
(-8, -8, -4), [15, 15, 19], 3.23.au_hp_abtg 
(-9, -6, -5), [14, 17, 18], 3.23.au_hq_abtu 
(-8, -7, -5), [15, 16, 18], 3.23.au_hs_abue 
(-8, -6, -6), [15, 17, 17], 3.23.au_ht_abum 
(-9, -8, -2), [14, 15, 21], 3.23.at_gt_abne 
(-8, -8, -3), [15, 15, 20], 3.23.at_gz_abpa 
(-9, -6, -4), [14, 17, 19], 3.23.at_hb_abpy 
(-9, -8, -1), [14, 15, 22], 3.23.as_gc_abiq 
(-9, -7, -2), [14, 16, 21], 3.23.as_gi_abks 
(-8, -8, -2), [15, 15, 21], 3.23.as_gj_abku 
(-9, -6, -3), [14, 17, 20], 3.23.as_gm_abmc 
(-9, -5, -4), [14, 18, 19], 3.23.as_go_abmu 
(-8, -7, -3), [15, 16, 20], 3.23.as_go_abmi 
(-8, -6, -4), [15, 17, 19], 3.23.as_gr_abng 
(-8, -5, -5), [15, 18, 18], 3.23.as_gs_abno 
(-7, -7, -4), [16, 16, 19], 3.23.as_gs_abnk 
(-6, -6, -6), [17, 17, 17], 3.23.as_gv_aboe 
(-8, -8, -1), [15, 15, 22], 3.23.ar_ft_abgo 
(-9, -6, -2), [14, 17, 21], 3.23.ar_fx_abig 
(-8, -7, -2), [15, 16, 21], 3.23.ar_fz_abik 
(-9, -4, -4), [14, 19, 19], 3.23.ar_gb_abjq 
(-8, -6, -3), [15, 17, 20], 3.23.ar_gd_abjq 
(-9, -9, 2), [14, 14, 2], 3.23.aq_ek_awc 
(-9, -8, 1), [14, 15, 1], 3.23.aq_eu_azo 
(-9, -6, -1), [14, 17, 22], 3.23.aq_fi_abek 
(-8, -7, -1), [15, 16, 22], 3.23.aq_fk_abem 
(-9, -5, -2), [14, 18, 21], 3.23.aq_fm_abfu 
