(-9, -9, -6), [16, 16, 19], 3.25.ay_ke_acmw 
(-8, -8, -8), [17, 17, 17], 3.25.ay_kh_acnw 
(-8, -8, -6), [17, 17, 19], 3.25.aw_jb_acfc 
(-9, -8, -4), [16, 17, 21], 3.25.av_ih_abzm 
(-9, -8, -3), [16, 17, 22], 3.25.au_hq_abuu 
(-9, -7, -4), [16, 18, 21], 3.25.au_hu_abwe 
(-8, -8, -4), [17, 17, 21], 3.25.au_hv_abwi 
(-9, -8, -2), [16, 17, 23], 3.25.at_gz_abqc 
(-9, -6, -4), [16, 19, 21], 3.25.at_hh_absw 
(-9, -8, -1), [16, 17, 24], 3.25.as_gi_ablk 
(-9, -7, -2), [16, 18, 23], 3.25.as_go_abnm 
(-8, -8, -2), [17, 17, 23], 3.25.as_gp_abno 
(-9, -6, -3), [16, 19, 22], 3.25.as_gs_abow 
(-8, -7, -3), [17, 18, 22], 3.25.as_gu_abpc 
(-8, -6, -4), [17, 19, 21], 3.25.as_gx_abqa 
(-7, -7, -4), [18, 18, 21], 3.25.as_gy_abqe 
(-6, -6, -6), [19, 19, 19], 3.25.as_hb_abqy 
(-8, -8, -1), [17, 17, 24], 3.25.ar_fz_abje 
(-9, -6, -2), [16, 19, 23], 3.25.ar_gd_abkw 
(-8, -7, -2), [17, 18, 23], 3.25.ar_gf_abla 
(-9, -4, -4), [16, 21, 21], 3.25.ar_gh_abmg 
(-8, -6, -3), [17, 19, 22], 3.25.ar_gj_abmg 
(-9, -9, 2), [16, 16, 2], 3.25.aq_eq_ayo 
(-9, -8, 1), [16, 17, 1], 3.25.aq_fa_abca 
(-9, -6, -1), [16, 19, 24], 3.25.aq_fo_abgw 
(-8, -7, -1), [17, 18, 24], 3.25.aq_fq_abgy 
(-9, -4, -3), [16, 21, 22], 3.25.aq_fu_abiy 
(-8, -6, -2), [17, 19, 23], 3.25.aq_fv_abim 
(-7, -7, -2), [18, 18, 23], 3.25.aq_fw_abio 
(-8, -4, -4), [17, 21, 21], 3.25.aq_fz_abjs 
(-7, -6, -3), [18, 19, 22], 3.25.aq_ga_abjq 
(-9, -8, 2), [16, 17, 2], 3.25.ap_ej_axi 
(-8, -8, 1), [17, 17, 1], 3.25.ap_et_abak 
(-9, -4, -2), [16, 21, 23], 3.25.ap_fh_abfq 
(-8, -6, -1), [17, 19, 24], 3.25.ap_fh_abes 
(-8, -4, -3), [17, 21, 22], 3.25.ap_fn_abgo 
(-7, -6, -2), [18, 19, 23], 3.25.ap_fn_abgc 
(-9, -9, 4), [16, 16, 4], 3.25.ao_dg_aom 
(-9, -8, 3), [16, 17, 3], 3.25.ao_ds_asq 
(-9, -7, 2), [16, 18, 2], 3.25.ao_ec_awc 
(-8, -8, 2), [17, 17, 2], 3.25.ao_ed_awa 
(-9, -6, 1), [16, 19, 1], 3.25.ao_ek_ayw 
(-8, -7, 1), [17, 18, 1], 3.25.ao_em_ayu 
(-9, -4, -1), [16, 21, 24], 3.25.ao_eu_abci 
(-9, -3, -2), [16, 22, 23], 3.25.ao_ew_abda 
(-7, -6, -1), [18, 19, 24], 3.25.ao_fa_abco 
(-8, -4, -2), [17, 21, 23], 3.25.ao_fb_abdk 
(-8, -3, -3), [17, 22, 22], 3.25.ao_fc_abds 
(-6, -6, -2), [19, 19, 23], 3.25.ao_ff_abds 
(-7, -4, -3), [18, 21, 22], 3.25.ao_fg_abee 
(-6, -4, -4), [19, 21, 21], 3.25.ao_fj_abeq 
(-9, -8, 4), [16, 17, 4], 3.25.an_db_any 
(-8, -8, 3), [17, 17, 3], 3.25.an_dn_arq 
(-9, -6, 2), [16, 19, 2], 3.25.an_dv_auw 
(-8, -7, 2), [17, 18, 2], 3.25.an_dx_aus 
(-8, -6, 1), [17, 19, 1], 3.25.an_ef_axe 
(-9, -2, -2), [16, 23, 23], 3.25.an_el_abak 
(-8, -4, -1), [17, 21, 24], 3.25.an_ep_abag 
(-8, -3, -2), [17, 22, 23], 3.25.an_er_abaw 
(-6, -6, -1), [19, 19, 24], 3.25.an_et_abak 
(-7, -4, -2), [18, 21, 23], 3.25.an_ev_abbe 
(-9, -9, 6), [16, 16, 6], 3.25.am_bw_aek 
(-9, -7, 4), [16, 18, 4], 3.25.am_cw_ank 
(-8, -8, 4), [17, 17, 4], 3.25.am_cx_ang 
(-9, -6, 3), [16, 19, 3], 3.25.am_dg_aqw 
(-8, -7, 3), [17, 18, 3], 3.25.am_di_aqq 
(-8, -6, 2), [17, 19, 2], 3.25.am_dr_atk 
(-7, -7, 2), [18, 18, 2], 3.25.am_ds_ati 
(-9, -4, 1), [16, 21, 1], 3.25.am_du_avs 
(-9, -2, -1), [16, 23, 24], 3.25.am_ea_axu 
(-7, -6, 1), [18, 19, 1], 3.25.am_ea_avm 
(-8, -3, -1), [17, 22, 24], 3.25.am_eg_aya 
(-8, -2, -2), [17, 23, 23], 3.25.am_eh_ayi 
(-7, -4, -1), [18, 21, 24], 3.25.am_ek_aye 
(-7, -3, -2), [18, 22, 23], 3.25.am_em_ays 
(-6, -4, -2), [19, 21, 23], 3.25.am_ep_ayy 
(-6, -3, -3), [19, 22, 22], 3.25.am_eq_aze 
(-4, -4, -4), [21, 21, 21], 3.25.am_et_azo 
(-9, -8, 6), [16, 17, 6], 3.25.al_bt_aeo 
(-9, -6, 4), [16, 19, 4], 3.25.al_cr_amw 
(-8, -7, 4), [17, 18, 4], 3.25.al_ct_amo 
(-8, -6, 3), [17, 19, 3], 3.25.al_dd_apq 
(-9, -4, 2), [16, 21, 2], 3.25.al_dh_ask 
(-7, -6, 2), [18, 19, 2], 3.25.al_dn_ary 
(-8, -4, 1), [17, 21, 1], 3.25.al_dr_aty 
(-6, -6, 1), [19, 19, 1], 3.25.al_dv_atu 
(-8, -2, -1), [17, 23, 24], 3.25.al_dx_avu 
(-7, -2, -2), [18, 23, 23], 3.25.al_ed_awg 
(-6, -4, -1), [19, 21, 24], 3.25.al_ef_awc 
(-9, -9, 8), [16, 16, 8], 3.25.ak_m_fs 
(-9, -8, 7), [16, 17, 7], 3.25.ak_bc_e 
(-9, -7, 6), [16, 18, 6], 3.25.ak_bq_aes 
(-8, -8, 6), [17, 17, 6], 3.25.ak_br_aem 
(-8, -6, 4), [17, 19, 4], 3.25.ak_cp_alw 
(-7, -7, 4), [18, 18, 4], 3.25.ak_cq_als 
(-9, -4, 3), [16, 21, 3], 3.25.ak_cu_apc 
(-9, -3, 2), [16, 22, 2], 3.25.ak_da_are 
(-7, -6, 3), [18, 19, 3], 3.25.ak_da_aok 
(-9, -2, 1), [16, 23, 1], 3.25.ak_de_aso 
(-8, -4, 2), [17, 21, 2], 3.25.ak_df_aqu 
(-6, -6, 2), [19, 19, 2], 3.25.ak_dj_aqm 
(-8, -3, 1), [17, 22, 1], 3.25.ak_dk_asi 
(-8, -1, -1), [17, 24, 24], 3.25.ak_do_ato 
(-7, -4, 1), [18, 21, 1], 3.25.ak_do_ase 
(-7, -2, -1), [18, 23, 24], 3.25.ak_du_atu 
(-6, -3, -1), [19, 22, 24], 3.25.ak_dy_aty 
(-6, -2, -2), [19, 23, 23], 3.25.ak_dz_aue 
(-4, -4, -2), [21, 21, 23], 3.25.ak_ed_aum 
(-9, -8, 8), [16, 17, 8], 3.25.aj_l_ew 
(-8, -8, 7), [17, 17, 7], 3.25.aj_bb_ac 
(-9, -6, 6), [16, 19, 6], 3.25.aj_bn_aew 
(-8, -7, 6), [17, 18, 6], 3.25.aj_bp_aek 
(-9, -4, 4), [16, 21, 4], 3.25.aj_ch_alu 
(-7, -6, 4), [18, 19, 4], 3.25.aj_cn_akw 
(-9, -2, 2), [16, 23, 2], 3.25.aj_ct_apy 
(-8, -4, 3), [17, 21, 3], 3.25.aj_ct_anq 
(-6, -6, 3), [19, 19, 3], 3.25.aj_cx_ane 
(-8, -3, 2), [17, 22, 2], 3.25.aj_cz_apm 
(-8, -2, 1), [17, 23, 1], 3.25.aj_dd_aqs 
(-7, -4, 2), [18, 21, 2], 3.25.aj_dd_ape 
(-6, -4, 1), [19, 21, 1], 3.25.aj_dl_aqk 
(-6, -2, -1), [19, 23, 24], 3.25.aj_dr_aru 
(-9, -8, 9), [16, 17, 9], 3.25.ai_ag_jo 
(-9, -7, 8), [16, 18, 8], 3.25.ai_k_ea 
(-8, -8, 8), [17, 17, 8], 3.25.ai_l_ei 
(-9, -6, 7), [16, 19, 7], 3.25.ai_y_aw 
(-8, -7, 7), [17, 18, 7], 3.25.ai_ba_ai 
(-8, -6, 6), [17, 19, 6], 3.25.ai_bn_aei 
(-7, -7, 6), [18, 18, 6], 3.25.ai_bo_aec 
(-9, -3, 4), [16, 22, 4], 3.25.ai_cc_alg 
(-8, -4, 4), [17, 21, 4], 3.25.ai_ch_akm 
(-9, -2, 3), [16, 23, 3], 3.25.ai_ci_ani 
(-6, -6, 4), [19, 19, 4], 3.25.ai_cl_ajw 
(-9, -1, 2), [16, 24, 2], 3.25.ai_cm_aos 
(-8, -3, 3), [17, 22, 3], 3.25.ai_co_amq 
(-7, -4, 3), [18, 21, 3], 3.25.ai_cs_ame 
(-8, -2, 2), [17, 23, 2], 3.25.ai_ct_aoe 
(-8, -1, 1), [17, 24, 1], 3.25.ai_cw_apc 
(-7, -3, 2), [18, 22, 2], 3.25.ai_cy_anu 
(-6, -4, 2), [19, 21, 2], 3.25.ai_db_ano 
(-7, -2, 1), [18, 23, 1], 3.25.ai_dc_aow 
(-6, -3, 1), [19, 22, 1], 3.25.ai_dg_aos 
(-6, -1, -1), [19, 24, 24], 3.25.ai_dk_apq 
(-4, -3, -1), [21, 22, 24], 3.25.ai_dq_apw 
(-8, -8, 9), [17, 17, 9], 3.25.ah_af_is 
(-9, -6, 8), [16, 19, 8], 3.25.ah_j_de 
(-8, -7, 8), [17, 18, 8], 3.25.ah_l_du 
(-8, -6, 7), [17, 19, 7], 3.25.ah_z_ao 
(-9, -4, 6), [16, 21, 6], 3.25.ah_bh_afe 
(-7, -6, 6), [18, 19, 6], 3.25.ah_bn_adu 
(-9, -2, 4), [16, 23, 4], 3.25.ah_bx_aks 
(-8, -3, 4), [17, 22, 4], 3.25.ah_cd_aju 
(-7, -4, 4), [18, 21, 4], 3.25.ah_ch_aje 
(-8, -2, 3), [17, 23, 3], 3.25.ah_cj_alq 
(-8, -1, 2), [17, 24, 2], 3.25.ah_cn_amw 
(-6, -4, 3), [19, 21, 3], 3.25.ah_cr_aks 
(-7, -2, 2), [18, 23, 2], 3.25.ah_ct_amk 
(-6, -3, 2), [19, 22, 2], 3.25.ah_cx_amc 
(-6, -2, 1), [19, 23, 1], 3.25.ah_db_ana 
(-4, -4, 1), [21, 21, 1], 3.25.ah_df_amw 
(-9, -6, 9), [16, 19, 9], 3.25.ag_ag_he 
(-8, -7, 9), [17, 18, 9], 3.25.ag_ae_hw 
(-8, -6, 8), [17, 19, 8], 3.25.ag_l_dg 
(-7, -7, 8), [18, 18, 8], 3.25.ag_m_do 
(-9, -4, 7), [16, 21, 7], 3.25.ag_u_abw 
(-7, -6, 7), [18, 19, 7], 3.25.ag_ba_ag 
(-9, -3, 6), [16, 22, 6], 3.25.ag_be_afi 
(-8, -4, 6), [17, 21, 6], 3.25.ag_bj_aee 
(-6, -6, 6), [19, 19, 6], 3.25.ag_bn_adg 
(-9, -1, 4), [16, 24, 4], 3.25.ag_bs_ake 
(-9, 1, 2), [16, 1, 2], 3.25.ag_by_amg 
(-8, -2, 4), [17, 23, 4], 3.25.ag_bz_ajc 
(-8, -1, 3), [17, 24, 3], 3.25.ag_ce_akq 
(-7, -3, 4), [18, 22, 4], 3.25.ag_ce_aii 
(-6, -4, 4), [19, 21, 4], 3.25.ag_ch_ahw 
(-8, 1, 1), [17, 1, 1], 3.25.ag_ci_alw 
(-7, -2, 3), [18, 23, 3], 3.25.ag_ck_ajy 
(-7, -1, 2), [18, 24, 2], 3.25.ag_co_ala 
(-6, -3, 3), [19, 22, 3], 3.25.ag_co_ajm 
(-6, -2, 2), [19, 23, 2], 3.25.ag_ct_akq 
(-6, -1, 1), [19, 24, 1], 3.25.ag_cw_ali 
(-4, -4, 2), [21, 21, 2], 3.25.ag_cx_aki 
(-4, -3, 1), [21, 22, 1], 3.25.ag_dc_alc 
(-4, -1, -1), [21, 24, 24], 3.25.ag_dg_als 
(-2, -2, -2), [23, 23, 23], 3.25.ag_dj_alw 
(-8, -6, 9), [17, 19, 9], 3.25.af_ad_ha 
(-9, -4, 8), [16, 21, 8], 3.25.af_h_bm 
(-7, -6, 8), [18, 19, 8], 3.25.af_n_di 
(-8, -4, 7), [17, 21, 7], 3.25.af_x_aba 
(-9, -2, 6), [16, 23, 6], 3.25.af_bb_afm 
(-6, -6, 7), [19, 19, 7], 3.25.af_bb_c 
(-8, -3, 6), [17, 22, 6], 3.25.af_bh_aec 
(-7, -4, 6), [18, 21, 6], 3.25.af_bl_ade 
(-9, 2, 2), [16, 2, 2], 3.25.af_br_ala 
(-8, -1, 4), [17, 24, 4], 3.25.af_bv_aik 
(-8, 1, 2), [17, 1, 2], 3.25.af_cb_akg 
(-7, -2, 4), [18, 23, 4], 3.25.af_cb_ahm 
(-6, -3, 4), [19, 22, 4], 3.25.af_cf_agw 
(-6, -2, 3), [19, 23, 3], 3.25.af_cl_aig 
(-6, -1, 2), [19, 24, 2], 3.25.af_cp_aje 
(-4, -4, 3), [21, 21, 3], 3.25.af_cp_ahu 
(-4, -3, 2), [21, 22, 2], 3.25.af_cv_ais 
(-4, -2, 1), [21, 23, 1], 3.25.af_cz_aji 
(-9, -4, 9), [16, 21, 9], 3.25.ae_ag_eu 
(-7, -6, 9), [18, 19, 9], 3.25.ae_a_gw 
(-9, -3, 8), [16, 22, 8], 3.25.ae_g_q 
(-8, -4, 8), [17, 21, 8], 3.25.ae_l_ce 
