(-4, -4, 2), [0, 0, 2], 3.5.ag_p_abc 
(-4, -3, 1), [0, 1, 1], 3.5.ag_u_abw 
(-4, -1, -1), [0, 3, 3], 3.5.ag_y_acm 
(-2, -2, -2), [2, 2, 2], 3.5.ag_bb_acq 
(-4, -3, 2), [0, 1, 2], 3.5.af_n_aba 
(-4, -2, 1), [0, 2, 1], 3.5.af_r_abq 
(-4, -3, 3), [0, 1, 3], 3.5.ae_g_ae 
(-4, -2, 2), [0, 2, 2], 3.5.ae_l_ay 
(-3, -3, 2), [1, 1, 2], 3.5.ae_m_aw 
(-4, -1, 1), [0, 3, 1], 3.5.ae_o_abk 
(-3, -2, 1), [1, 2, 1], 3.5.ae_q_abi 
(-4, -2, 3), [0, 2, 3], 3.5.ad_f_ag 
(-4, -1, 2), [0, 3, 2], 3.5.ad_j_aw 
(-3, -2, 2), [1, 2, 2], 3.5.ad_l_as 
(-4, -2, 4), [0, 2, 0], 3.5.ac_ab_m 
(-3, -3, 4), [1, 1, 0], 3.5.ac_a_q 
(-4, -1, 3), [0, 3, 3], 3.5.ac_e_ai 
(-3, -2, 3), [1, 2, 3], 3.5.ac_g_ac 
(-4, 1, 1), [0, 1, 1], 3.5.ac_i_ay 
(-3, -1, 2), [1, 3, 2], 3.5.ac_k_ao 
(-2, -2, 2), [2, 2, 2], 3.5.ac_l_am 
(-2, -1, 1), [2, 3, 1], 3.5.ac_o_as 
(-4, -1, 4), [0, 3, 0], 3.5.ab_ab_g 
(-3, -2, 4), [1, 2, 0], 3.5.ab_b_o 
(-4, 1, 2), [0, 1, 2], 3.5.ab_f_as 
(-2, -2, 3), [2, 2, 3], 3.5.ab_h_c 
(-4, 1, 3), [0, 1, 3], 3.5.a_c_am 
(-3, -1, 4), [1, 3, 0], 3.5.a_c_m 
(-4, 2, 2), [0, 2, 2], 3.5.a_d_aq 
(-2, -2, 4), [2, 2, 0], 3.5.a_d_q 
(-3, 1, 2), [1, 1, 2], 3.5.a_i_ag 
(-2, -1, 3), [2, 3, 3], 3.5.a_i_g 
(-2, 1, 1), [2, 1, 1], 3.5.a_m_ac 
(-1, -1, 2), [3, 3, 2], 3.5.a_m_c 
(-4, 1, 4), [0, 1, 0], 3.5.b_ab_ag 
(-4, 2, 3), [0, 2, 3], 3.5.b_b_ao 
(-2, -1, 4), [2, 3, 0], 3.5.b_f_s 
(-3, 2, 2), [1, 2, 2], 3.5.b_h_ac 
(-4, 2, 4), [0, 2, 0], 3.5.c_ab_am 
(-4, 3, 3), [0, 3, 3], 3.5.c_a_aq 
(-3, 1, 4), [1, 1, 0], 3.5.c_e_i 
(-3, 2, 3), [1, 2, 3], 3.5.c_g_c 
(-1, -1, 4), [3, 3, 0], 3.5.c_i_y 
(-2, 1, 3), [2, 1, 3], 3.5.c_k_o 
(-2, 2, 2), [2, 2, 2], 3.5.c_l_m 
(-1, 1, 2), [3, 1, 2], 3.5.c_o_s 
(-3, 2, 4), [1, 2, 0], 3.5.d_f_g 
(-2, 1, 4), [2, 1, 0], 3.5.d_j_w 
(-2, 2, 3), [2, 2, 3], 3.5.d_l_s 
(-3, 3, 4), [1, 3, 0], 3.5.e_g_e 
(-2, 2, 4), [2, 2, 0], 3.5.e_l_y 
(-2, 3, 3), [2, 3, 3], 3.5.e_m_w 
(-1, 1, 4), [3, 1, 0], 3.5.e_o_bk 
(-1, 2, 3), [3, 2, 3], 3.5.e_q_bi 
(-2, 3, 4), [2, 3, 0], 3.5.f_n_ba 
(-1, 2, 4), [3, 2, 0], 3.5.f_r_bq 
(-2, 4, 4), [2, 0, 0], 3.5.g_p_bc 
(-1, 3, 4), [3, 3, 0], 3.5.g_u_bw 
(1, 1, 4), [1, 1, 0], 3.5.g_y_cm 
(2, 2, 2), [2, 2, 2], 3.5.g_bb_cq 
