(-5, -5, 2), [2, 2, 2], 3.7.ai_ba_ack 
(-5, -4, 1), [2, 3, 1], 3.7.ai_bg_ado 
(-5, -2, -1), [2, 5, 6], 3.7.ai_bm_aes 
(-4, -3, -1), [3, 4, 6], 3.7.ai_bo_aeu 
(-4, -2, -2), [3, 5, 5], 3.7.ai_bp_aey 
(-5, -4, 2), [2, 3, 2], 3.7.ah_x_acg 
(-4, -4, 1), [3, 3, 1], 3.7.ah_bd_ade 
(-5, -4, 3), [2, 3, 3], 3.7.ag_o_ay 
(-5, -3, 2), [2, 4, 2], 3.7.ag_u_acc 
(-4, -4, 2), [3, 3, 2], 3.7.ag_v_aca 
(-5, -2, 1), [2, 5, 1], 3.7.ag_y_acw 
(-4, -3, 1), [3, 4, 1], 3.7.ag_ba_acu 
(-4, -1, -1), [3, 6, 6], 3.7.ag_be_adk 
(-2, -2, -2), [5, 5, 5], 3.7.ag_bh_ado 
(-5, -4, 4), [2, 3, 4], 3.7.af_f_k 
(-4, -4, 3), [3, 3, 3], 3.7.af_n_aw 
(-5, -2, 2), [2, 5, 2], 3.7.af_r_aby 
(-4, -3, 2), [3, 4, 2], 3.7.af_t_abu 
(-4, -2, 1), [3, 5, 1], 3.7.af_x_ack 
(-5, -4, 5), [2, 3, 5], 3.7.ae_ae_bs 
(-5, -3, 4), [2, 4, 4], 3.7.ae_e_e 
(-4, -4, 4), [3, 3, 4], 3.7.ae_f_i 
(-5, -2, 3), [2, 5, 3], 3.7.ae_k_aba 
(-4, -3, 3), [3, 4, 3], 3.7.ae_m_au 
(-5, -1, 2), [2, 6, 2], 3.7.ae_o_abu 
(-4, -2, 2), [3, 5, 2], 3.7.ae_r_abo 
(-3, -3, 2), [4, 4, 2], 3.7.ae_s_abm 
(-4, -1, 1), [3, 6, 1], 3.7.ae_u_aca 
(-3, -2, 1), [4, 5, 1], 3.7.ae_w_aby 
(-4, -4, 5), [3, 3, 5], 3.7.ad_ad_bm 
(-5, -2, 4), [2, 5, 4], 3.7.ad_d_ac 
(-4, -3, 4), [3, 4, 4], 3.7.ad_f_g 
(-4, -2, 3), [3, 5, 3], 3.7.ad_l_as 
(-4, -1, 2), [3, 6, 2], 3.7.ad_p_abi 
(-3, -2, 2), [4, 5, 2], 3.7.ad_r_abe 
(-5, -2, 5), [2, 5, 5], 3.7.ac_ae_w 
(-4, -3, 5), [3, 4, 5], 3.7.ac_ac_bg 
(-5, -1, 4), [2, 6, 4], 3.7.ac_c_ai 
(-4, -2, 4), [3, 5, 4], 3.7.ac_f_e 
(-3, -3, 4), [4, 4, 4], 3.7.ac_g_i 
(-5, 1, 2), [2, 1, 2], 3.7.ac_i_abm 
(-4, -1, 3), [3, 6, 3], 3.7.ac_k_aq 
(-3, -2, 3), [4, 5, 3], 3.7.ac_m_ak 
(-4, 1, 1), [3, 1, 1], 3.7.ac_o_abg 
(-3, -1, 2), [4, 6, 2], 3.7.ac_q_aw 
