(-5, -5, 1), [3, 3, 1], 3.8.aj_bn_aep 
(-5, -3, -1), [3, 5, 7], 3.8.aj_bv_agd 
(-5, -5, 3), [3, 3, 3], 3.8.ah_t_abl 
(-5, -3, 1), [3, 5, 1], 3.8.ah_bf_adt 
(-5, -1, -1), [3, 7, 7], 3.8.ah_bj_aen 
(-3, -3, -1), [5, 5, 7], 3.8.ah_bn_aer 
(-5, -5, 5), [3, 3, 5], 3.8.af_ab_bt 
(-5, -3, 3), [3, 5, 3], 3.8.af_p_abj 
(-5, -1, 1), [3, 7, 1], 3.8.af_x_acx 
(-3, -3, 1), [5, 5, 1], 3.8.af_bb_act 
(-3, -1, -1), [5, 7, 7], 3.8.af_bf_adf 
(-5, -3, 5), [3, 5, 5], 3.8.ad_ab_bb 
(-5, -1, 3), [3, 7, 3], 3.8.ad_l_abh 
(-5, 1, 1), [3, 1, 1], 3.8.ad_p_acb 
(-3, -3, 3), [5, 5, 3], 3.8.ad_p_av 
(-3, -1, 1), [5, 7, 1], 3.8.ad_x_abt 
(-1, -1, -1), [7, 7, 7], 3.8.ad_bb_abx 
(-5, -1, 5), [3, 7, 5], 3.8.ab_ab_j 
(-3, -3, 5), [5, 5, 5], 3.8.ab_d_bd 
(-5, 1, 3), [3, 1, 3], 3.8.ab_h_abf 
(-3, -1, 3), [5, 7, 3], 3.8.ab_p_ah 
(-3, 1, 1), [5, 1, 1], 3.8.ab_t_at 
(-1, -1, 1), [7, 7, 1], 3.8.ab_x_ap 
(-5, 1, 5), [3, 1, 5], 3.8.b_ab_aj 
(-5, 3, 3), [3, 3, 3], 3.8.b_d_abd 
(-3, -1, 5), [5, 7, 5], 3.8.b_h_bf 
(-3, 1, 3), [5, 1, 3], 3.8.b_p_h 
(-1, -1, 3), [7, 7, 3], 3.8.b_t_t 
(-1, 1, 1), [7, 1, 1], 3.8.b_x_p 
(-5, 3, 5), [3, 3, 5], 3.8.d_ab_abb 
(-3, 1, 5), [5, 1, 5], 3.8.d_l_bh 
(-3, 3, 3), [5, 3, 3], 3.8.d_p_v 
(-1, -1, 5), [7, 7, 5], 3.8.d_p_cb 
(-1, 1, 3), [7, 1, 3], 3.8.d_x_bt 
(1, 1, 1), [1, 1, 1], 3.8.d_bb_bx 
(-5, 5, 5), [3, 5, 5], 3.8.f_ab_abt 
(-3, 3, 5), [5, 3, 5], 3.8.f_p_bj 
(-1, 1, 5), [7, 1, 5], 3.8.f_x_cx 
(-1, 3, 3), [7, 3, 3], 3.8.f_bb_ct 
(1, 1, 3), [1, 1, 3], 3.8.f_bf_df 
(-3, 5, 5), [5, 5, 5], 3.8.h_t_bl 
(-1, 3, 5), [7, 3, 5], 3.8.h_bf_dt 
(1, 1, 5), [1, 1, 5], 3.8.h_bj_en 
(1, 3, 3), [1, 3, 3], 3.8.h_bn_er 
(-1, 5, 5), [7, 5, 5], 3.8.j_bn_ep 
(1, 3, 5), [1, 3, 5], 3.8.j_bv_gd 
