(-5, -4, -1), [4, 5, 8], 3.9.ak_ce_ahs 
(-4, -4, -2), [5, 5, 7], 3.9.ak_ch_aie 
(-5, -5, 2), [4, 4, 2], 3.9.ai_bg_adq 
(-5, -4, 1), [4, 5, 1], 3.9.ai_bm_aeu 
(-5, -2, -1), [4, 7, 8], 3.9.ai_bs_afy 
(-5, -4, 2), [4, 5, 2], 3.9.ah_bd_adi 
(-4, -4, 1), [5, 5, 1], 3.9.ah_bj_aeg 
(-5, -5, 4), [4, 4, 4], 3.9.ag_m_ai 
(-4, -4, 2), [5, 5, 2], 3.9.ag_bb_acy 
(-5, -2, 1), [4, 7, 1], 3.9.ag_be_adu 
(-4, -1, -1), [5, 8, 8], 3.9.ag_bk_aei 
(-2, -2, -2), [7, 7, 7], 3.9.ag_bn_aem 
(-5, -4, 4), [4, 5, 4], 3.9.af_l_ak 
(-5, -2, 2), [4, 7, 2], 3.9.af_x_acs 
(-4, -2, 1), [5, 7, 1], 3.9.af_bd_ade 
(-5, -4, 5), [4, 5, 5], 3.9.ae_c_bc 
(-4, -4, 4), [5, 5, 4], 3.9.ae_l_ai 
(-5, -1, 2), [4, 8, 2], 3.9.ae_u_ack 
(-4, -2, 2), [5, 7, 2], 3.9.ae_x_ace 
(-4, -1, 1), [5, 8, 1], 3.9.ae_ba_acq 
(-4, -4, 5), [5, 5, 5], 3.9.ad_d_ba 
(-5, -2, 4), [4, 7, 4], 3.9.ad_j_ao 
(-4, -1, 2), [5, 8, 2], 3.9.ad_v_abu 
(-5, -2, 5), [4, 7, 5], 3.9.ac_c_o 
(-5, -1, 4), [4, 8, 4], 3.9.ac_i_aq 
(-4, -2, 4), [5, 7, 4], 3.9.ac_l_ae 
(-5, 1, 2), [4, 1, 2], 3.9.ac_o_abu 
(-4, 1, 1), [5, 1, 1], 3.9.ac_u_abo 
(-2, -2, 2), [7, 7, 2], 3.9.ac_x_abc 
(-2, -1, 1), [7, 8, 1], 3.9.ac_ba_abi 
(-4, -2, 5), [5, 7, 5], 3.9.ab_f_w 
(-5, 2, 2), [4, 2, 2], 3.9.ab_l_abm 
(-4, -1, 4), [5, 8, 4], 3.9.ab_l_ac 
(-4, 1, 2), [5, 1, 2], 3.9.ab_r_aba 
(-5, 1, 4), [4, 1, 4], 3.9.a_g_au 
(-4, -1, 5), [5, 8, 5], 3.9.a_g_u 
(-4, 2, 2), [5, 2, 2], 3.9.a_p_aq 
(-2, -2, 4), [7, 7, 4], 3.9.a_p_q 
(-2, 1, 1), [7, 1, 1], 3.9.a_y_ac 
(-1, -1, 2), [8, 8, 2], 3.9.a_y_c 
(-5, 2, 4), [4, 2, 4], 3.9.b_f_aw 
(-4, 1, 4), [5, 1, 4], 3.9.b_l_c 
(-2, -2, 5), [7, 7, 5], 3.9.b_l_bm 
(-2, -1, 4), [7, 8, 4], 3.9.b_r_ba 
(-5, 2, 5), [4, 2, 5], 3.9.c_c_ao 
(-4, 1, 5), [5, 1, 5], 3.9.c_i_q 
(-4, 2, 4), [5, 2, 4], 3.9.c_l_e 
(-2, -1, 5), [7, 8, 5], 3.9.c_o_bu 
(-1, -1, 4), [8, 8, 4], 3.9.c_u_bo 
(-2, 2, 2), [7, 2, 2], 3.9.c_x_bc 
(-1, 1, 2), [8, 1, 2], 3.9.c_ba_bi 
(-5, 4, 4), [4, 4, 4], 3.9.d_d_aba 
(-4, 2, 5), [5, 2, 5], 3.9.d_j_o 
(-2, 1, 4), [7, 1, 4], 3.9.d_v_bu 
(-5, 4, 5), [4, 4, 5], 3.9.e_c_abc 
(-4, 4, 4), [5, 4, 4], 3.9.e_l_i 
(-2, 1, 5), [7, 1, 5], 3.9.e_u_ck 
(-2, 2, 4), [7, 2, 4], 3.9.e_x_ce 
(-1, 1, 4), [8, 1, 4], 3.9.e_ba_cq 
(-4, 4, 5), [5, 4, 5], 3.9.f_l_k 
(-2, 2, 5), [7, 2, 5], 3.9.f_x_cs 
(-1, 2, 4), [8, 2, 4], 3.9.f_bd_de 
(-4, 5, 5), [5, 5, 5], 3.9.g_m_i 
(-2, 4, 4), [7, 4, 4], 3.9.g_bb_cy 
(-1, 2, 5), [8, 2, 5], 3.9.g_be_du 
(1, 1, 4), [1, 1, 4], 3.9.g_bk_ei 
(2, 2, 2), [2, 2, 2], 3.9.g_bn_em 
(-2, 4, 5), [7, 4, 5], 3.9.h_bd_di 
(-1, 4, 4), [8, 4, 4], 3.9.h_bj_eg 
(-2, 5, 5), [7, 5, 5], 3.9.i_bg_dq 
(-1, 4, 5), [8, 4, 5], 3.9.i_bm_eu 
(1, 2, 5), [1, 2, 5], 3.9.i_bs_fy 
(1, 4, 5), [1, 4, 5], 3.9.k_ce_hs 
(2, 4, 4), [2, 4, 4], 3.9.k_ch_ie 
