(-8, -8, -7), [0, 0, 1], 3.16.ax_iq_abto 
(-8, -8, -5), [0, 0, 3], 3.16.av_hk_abme 
(-8, -8, -3), [0, 0, 1], 3.16.at_ge_abeu 
(-8, -7, -4), [0, 1, 0], 3.16.at_gi_abga 
(-8, -8, -1), [0, 0, 3], 3.16.ar_ey_axk 
(-8, -5, -4), [0, 3, 0], 3.16.ar_fk_abbc 
(-8, -7, 0), [0, 1, 0], 3.16.ap_ea_asm 
(-8, -4, -3), [0, 0, 1], 3.16.ap_em_awe 
(-8, -8, 3), [0, 0, 3], 3.16.an_cm_aiq 
(-8, -5, 0), [0, 3, 0], 3.16.an_dk_aqa 
(-8, -4, -1), [0, 0, 3], 3.16.an_do_arg 
(-5, -4, -4), [3, 0, 0], 3.16.an_ea_atc 
(-8, -8, 5), [0, 0, 1], 3.16.al_bg_abg 
(-8, -7, 4), [0, 1, 0], 3.16.al_bs_aey 
(-8, -3, 0), [0, 1, 0], 3.16.al_cu_ano 
(-4, -4, -3), [0, 0, 1], 3.16.al_dk_apk 
(-8, -8, 7), [0, 0, 3], 3.16.aj_a_ge 
(-8, -4, 3), [0, 0, 3], 3.16.aj_bs_ahk 
(-8, -1, 0), [0, 3, 0], 3.16.aj_ce_alc 
(-5, -4, 0), [3, 0, 0], 3.16.aj_cq_alc 
(-8, -7, 8), [0, 1, 0], 3.16.ah_aq_iq 
(-8, -4, 5), [0, 0, 1], 3.16.ah_u_acm 
(-8, -3, 4), [0, 1, 0], 3.16.ah_bc_aey 
(-8, 0, 1), [0, 0, 1], 3.16.ah_bo_aiq 
(-4, -3, 0), [0, 1, 0], 3.16.ah_ci_aiq 
(-8, -5, 8), [0, 3, 0], 3.16.af_aq_ge 
(-8, -4, 7), [0, 0, 3], 3.16.af_ae_cm 
(-8, -1, 4), [0, 3, 0], 3.16.af_u_aey 
(-8, 0, 3), [0, 0, 3], 3.16.af_y_age 
(-4, -1, 0), [0, 3, 0], 3.16.af_ca_age 
(-8, -3, 8), [0, 1, 0], 3.16.ad_aq_ds 
(-8, 0, 5), [0, 0, 1], 3.16.ad_i_ads 
(-4, 0, 1), [0, 0, 1], 3.16.ad_bs_ads 
(-8, 0, 7), [0, 0, 3], 3.16.ab_ai_abg 
(-5, -4, 8), [3, 0, 0], 3.16.ab_ae_ey 
(-8, 3, 4), [0, 3, 0], 3.16.ab_e_aey 
(-1, 0, 0), [3, 0, 0], 3.16.ab_bw_abg 
(-7, 0, 8), [1, 0, 0], 3.16.b_ai_bg 
(-8, 4, 5), [0, 0, 1], 3.16.b_ae_aey 
(-4, -3, 8), [0, 1, 0], 3.16.b_e_ey 
(0, 0, 1), [0, 0, 1], 3.16.b_bw_bg 
(-8, 3, 8), [0, 3, 0], 3.16.d_aq_ads 
(-5, 0, 8), [3, 0, 0], 3.16.d_i_ds 
(-1, 0, 4), [3, 0, 0], 3.16.d_bs_ds 
(-8, 5, 8), [0, 1, 0], 3.16.f_aq_age 
(-7, 4, 8), [1, 0, 0], 3.16.f_ae_acm 
(-4, 1, 8), [0, 1, 0], 3.16.f_u_ey 
(-3, 0, 8), [1, 0, 0], 3.16.f_y_ge 
(0, 1, 4), [0, 1, 0], 3.16.f_ca_ge 
(-8, 7, 8), [0, 3, 0], 3.16.h_aq_aiq 
(-5, 4, 8), [3, 0, 0], 3.16.h_u_cm 
(-4, 3, 8), [0, 3, 0], 3.16.h_bc_ey 
(-1, 0, 8), [3, 0, 0], 3.16.h_bo_iq 
(0, 3, 4), [0, 3, 0], 3.16.h_ci_iq 
(-7, 8, 8), [1, 0, 0], 3.16.j_a_age 
(-3, 4, 8), [1, 0, 0], 3.16.j_bs_hk 
(0, 1, 8), [0, 1, 0], 3.16.j_ce_lc 
(0, 4, 5), [0, 0, 1], 3.16.j_cq_lc 
(-5, 8, 8), [3, 0, 0], 3.16.l_bg_bg 
(-4, 7, 8), [0, 3, 0], 3.16.l_bs_ey 
(0, 3, 8), [0, 3, 0], 3.16.l_cu_no 
(3, 4, 4), [3, 0, 0], 3.16.l_dk_pk 
(-3, 8, 8), [1, 0, 0], 3.16.n_cm_iq 
(0, 5, 8), [0, 1, 0], 3.16.n_dk_qa 
(1, 4, 8), [1, 0, 0], 3.16.n_do_rg 
(4, 4, 5), [0, 0, 1], 3.16.n_ea_tc 
(0, 7, 8), [0, 3, 0], 3.16.p_ea_sm 
(3, 4, 8), [3, 0, 0], 3.16.p_em_we 
(1, 8, 8), [1, 0, 0], 3.16.r_ey_xk 
(4, 5, 8), [0, 1, 0], 3.16.r_fk_bbc 
(3, 8, 8), [3, 0, 0], 3.16.t_ge_beu 
(4, 7, 8), [0, 3, 0], 3.16.t_gi_bga 
(5, 8, 8), [1, 0, 0], 3.16.v_hk_bme 
(7, 8, 8), [3, 0, 0], 3.16.x_iq_bto 
