(-10, -10, -9), [2, 2, 3], 3.25.abd_nr_admk 
(-10, -10, -8), [2, 2, 0], 3.25.abc_mx_adgq 
(-10, -10, -7), [2, 2, 1], 3.25.abb_md_adaw 
(-10, -10, -4), [2, 2, 0], 3.25.ay_jv_acjo 
(-10, -9, -5), [2, 3, 3], 3.25.ay_ka_aclm 
(-10, -10, -3), [2, 2, 1], 3.25.ax_jb_acdu 
(-10, -8, -5), [2, 0, 3], 3.25.ax_jl_achq 
(-10, -10, -2), [2, 2, 2], 3.25.aw_ih_abya 
(-10, -7, -5), [2, 1, 3], 3.25.aw_iw_acdu 
(-10, -10, -1), [2, 2, 3], 3.25.av_hn_absg 
(-10, -6, -5), [2, 2, 3], 3.25.av_ih_abzy 
(-10, -10, 1), [2, 2, 1], 3.25.at_fz_abgs 
(-10, -5, -4), [2, 3, 0], 3.25.at_hd_absg 
(-9, -5, -5), [3, 3, 3], 3.25.at_hi_abtf 
(-10, -10, 2), [2, 2, 2], 3.25.as_ff_abay 
(-10, -5, -3), [2, 3, 1], 3.25.as_go_abok 
(-10, -10, 3), [2, 2, 3], 3.25.ar_el_ave 
(-10, -5, -2), [2, 3, 2], 3.25.ar_fz_abko 
(-7, -5, -5), [1, 3, 3], 3.25.ar_go_abnl 
(-10, -10, 4), [2, 2, 0], 3.25.aq_dr_apk 
(-6, -5, -5), [2, 3, 3], 3.25.aq_ge_abko 
(-10, -9, 5), [2, 3, 1], 3.25.ao_cs_ajq 
(-10, -5, 1), [2, 3, 1], 3.25.ao_eg_aza 
(-5, -5, -4), [3, 3, 0], 3.25.ao_fk_abeu 
(-10, -10, 7), [2, 2, 3], 3.25.an_bj_by 
(-10, -8, 5), [2, 0, 1], 3.25.an_cn_ajq 
(-10, -5, 2), [2, 3, 2], 3.25.an_dr_ave 
(-5, -5, -3), [3, 3, 1], 3.25.an_fa_abbx 
(-10, -5, 3), [2, 3, 3], 3.25.am_dc_ari 
(-10, -10, 9), [2, 2, 1], 3.25.al_af_nm 
(-10, -6, 5), [2, 2, 1], 3.25.al_cd_ajq 
(-10, -5, 4), [2, 3, 0], 3.25.al_cn_anm 
(-5, -5, -1), [3, 3, 3], 3.25.al_eg_awd 
(-10, -9, 10), [2, 3, 2], 3.25.aj_az_ri 
(-9, -5, 5), [3, 3, 1], 3.25.aj_by_air 
(-5, -5, 1), [3, 3, 1], 3.25.aj_dm_aqj 
(-10, -8, 10), [2, 0, 2], 3.25.ai_az_pk 
(-10, -5, 7), [2, 3, 3], 3.25.ai_u_aby 
(-10, -3, 5), [2, 1, 1], 3.25.ai_bo_ajq 
(-8, -5, 5), [0, 3, 1], 3.25.ai_by_ahs 
(-10, -7, 10), [2, 1, 2], 3.25.ah_az_nm 
(-10, -2, 5), [2, 2, 1], 3.25.ah_bj_ajq 
