(-3, -3, -2), [1, 1, 2], 3.3.ai_be_aco 
(-3, -3, -1), [1, 1, 3], 3.3.ah_y_abz 
(-3, -3, 1), [1, 1, 1], 3.3.af_m_av 
(-3, -2, 0), [1, 2, 0], 3.3.af_p_abe 
(-3, -3, 2), [1, 1, 2], 3.3.ae_g_ag 
(-2, 0, 0), [2, 0, 0], 3.3.ac_j_am 
(-3, -1, 3), [1, 3, 3], 3.3.ab_a_d 
(-1, 0, 0), [3, 0, 0], 3.3.ab_j_ag 
(-3, 1, 3), [1, 1, 3], 3.3.b_a_ad 
(0, 0, 1), [0, 0, 1], 3.3.b_j_g 
(0, 0, 2), [0, 0, 2], 3.3.c_j_m 
(-2, 3, 3), [2, 3, 3], 3.3.e_g_g 
(-1, 3, 3), [3, 3, 3], 3.3.f_m_v 
(0, 2, 3), [0, 2, 3], 3.3.f_p_be 
(1, 3, 3), [1, 3, 3], 3.3.h_y_bz 
(2, 3, 3), [2, 3, 3], 3.3.i_be_co 
