(-4, -4, -3), [0, 0, 1], 3.4.al_ca_afg 
(-4, -4, -1), [0, 0, 3], 3.4.aj_bk_adk 
(-4, -3, -2), [0, 1, 2], 3.4.aj_bm_ads 
(-4, -4, 1), [0, 0, 1], 3.4.ah_u_abo 
(-4, -3, 0), [0, 1, 0], 3.4.ah_y_ace 
(-4, -2, -1), [0, 2, 3], 3.4.ah_ba_acm 
(-3, -2, -2), [1, 2, 2], 3.4.ah_bc_acq 
(-4, -4, 3), [0, 0, 3], 3.4.af_e_i 
(-4, -3, 2), [0, 1, 2], 3.4.af_k_aq 
(-4, -2, 1), [0, 2, 1], 3.4.af_o_abg 
(-4, -1, 0), [0, 3, 0], 3.4.af_q_abo 
(-3, -2, 0), [1, 2, 0], 3.4.af_s_abo 
(-2, -2, -1), [2, 2, 3], 3.4.af_u_abs 
(-4, -3, 4), [0, 1, 0], 3.4.ad_ae_y 
(-4, -2, 3), [0, 2, 3], 3.4.ad_c_a 
(-4, 0, 1), [0, 0, 1], 3.4.ad_i_ay 
(-2, -1, 0), [2, 3, 0], 3.4.ad_o_ay 
(-4, -1, 4), [0, 3, 0], 3.4.ab_ae_i 
(-3, -2, 4), [1, 2, 0], 3.4.ab_ac_q 
(-4, 0, 3), [0, 0, 3], 3.4.ab_a_ai 
(-4, 1, 2), [0, 1, 2], 3.4.ab_c_aq 
(-2, 0, 1), [2, 0, 1], 3.4.ab_k_ai 
(-1, 0, 0), [3, 0, 0], 3.4.ab_m_ai 
(-4, 1, 4), [0, 1, 0], 3.4.b_ae_ai 
(-4, 2, 3), [0, 2, 3], 3.4.b_ac_aq 
(-3, 0, 4), [1, 0, 0], 3.4.b_a_i 
(-2, -1, 4), [2, 3, 0], 3.4.b_c_q 
(-1, 0, 2), [3, 0, 2], 3.4.b_k_i 
(0, 0, 1), [0, 0, 1], 3.4.b_m_i 
(-4, 3, 4), [0, 3, 0], 3.4.d_ae_ay 
(-3, 2, 4), [1, 2, 0], 3.4.d_c_a 
(-1, 0, 4), [3, 0, 0], 3.4.d_i_y 
(0, 1, 2), [0, 1, 2], 3.4.d_o_y 
(-3, 4, 4), [1, 0, 0], 3.4.f_e_ai 
(-2, 3, 4), [2, 3, 0], 3.4.f_k_q 
(-1, 2, 4), [3, 2, 0], 3.4.f_o_bg 
(0, 1, 4), [0, 1, 0], 3.4.f_q_bo 
(0, 2, 3), [0, 2, 3], 3.4.f_s_bo 
(1, 2, 2), [1, 2, 2], 3.4.f_u_bs 
(-1, 4, 4), [3, 0, 0], 3.4.h_u_bo 
(0, 3, 4), [0, 3, 0], 3.4.h_y_ce 
(1, 2, 4), [1, 2, 0], 3.4.h_ba_cm 
(2, 2, 3), [2, 2, 3], 3.4.h_bc_cq 
(1, 4, 4), [1, 0, 0], 3.4.j_bk_dk 
(2, 3, 4), [2, 3, 0], 3.4.j_bm_ds 
(3, 4, 4), [3, 0, 0], 3.4.l_ca_fg 
