(-5, -4, -4), [3, 0, 0], 3.8.an_dc_alc 
(-4, -4, -3), [0, 0, 1], 3.8.al_cm_aiq 
(-5, -4, 0), [3, 0, 0], 3.8.aj_bs_afo 
(-4, -3, 0), [0, 1, 0], 3.8.ah_bk_aei 
(-4, -1, 0), [0, 3, 0], 3.8.af_bc_adc 
(-4, 0, 1), [0, 0, 1], 3.8.ad_u_abw 
(-1, 0, 0), [3, 0, 0], 3.8.ab_y_aq 
(0, 0, 1), [0, 0, 1], 3.8.b_y_q 
(-1, 0, 4), [3, 0, 0], 3.8.d_u_bw 
(0, 1, 4), [0, 1, 0], 3.8.f_bc_dc 
(0, 3, 4), [0, 3, 0], 3.8.h_bk_ei 
(0, 4, 5), [0, 0, 1], 3.8.j_bs_fo 
(3, 4, 4), [3, 0, 0], 3.8.l_cm_iq 
(4, 4, 5), [0, 0, 1], 3.8.n_dc_lc 
