(-6, -6, -5), [2, 2, 3], 3.9.ar_et_ass 
(-6, -6, -4), [2, 2, 0], 3.9.aq_eh_aqq 
(-6, -6, -2), [2, 2, 2], 3.9.ao_dj_amm 
(-6, -5, -3), [2, 3, 1], 3.9.ao_dm_ane 
(-6, -6, -1), [2, 2, 3], 3.9.an_cx_akk 
(-6, -4, -3), [2, 0, 1], 3.9.an_dd_alu 
(-6, -6, 1), [2, 2, 1], 3.9.al_bz_agg 
(-6, -5, 0), [2, 3, 0], 3.9.al_cf_ahq 
(-6, -3, -2), [2, 1, 2], 3.9.al_cl_aja 
(-5, -3, -3), [3, 1, 1], 3.9.al_co_ajj 
(-6, -6, 2), [2, 2, 2], 3.9.ak_bn_aee 
(-6, -4, 0), [2, 0, 0], 3.9.ak_bz_agy 
(-6, -3, -1), [2, 1, 3], 3.9.ak_cc_ahq 
(-4, -3, -3), [0, 1, 1], 3.9.ak_ci_aii 
(-6, -6, 4), [2, 2, 0], 3.9.ai_p_a 
(-6, -3, 1), [2, 1, 1], 3.9.ai_bk_aew 
(-6, -2, 0), [2, 2, 0], 3.9.ai_bn_afo 
(-5, -3, 0), [3, 1, 0], 3.9.ai_bq_afo 
(-3, -3, -2), [1, 1, 2], 3.9.ai_bw_agg 
(-6, -6, 5), [2, 2, 1], 3.9.ah_d_cc 
(-6, -3, 2), [2, 1, 2], 3.9.ah_bb_adm 
(-6, -1, 0), [2, 3, 0], 3.9.ah_bh_aew 
(-4, -3, 0), [0, 1, 0], 3.9.ah_bn_aew 
(-3, -3, -1), [1, 1, 3], 3.9.ah_bq_aff 
(-6, -5, 6), [2, 3, 2], 3.9.af_aj_dm 
(-6, -3, 4), [2, 1, 0], 3.9.af_j_as 
(-5, -3, 3), [3, 1, 3], 3.9.af_s_abt 
(-6, 0, 1), [2, 0, 1], 3.9.af_v_adm 
(-3, -3, 1), [1, 1, 1], 3.9.af_be_add 
(-3, -2, 0), [1, 2, 0], 3.9.af_bh_adm 
