(-8, -8, 1), [0, 0, 1], 3.16.ap_ds_aqa 
(-7, -4, -4), [1, 0, 0], 3.16.ap_eq_awu 
(-8, -4, 1), [0, 0, 1], 3.16.al_cq_ami 
(-7, -4, 0), [1, 0, 0], 3.16.al_cy_ano 
(-8, -5, 4), [0, 3, 0], 3.16.aj_bk_aey 
(-4, -4, -1), [0, 0, 3], 3.16.aj_cu_als 
(-7, -4, 4), [1, 0, 0], 3.16.ah_bg_aei 
(-7, 0, 0), [1, 0, 0], 3.16.ah_bw_aiq 
(-4, -4, 1), [0, 0, 1], 3.16.ah_ce_aia 
(-5, -4, 4), [3, 0, 0], 3.16.af_bg_adc 
(-4, -4, 3), [0, 0, 3], 3.16.af_bo_aei 
(-5, 0, 0), [3, 0, 0], 3.16.af_bw_age 
(-7, -4, 8), [1, 0, 0], 3.16.ad_am_ey 
(-8, 1, 4), [0, 1, 0], 3.16.ad_m_aey 
(-7, 0, 4), [1, 0, 0], 3.16.ad_u_ads 
(-4, -4, 5), [0, 0, 1], 3.16.ad_y_aq 
(-4, -3, 4), [0, 1, 0], 3.16.ad_bg_abw 
(-3, 0, 0), [1, 0, 0], 3.16.ad_bw_ads 
(-8, -1, 8), [0, 3, 0], 3.16.ab_aq_bg 
(-4, -4, 7), [0, 0, 3], 3.16.ab_i_dc 
(-5, 0, 4), [3, 0, 0], 3.16.ab_bc_abg 
(-4, -1, 4), [0, 3, 0], 3.16.ab_bg_aq 
(-4, 0, 3), [0, 0, 3], 3.16.ab_bk_abg 
(-8, 1, 8), [0, 1, 0], 3.16.b_aq_abg 
(-7, 4, 4), [1, 0, 0], 3.16.b_i_adc 
(-4, 0, 5), [0, 0, 1], 3.16.b_bc_bg 
(-4, 1, 4), [0, 1, 0], 3.16.b_bg_q 
(-3, 0, 4), [1, 0, 0], 3.16.b_bk_bg 
(-8, 4, 7), [0, 0, 3], 3.16.d_am_aey 
(-4, -1, 8), [0, 3, 0], 3.16.d_m_ey 
(-4, 0, 7), [0, 0, 3], 3.16.d_u_ds 
(-5, 4, 4), [3, 0, 0], 3.16.d_y_q 
(-4, 3, 4), [0, 3, 0], 3.16.d_bg_bw 
(0, 0, 3), [0, 0, 3], 3.16.d_bw_ds 
(-4, 4, 5), [0, 0, 1], 3.16.f_bg_dc 
(-3, 4, 4), [1, 0, 0], 3.16.f_bo_ei 
(0, 0, 5), [0, 0, 1], 3.16.f_bw_ge 
(-4, 4, 7), [0, 0, 3], 3.16.h_bg_ei 
(0, 0, 7), [0, 0, 3], 3.16.h_bw_iq 
(-1, 4, 4), [3, 0, 0], 3.16.h_ce_ia 
(-4, 5, 8), [0, 1, 0], 3.16.j_bk_ey 
(1, 4, 4), [1, 0, 0], 3.16.j_cu_ls 
(-1, 4, 8), [3, 0, 0], 3.16.l_cq_mi 
(0, 4, 7), [0, 0, 3], 3.16.l_cy_no 
(-1, 8, 8), [3, 0, 0], 3.16.p_ds_qa 
(4, 4, 7), [0, 0, 3], 3.16.p_eq_wu 
