(-10, -10, -6), [15, 15, 19], 3.25.aba_lj_acvc 
(-8, -5, -5), [17, 20, 20], 3.25.as_gy_abqi 
(-10, -5, -1), [15, 20, 24], 3.25.aq_fk_abgs 
(-10, -10, 6), [15, 15, 6], 3.25.ao_cd_adw 
(-10, -10, 8), [15, 15, 8], 3.25.am_p_hs 
(-10, -7, 5), [15, 18, 5], 3.25.am_ci_ajq 
(-5, -5, -2), [20, 20, 23], 3.25.am_eq_aza 
(-10, -5, 6), [15, 20, 6], 3.25.aj_bj_afu 
(-10, -4, 5), [15, 21, 5], 3.25.aj_bt_ajq 
(-5, -5, 2), [20, 20, 2], 3.25.ai_dc_anm 
(-10, -5, 8), [15, 20, 8], 3.25.ah_f_by 
(-10, -6, 10), [15, 19, 10], 3.25.ag_az_lo 
(-10, -1, 5), [15, 24, 5], 3.25.ag_be_ajq 
(-6, -5, 5), [19, 20, 5], 3.25.ag_by_afu 
(-5, -5, 4), [20, 20, 4], 3.25.ag_ci_ahs 
(-5, -5, 6), [20, 20, 6], 3.25.ae_bo_aby 
(-5, -5, 8), [20, 20, 8], 3.25.ac_u_dw 
(-5, -2, 5), [20, 23, 5], 3.25.ac_by_aby 
(-8, 5, 5), [17, 5, 5], 3.25.c_u_adw 
(-5, 2, 5), [20, 2, 5], 3.25.c_by_by 
(-6, 5, 5), [19, 5, 5], 3.25.e_bo_by 
(-10, 6, 10), [15, 6, 10], 3.25.g_az_alo 
(-5, 1, 10), [20, 1, 10], 3.25.g_be_jq 
(-5, 5, 6), [20, 5, 6], 3.25.g_by_fu 
(-4, 5, 5), [21, 5, 5], 3.25.g_ci_hs 
(-8, 5, 10), [17, 5, 10], 3.25.h_f_aby 
(-2, 5, 5), [23, 5, 5], 3.25.i_dc_nm 
(-6, 5, 10), [19, 5, 10], 3.25.j_bj_fu 
(-5, 4, 10), [20, 4, 10], 3.25.j_bt_jq 
(-8, 10, 10), [17, 10, 10], 3.25.m_p_ahs 
(-5, 7, 10), [20, 7, 10], 3.25.m_ci_jq 
(2, 5, 5), [2, 5, 5], 3.25.m_eq_za 
(-6, 10, 10), [19, 10, 10], 3.25.o_cd_dw 
(1, 5, 10), [1, 5, 10], 3.25.q_fk_bgs 
(5, 5, 8), [5, 5, 8], 3.25.s_gy_bqi 
(6, 10, 10), [6, 10, 10], 3.25.ba_lj_cvc 
