(-4, -4, -1), [4, 4, 7], 3.8.aj_bw_age 
(-4, -4, 1), [4, 4, 1], 3.8.ah_bg_ads 
(-5, -4, 4), [3, 4, 4], 3.8.af_i_a 
(-4, -4, 3), [4, 4, 3], 3.8.af_q_abg 
(-5, 0, 0), [3, 0, 0], 3.8.af_y_adc 
(-4, -4, 5), [4, 4, 5], 3.8.ad_a_bg 
(-4, -3, 4), [4, 5, 4], 3.8.ad_i_a 
(-3, 0, 0), [5, 0, 0], 3.8.ad_y_abw 
(-5, 0, 4), [3, 0, 4], 3.8.ab_e_aq 
(-4, -1, 4), [4, 7, 4], 3.8.ab_i_a 
(-4, 0, 3), [4, 0, 3], 3.8.ab_m_aq 
(-4, 0, 5), [4, 0, 5], 3.8.b_e_q 
(-4, 1, 4), [4, 1, 4], 3.8.b_i_a 
(-3, 0, 4), [5, 0, 4], 3.8.b_m_q 
(-5, 4, 4), [3, 4, 4], 3.8.d_a_abg 
(-4, 3, 4), [4, 3, 4], 3.8.d_i_a 
(0, 0, 3), [0, 0, 3], 3.8.d_y_bw 
(-4, 4, 5), [4, 4, 5], 3.8.f_i_a 
(-3, 4, 4), [5, 4, 4], 3.8.f_q_bg 
(0, 0, 5), [0, 0, 5], 3.8.f_y_dc 
(-1, 4, 4), [7, 4, 4], 3.8.h_bg_ds 
(1, 4, 4), [1, 4, 4], 3.8.j_bw_ge 
