(-5, -4, 0), [3, 0, 0], 3.11.aj_cb_ahq 
(-4, -3, 0), [0, 1, 0], 3.11.ah_bt_afy 
(-4, -1, 0), [0, 3, 0], 3.11.af_bl_aeg 
(-3, -2, 0), [1, 2, 0], 3.11.af_bn_aeg 
(-2, -1, 0), [2, 3, 0], 3.11.ad_bj_aco 
(-1, -1, 0), [3, 3, 0], 3.11.ac_bi_abs 
(-2, 0, 1), [2, 0, 1], 3.11.ab_bf_aw 
(-1, 0, 1), [3, 0, 1], 3.11.a_bg_a 
(-1, 0, 2), [3, 0, 2], 3.11.b_bf_w 
(0, 1, 1), [0, 1, 1], 3.11.c_bi_bs 
(0, 1, 2), [0, 1, 2], 3.11.d_bj_co 
(0, 1, 4), [0, 1, 0], 3.11.f_bl_eg 
(0, 2, 3), [0, 2, 3], 3.11.f_bn_eg 
(0, 3, 4), [0, 3, 0], 3.11.h_bt_fy 
(0, 4, 5), [0, 0, 1], 3.11.j_cb_hq 
