(-7, -7, 0), [1, 1, 0], 3.13.ao_dk_aoa 
(-4, -3, 0), [0, 1, 0], 3.13.ah_bz_aha 
(-4, -1, 0), [0, 3, 0], 3.13.af_br_afa 
(-3, -2, 0), [1, 2, 0], 3.13.af_bt_afa 
(-2, -2, 0), [2, 2, 0], 3.13.ae_br_aea 
(-2, -1, 0), [2, 3, 0], 3.13.ad_bp_ada 
(-1, -1, 0), [3, 3, 0], 3.13.ac_bo_aca 
(-2, 0, 1), [2, 0, 1], 3.13.ab_bl_aba 
(-1, 0, 1), [3, 0, 1], 3.13.a_bm_a 
(-1, 0, 2), [3, 0, 2], 3.13.b_bl_ba 
(0, 1, 1), [0, 1, 1], 3.13.c_bo_ca 
(0, 1, 2), [0, 1, 2], 3.13.d_bp_da 
(0, 2, 2), [0, 2, 2], 3.13.e_br_ea 
(0, 1, 4), [0, 1, 0], 3.13.f_br_fa 
(0, 2, 3), [0, 2, 3], 3.13.f_bt_fa 
(0, 3, 4), [0, 3, 0], 3.13.h_bz_ha 
(0, 7, 7), [0, 3, 3], 3.13.o_dk_oa 
