(-8, -7, -7), [8, 9, 9], 3.16.aw_ib_abqe 
(-8, -7, -5), [8, 9, 11], 3.16.au_gx_abjk 
(-8, -7, -3), [8, 9, 13], 3.16.as_ft_abcq 
(-8, -5, -5), [8, 11, 11], 3.16.as_fx_abdw 
(-7, -7, -4), [9, 9, 12], 3.16.as_fx_abds 
(-8, -7, -1), [8, 9, 15], 3.16.aq_ep_avw 
(-8, -5, -3), [8, 11, 13], 3.16.aq_ex_ayi 
(-7, -5, -4), [9, 11, 12], 3.16.aq_fb_azc 
(-8, -7, 1), [8, 9, 1], 3.16.ao_dl_apc 
(-7, -7, 0), [9, 9, 0], 3.16.ao_dt_arg 
(-8, -5, -1), [8, 11, 15], 3.16.ao_dx_asu 
(-7, -4, -3), [9, 12, 13], 3.16.ao_ef_aum 
(-5, -5, -4), [11, 11, 12], 3.16.ao_ej_avc 
(-8, -7, 3), [8, 9, 3], 3.16.am_ch_aii 
(-8, -5, 1), [8, 11, 1], 3.16.am_cx_ang 
(-8, -3, -1), [8, 13, 15], 3.16.am_df_aps 
(-7, -4, -1), [9, 12, 15], 3.16.am_dj_apw 
(-5, -4, -3), [11, 12, 13], 3.16.am_dr_arc 
(-8, -7, 5), [8, 9, 5], 3.16.ak_bd_abo 
(-8, -5, 3), [8, 11, 3], 3.16.ak_bx_ahs 
(-8, -3, 1), [8, 13, 1], 3.16.ak_cj_alk 
(-8, -1, -1), [8, 15, 15], 3.16.ak_cn_amq 
(-5, -4, -1), [11, 12, 15], 3.16.ak_cz_anc 
(-4, -3, -3), [12, 13, 13], 3.16.ak_dd_ans 
(-8, -7, 7), [8, 9, 7], 3.16.ai_ab_fg 
(-8, -5, 5), [8, 11, 5], 3.16.ai_x_ace 
(-8, -3, 3), [8, 13, 3], 3.16.ai_bn_ahc 
(-8, -1, 1), [8, 15, 1], 3.16.ai_bv_ajo 
(-4, -3, -1), [12, 13, 15], 3.16.ai_cp_aki 
(-8, -5, 7), [8, 11, 7], 3.16.ag_ad_dk 
(-8, -3, 5), [8, 13, 5], 3.16.ag_r_acu 
(-8, -1, 3), [8, 15, 3], 3.16.ag_bd_agm 
(-4, -3, 1), [12, 13, 1], 3.16.ag_cb_agy 
(-4, -1, -1), [12, 15, 15], 3.16.ag_cf_aho 
(-3, -3, 0), [13, 13, 0], 3.16.ag_cf_ahk 
(-7, -5, 8), [9, 11, 8], 3.16.ae_an_fw 
(-8, -1, 5), [8, 15, 5], 3.16.ae_l_adk 
(-8, 1, 3), [8, 1, 3], 3.16.ae_t_afw 
(-3, -1, 0), [13, 15, 0], 3.16.ae_bz_aey 
(-7, -3, 8), [9, 13, 8], 3.16.ac_al_ea 
(-8, -1, 7), [8, 15, 7], 3.16.ac_ah_ai 
(-8, 1, 5), [8, 1, 5], 3.16.ac_f_aea 
(-3, 0, 1), [13, 0, 1], 3.16.ac_bt_acm 
(-1, -1, 0), [15, 15, 0], 3.16.ac_bx_acm 
(-8, 1, 7), [8, 1, 7], 3.16.a_aj_ace 
(-7, -1, 8), [9, 15, 8], 3.16.a_aj_ce 
(-8, 3, 5), [8, 3, 5], 3.16.a_ab_aeq 
(-5, -3, 8), [11, 13, 8], 3.16.a_ab_eq 
(-1, 0, 1), [15, 0, 1], 3.16.a_bv_a 
(-8, 3, 7), [8, 3, 7], 3.16.c_al_aea 
(-7, 1, 8), [9, 1, 8], 3.16.c_ah_i 
(-5, -1, 8), [11, 15, 8], 3.16.c_f_ea 
(-1, 0, 3), [15, 0, 3], 3.16.c_bt_cm 
(0, 1, 1), [0, 1, 1], 3.16.c_bx_cm 
(-8, 5, 7), [8, 5, 7], 3.16.e_an_afw 
(-5, 1, 8), [11, 1, 8], 3.16.e_l_dk 
(-3, -1, 8), [13, 15, 8], 3.16.e_t_fw 
(0, 1, 3), [0, 1, 3], 3.16.e_bz_ey 
(-7, 5, 8), [9, 5, 8], 3.16.g_ad_adk 
(-5, 3, 8), [11, 3, 8], 3.16.g_r_cu 
(-3, 1, 8), [13, 1, 8], 3.16.g_bd_gm 
(-1, 3, 4), [15, 3, 4], 3.16.g_cb_gy 
(0, 3, 3), [0, 3, 3], 3.16.g_cf_hk 
(1, 1, 4), [1, 1, 4], 3.16.g_cf_ho 
(-7, 7, 8), [9, 7, 8], 3.16.i_ab_afg 
(-5, 5, 8), [11, 5, 8], 3.16.i_x_ce 
(-3, 3, 8), [13, 3, 8], 3.16.i_bn_hc 
(-1, 1, 8), [15, 1, 8], 3.16.i_bv_jo 
(1, 3, 4), [1, 3, 4], 3.16.i_cp_ki 
(-5, 7, 8), [11, 7, 8], 3.16.k_bd_bo 
(-3, 5, 8), [13, 5, 8], 3.16.k_bx_hs 
(-1, 3, 8), [15, 3, 8], 3.16.k_cj_lk 
(1, 1, 8), [1, 1, 8], 3.16.k_cn_mq 
(1, 4, 5), [1, 4, 5], 3.16.k_cz_nc 
(3, 3, 4), [3, 3, 4], 3.16.k_dd_ns 
(-3, 7, 8), [13, 7, 8], 3.16.m_ch_ii 
