(-4, -3, 0), [0, 1, 0], 3.17.ah_cl_aje 
(-4, -1, 0), [0, 3, 0], 3.17.af_cd_ago 
(-3, -2, 0), [1, 2, 0], 3.17.af_cf_ago 
(-2, -2, 0), [2, 2, 0], 3.17.ae_cd_afg 
(-2, -1, 0), [2, 3, 0], 3.17.ad_cb_ady 
(-1, -1, 0), [3, 3, 0], 3.17.ac_ca_acq 
(-2, 0, 1), [2, 0, 1], 3.17.ab_bx_abi 
(-1, 0, 1), [3, 0, 1], 3.17.a_by_a 
(-1, 0, 2), [3, 0, 2], 3.17.b_bx_bi 
(0, 1, 1), [0, 1, 1], 3.17.c_ca_cq 
(0, 1, 2), [0, 1, 2], 3.17.d_cb_dy 
(0, 2, 2), [0, 2, 2], 3.17.e_cd_fg 
(0, 1, 4), [0, 1, 0], 3.17.f_cd_go 
(0, 2, 3), [0, 2, 3], 3.17.f_cf_go 
(0, 3, 4), [0, 3, 0], 3.17.h_cl_je 
