(-4, -3, 0), [15, 16, 0], 3.19.ah_cr_akg 
(-4, -1, 0), [15, 18, 0], 3.19.af_cj_ahi 
(-3, -2, 0), [16, 17, 0], 3.19.af_cl_ahi 
(-2, -1, 0), [17, 18, 0], 3.19.ad_ch_aek 
(-1, -1, 0), [18, 18, 0], 3.19.ac_cg_acy 
(-2, 0, 1), [17, 0, 1], 3.19.ab_cd_abm 
(-1, 0, 1), [18, 0, 1], 3.19.a_ce_a 
(-1, 0, 2), [18, 0, 2], 3.19.b_cd_bm 
(0, 1, 1), [0, 1, 1], 3.19.c_cg_cy 
(0, 1, 2), [0, 1, 2], 3.19.d_ch_ek 
(0, 1, 4), [0, 1, 4], 3.19.f_cj_hi 
(0, 2, 3), [0, 2, 3], 3.19.f_cl_hi 
(0, 3, 4), [0, 3, 4], 3.19.h_cr_kg 
