(-4, -3, 0), [19, 20, 0], 3.23.ah_dd_amk 
(-4, -1, 0), [19, 22, 0], 3.23.af_cv_aiw 
(-3, -2, 0), [20, 21, 0], 3.23.af_cx_aiw 
(-2, -1, 0), [21, 22, 0], 3.23.ad_ct_afi 
(-1, -1, 0), [22, 22, 0], 3.23.ac_cs_ado 
(-2, 0, 1), [21, 0, 1], 3.23.ab_cp_abu 
(-1, 0, 1), [22, 0, 1], 3.23.a_cq_a 
(-1, 0, 2), [22, 0, 2], 3.23.b_cp_bu 
(0, 1, 1), [0, 1, 1], 3.23.c_cs_do 
(0, 1, 2), [0, 1, 2], 3.23.d_ct_fi 
(0, 1, 4), [0, 1, 4], 3.23.f_cv_iw 
(0, 2, 3), [0, 2, 3], 3.23.f_cx_iw 
(0, 3, 4), [0, 3, 4], 3.23.h_dd_mk 
