(-10, -9, -9), [2, 3, 3], 3.25.abc_my_adha 
(-10, -9, -8), [2, 3, 0], 3.25.abb_mf_adbq 
(-10, -9, -7), [2, 3, 1], 3.25.aba_lm_acwg 
(-10, -8, -8), [2, 0, 0], 3.25.aba_ln_acwq 
(-10, -9, -6), [2, 3, 2], 3.25.az_kt_acqw 
(-10, -8, -7), [2, 0, 1], 3.25.az_kv_acrq 
(-10, -8, -6), [2, 0, 2], 3.25.ay_kd_acmq 
(-10, -7, -7), [2, 1, 1], 3.25.ay_ke_acna 
(-10, -9, -4), [2, 3, 0], 3.25.ax_jh_acgc 
(-9, -9, -5), [3, 3, 3], 3.25.ax_jm_achv 
(-10, -7, -6), [2, 1, 2], 3.25.ax_jn_acik 
(-10, -9, -3), [2, 3, 1], 3.25.aw_io_acas 
(-10, -8, -4), [2, 0, 0], 3.25.aw_it_accq 
(-9, -8, -5), [3, 0, 3], 3.25.aw_iy_acee 
(-10, -9, -2), [2, 3, 2], 3.25.av_hv_abvi 
(-10, -8, -3), [2, 0, 1], 3.25.av_ib_abxq 
(-10, -7, -4), [2, 1, 0], 3.25.av_if_abze 
(-9, -7, -5), [3, 1, 3], 3.25.av_ik_acan 
(-8, -8, -5), [0, 0, 3], 3.25.av_il_acas 
(-10, -7, -3), [2, 1, 1], 3.25.au_ho_abuo 
(-10, -6, -4), [2, 2, 0], 3.25.au_hr_abvs 
(-9, -6, -5), [3, 2, 3], 3.25.au_hw_abww 
(-8, -7, -5), [0, 1, 3], 3.25.au_hy_abxg 
(-10, -7, -2), [2, 1, 2], 3.25.at_gx_abpy 
(-10, -6, -3), [2, 2, 1], 3.25.at_hb_abrm 
(-8, -6, -5), [0, 2, 3], 3.25.at_hl_abtu 
(-7, -7, -5), [1, 1, 3], 3.25.at_hm_abtz 
(-10, -9, 1), [2, 3, 1], 3.25.as_fq_abfe 
(-9, -5, -4), [3, 3, 0], 3.25.as_gu_abpo 
(-7, -6, -5), [1, 2, 3], 3.25.as_ha_abqs 
(-10, -9, 2), [2, 3, 2], 3.25.ar_ex_azu 
(-10, -8, 1), [2, 0, 1], 3.25.ar_fh_abdq 
(-10, -4, -3), [2, 0, 1], 3.25.ar_gb_abli 
(-9, -5, -3), [3, 3, 1], 3.25.ar_gg_ablx 
(-8, -5, -4), [0, 3, 0], 3.25.ar_gl_abmw 
(-6, -6, -5), [2, 2, 3], 3.25.ar_gp_abnq 
(-10, -9, 3), [2, 3, 3], 3.25.aq_ee_auk 
(-10, -7, 1), [2, 1, 1], 3.25.aq_ey_abcc 
(-10, -4, -2), [2, 0, 2], 3.25.aq_fn_abhw 
(-7, -5, -4), [1, 3, 0], 3.25.aq_gc_abke 
(-10, -9, 4), [2, 3, 0], 3.25.ap_dl_apa 
