(-3, -2, -2), [1, 2, 2], 3.3.ah_z_acc 
(-3, -2, -1), [1, 2, 3], 3.3.ag_u_abq 
(-3, -1, -1), [1, 3, 3], 3.3.af_q_abh 
(-3, -1, 1), [1, 3, 1], 3.3.ad_i_ap 
(-2, -1, 0), [2, 3, 0], 3.3.ad_l_as 
(-1, -1, 0), [3, 3, 0], 3.3.ac_k_am 
(-2, -2, 3), [2, 2, 3], 3.3.ab_b_g 
(-3, 1, 1), [1, 1, 1], 3.3.ab_e_aj 
(-2, 0, 1), [2, 0, 1], 3.3.ab_h_ag 
(-1, 0, 1), [3, 0, 1], 3.3.a_i_a 
(-3, 2, 2), [1, 2, 2], 3.3.b_b_ag 
(-1, -1, 3), [3, 3, 3], 3.3.b_e_j 
(-1, 0, 2), [3, 0, 2], 3.3.b_h_g 
(0, 1, 1), [0, 1, 1], 3.3.c_k_m 
(-1, 1, 3), [3, 1, 3], 3.3.d_i_p 
(0, 1, 2), [0, 1, 2], 3.3.d_l_s 
(1, 1, 3), [1, 1, 3], 3.3.f_q_bh 
(1, 2, 3), [1, 2, 3], 3.3.g_u_bq 
(2, 2, 3), [2, 2, 3], 3.3.h_z_cc 
