(-4, -3, -3), [0, 1, 1], 3.4.ak_bt_aem 
(-4, -3, -1), [0, 1, 3], 3.4.ai_bf_acy 
(-3, -3, -2), [1, 1, 2], 3.4.ai_bh_ade 
(-4, -3, 1), [0, 1, 1], 3.4.ag_r_abk 
(-4, -1, -1), [0, 3, 3], 3.4.ag_v_aca 
(-3, -3, 0), [1, 1, 0], 3.4.ag_v_abw 
(-3, -2, -1), [1, 2, 3], 3.4.ag_x_acc 
(-4, -3, 3), [0, 1, 3], 3.4.ae_d_e 
(-3, -3, 2), [1, 1, 2], 3.4.ae_j_ao 
(-4, -1, 1), [0, 3, 1], 3.4.ae_l_abc 
(-3, -2, 1), [1, 2, 1], 3.4.ae_n_aba 
(-3, -1, 0), [1, 3, 0], 3.4.ae_p_abg 
(-2, -1, -1), [2, 3, 3], 3.4.ae_r_abi 
(-3, -3, 4), [1, 1, 0], 3.4.ac_ad_u 
(-4, -1, 3), [0, 3, 3], 3.4.ac_b_ae 
(-3, 0, 1), [1, 0, 1], 3.4.ac_j_aq 
(-2, -1, 1), [2, 3, 1], 3.4.ac_l_ao 
(-1, -1, 0), [3, 3, 0], 3.4.ac_n_aq 
(-4, 1, 3), [0, 1, 3], 3.4.a_ab_am 
(-3, -1, 4), [1, 3, 0], 3.4.a_ab_m 
(-2, 1, 1), [2, 1, 1], 3.4.a_j_ac 
(-1, -1, 2), [3, 3, 2], 3.4.a_j_c 
(-1, 0, 1), [3, 0, 1], 3.4.a_l_a 
(-4, 3, 3), [0, 3, 3], 3.4.c_ad_au 
(-3, 1, 4), [1, 1, 0], 3.4.c_b_e 
(-1, 0, 3), [3, 0, 3], 3.4.c_j_q 
(-1, 1, 2), [3, 1, 2], 3.4.c_l_o 
(0, 1, 1), [0, 1, 1], 3.4.c_n_q 
(-3, 3, 4), [1, 3, 0], 3.4.e_d_ae 
(-2, 3, 3), [2, 3, 3], 3.4.e_j_o 
(-1, 1, 4), [3, 1, 0], 3.4.e_l_bc 
(-1, 2, 3), [3, 2, 3], 3.4.e_n_ba 
(0, 1, 3), [0, 1, 3], 3.4.e_p_bg 
(1, 1, 2), [1, 1, 2], 3.4.e_r_bi 
(-1, 3, 4), [3, 3, 0], 3.4.g_r_bk 
(0, 3, 3), [0, 3, 3], 3.4.g_v_bw 
(1, 1, 4), [1, 1, 0], 3.4.g_v_ca 
(1, 2, 3), [1, 2, 3], 3.4.g_x_cc 
(1, 3, 4), [1, 3, 0], 3.4.i_bf_cy 
(2, 3, 3), [2, 3, 3], 3.4.i_bh_de 
(3, 3, 4), [3, 3, 0], 3.4.k_bt_em 
