(-4, -4, 0), [1, 1, 0], 3.5.ai_bf_adc 
(-4, -3, 0), [1, 2, 0], 3.5.ah_bb_acs 
(-4, -1, 0), [1, 4, 0], 3.5.af_t_aby 
(-3, -2, 0), [2, 3, 0], 3.5.af_v_aby 
(-2, -2, 0), [3, 3, 0], 3.5.ae_t_abo 
(-2, -1, 0), [3, 4, 0], 3.5.ad_r_abe 
(-1, -1, 0), [4, 4, 0], 3.5.ac_q_au 
(-2, 0, 1), [3, 0, 1], 3.5.ab_n_ak 
(-1, 0, 1), [4, 0, 1], 3.5.a_o_a 
(-1, 0, 2), [4, 0, 2], 3.5.b_n_k 
(0, 1, 1), [0, 1, 1], 3.5.c_q_u 
(0, 1, 2), [0, 1, 2], 3.5.d_r_be 
(0, 2, 2), [0, 2, 2], 3.5.e_t_bo 
(0, 1, 4), [0, 1, 4], 3.5.f_t_by 
(0, 2, 3), [0, 2, 3], 3.5.f_v_by 
(0, 3, 4), [0, 3, 4], 3.5.h_bb_cs 
(0, 4, 4), [0, 4, 4], 3.5.i_bf_dc 
