(-5, -5, 0), [2, 2, 0], 3.7.ak_bu_afk 
(-5, -4, 0), [2, 3, 0], 3.7.aj_bp_aew 
(-4, -3, 0), [3, 4, 0], 3.7.ah_bh_adu 
(-4, -1, 0), [3, 6, 0], 3.7.af_z_acs 
(-3, -2, 0), [4, 5, 0], 3.7.af_bb_acs 
(-2, -1, 0), [5, 6, 0], 3.7.ad_x_abq 
(-1, -1, 0), [6, 6, 0], 3.7.ac_w_abc 
(-2, 0, 1), [5, 0, 1], 3.7.ab_t_ao 
(-1, 0, 1), [6, 0, 1], 3.7.a_u_a 
(-1, 0, 2), [6, 0, 2], 3.7.b_t_o 
(0, 1, 1), [0, 1, 1], 3.7.c_w_bc 
(0, 1, 2), [0, 1, 2], 3.7.d_x_bq 
(0, 1, 4), [0, 1, 4], 3.7.f_z_cs 
(0, 2, 3), [0, 2, 3], 3.7.f_bb_cs 
(0, 3, 4), [0, 3, 4], 3.7.h_bh_du 
(0, 4, 5), [0, 4, 5], 3.7.j_bp_ew 
(0, 5, 5), [0, 5, 5], 3.7.k_bu_fk 
