(-5, -5, -4), [3, 3, 0], 3.8.ao_dl_amm 
(-5, -4, -3), [3, 0, 1], 3.8.am_ct_ajs 
(-5, -5, 0), [3, 3, 0], 3.8.ak_bx_age 
(-5, -4, -1), [3, 0, 3], 3.8.ak_cb_agy 
(-4, -3, -3), [0, 1, 1], 3.8.ak_cf_aho 
(-5, -3, 0), [3, 1, 0], 3.8.ai_bn_aey 
(-4, -3, -1), [0, 1, 3], 3.8.ai_br_afk 
(-5, -1, 0), [3, 3, 0], 3.8.ag_bd_ads 
(-4, -1, -1), [0, 3, 3], 3.8.ag_bh_adw 
(-3, -3, 0), [1, 1, 0], 3.8.ag_bh_ads 
(-3, -1, 0), [1, 3, 0], 3.8.ae_bb_acm 
(-3, 0, 1), [1, 0, 1], 3.8.ac_v_abg 
(-1, -1, 0), [3, 3, 0], 3.8.ac_z_abg 
(-1, 0, 1), [3, 0, 1], 3.8.a_x_a 
(-1, 0, 3), [3, 0, 3], 3.8.c_v_bg 
(0, 1, 1), [0, 1, 1], 3.8.c_z_bg 
(0, 1, 3), [0, 1, 3], 3.8.e_bb_cm 
(0, 1, 5), [0, 1, 1], 3.8.g_bd_ds 
(0, 3, 3), [0, 3, 3], 3.8.g_bh_ds 
(1, 1, 4), [1, 1, 0], 3.8.g_bh_dw 
(0, 3, 5), [0, 3, 1], 3.8.i_bn_ey 
(1, 3, 4), [1, 3, 0], 3.8.i_br_fk 
(0, 5, 5), [0, 1, 1], 3.8.k_bx_ge 
(1, 4, 5), [1, 0, 1], 3.8.k_cb_gy 
(3, 3, 4), [3, 3, 0], 3.8.k_cf_ho 
(3, 4, 5), [3, 0, 1], 3.8.m_ct_js 
(4, 5, 5), [0, 1, 1], 3.8.o_dl_mm 
