(-6, -5, -5), [3, 4, 4], 3.9.aq_ei_aqw 
(-6, -5, -4), [3, 4, 5], 3.9.ap_dx_apa 
(-6, -4, -4), [3, 5, 5], 3.9.ao_dn_ank 
(-6, -5, -2), [3, 4, 7], 3.9.an_db_ali 
(-5, -5, -3), [4, 4, 6], 3.9.an_de_alx 
(-6, -5, -1), [3, 4, 8], 3.9.am_cq_ajm 
(-6, -4, -2), [3, 5, 7], 3.9.am_ct_ake 
(-5, -4, -3), [4, 5, 6], 3.9.am_cw_akq 
(-6, -4, -1), [3, 5, 8], 3.9.al_cj_aio 
(-4, -4, -3), [5, 5, 6], 3.9.al_cp_ajm 
(-6, -5, 1), [3, 4, 1], 3.9.ak_bu_afu 
(-6, -5, 2), [3, 4, 2], 3.9.aj_bj_ady 
(-6, -4, 1), [3, 5, 1], 3.9.aj_bp_afi 
(-6, -2, -1), [3, 7, 8], 3.9.aj_bv_ags 
(-5, -4, 0), [4, 5, 0], 3.9.aj_bv_agg 
(-5, -3, -1), [4, 6, 8], 3.9.aj_by_agv 
(-4, -3, -2), [5, 6, 7], 3.9.aj_cb_ahe 
(-4, -3, -1), [5, 6, 8], 3.9.ai_bu_aga 
(-6, -5, 4), [3, 4, 4], 3.9.ah_n_ag 
(-5, -5, 3), [4, 4, 3], 3.9.ah_w_abz 
(-6, -2, 1), [3, 7, 1], 3.9.ah_bf_aek 
(-5, -3, 1), [4, 6, 1], 3.9.ah_bi_aeh 
(-3, -2, -2), [6, 7, 7], 3.9.ah_br_afi 
(-6, -5, 5), [3, 4, 5], 3.9.ag_c_bq 
(-6, -1, 1), [3, 8, 1], 3.9.ag_ba_ady 
(-3, -2, -1), [6, 7, 8], 3.9.ag_bm_aek 
(-6, -4, 5), [3, 5, 5], 3.9.af_b_be 
(-6, -1, 2), [3, 8, 2], 3.9.af_t_ada 
(-4, -1, 0), [5, 8, 0], 3.9.af_bf_adm 
(-3, -1, -1), [6, 8, 8], 3.9.af_bi_adp 
(-5, -5, 6), [4, 4, 6], 3.9.ae_ai_da 
(-2, -2, 0), [7, 7, 0], 3.9.ae_bf_acu 
(-5, -4, 6), [4, 5, 6], 3.9.ad_ah_co 
(-6, -2, 5), [3, 7, 5], 3.9.ad_ab_g 
(-5, -3, 5), [4, 6, 5], 3.9.ad_c_v 
(-6, 1, 2), [3, 1, 2], 3.9.ad_l_aco 
(-5, -1, 3), [4, 8, 3], 3.9.ad_o_abn 
(-3, -1, 1), [6, 8, 1], 3.9.ad_ba_abz 
(-2, -1, 0), [7, 8, 0], 3.9.ad_bd_acc 
(-6, -1, 5), [3, 8, 5], 3.9.ac_ac_ag 
(-4, -3, 5), [5, 6, 5], 3.9.ac_e_y 
(-1, -1, 0), [8, 8, 0], 3.9.ac_bc_abk 
(-5, -2, 6), [4, 7, 6], 3.9.ab_af_bq 
