(-6, -6, 0), [5, 5, 0], 3.11.am_cr_ake 
(-6, -5, 0), [5, 6, 0], 3.11.al_cl_aji 
(-6, -4, 0), [5, 7, 0], 3.11.ak_cf_aim 
(-5, -5, 0), [6, 6, 0], 3.11.ak_cg_aim 
(-6, -3, 0), [5, 8, 0], 3.11.aj_bz_ahq 
(-6, -2, 0), [5, 9, 0], 3.11.ai_bt_agu 
(-5, -3, 0), [6, 8, 0], 3.11.ai_bw_agu 
(-4, -4, 0), [7, 7, 0], 3.11.ai_bx_agu 
(-6, -1, 0), [5, 10, 0], 3.11.ah_bn_afy 
(-5, -2, 0), [6, 9, 0], 3.11.ah_br_afy 
(-5, -1, 0), [6, 10, 0], 3.11.ag_bm_afc 
(-4, -2, 0), [7, 9, 0], 3.11.ag_bp_afc 
(-3, -3, 0), [8, 8, 0], 3.11.ag_bq_afc 
(-6, 0, 1), [5, 0, 1], 3.11.af_bb_aeg 
(-6, 0, 2), [5, 0, 2], 3.11.ae_v_adk 
(-5, 0, 1), [6, 0, 1], 3.11.ae_bc_adk 
(-3, -1, 0), [8, 10, 0], 3.11.ae_bk_adk 
(-2, -2, 0), [9, 9, 0], 3.11.ae_bl_adk 
(-6, 0, 3), [5, 0, 3], 3.11.ad_p_aco 
(-5, 0, 2), [6, 0, 2], 3.11.ad_x_aco 
(-4, 0, 1), [7, 0, 1], 3.11.ad_bd_aco 
(-6, 0, 4), [5, 0, 4], 3.11.ac_j_abs 
(-5, 0, 3), [6, 0, 3], 3.11.ac_s_abs 
(-4, 0, 2), [7, 0, 2], 3.11.ac_z_abs 
(-3, 0, 1), [8, 0, 1], 3.11.ac_be_abs 
(-6, 0, 5), [5, 0, 5], 3.11.ab_d_aw 
(-5, 0, 4), [6, 0, 4], 3.11.ab_n_aw 
(-4, 0, 3), [7, 0, 3], 3.11.ab_v_aw 
(-3, 0, 2), [8, 0, 2], 3.11.ab_bb_aw 
(-6, 0, 6), [5, 0, 6], 3.11.a_ad_a 
(-5, 0, 5), [6, 0, 5], 3.11.a_i_a 
(-4, 0, 4), [7, 0, 4], 3.11.a_r_a 
(-3, 0, 3), [8, 0, 3], 3.11.a_y_a 
(-2, 0, 2), [9, 0, 2], 3.11.a_bd_a 
(-5, 0, 6), [6, 0, 6], 3.11.b_d_w 
(-4, 0, 5), [7, 0, 5], 3.11.b_n_w 
(-3, 0, 4), [8, 0, 4], 3.11.b_v_w 
(-2, 0, 3), [9, 0, 3], 3.11.b_bb_w 
(-4, 0, 6), [7, 0, 6], 3.11.c_j_bs 
(-3, 0, 5), [8, 0, 5], 3.11.c_s_bs 
(-2, 0, 4), [9, 0, 4], 3.11.c_z_bs 
(-1, 0, 3), [10, 0, 3], 3.11.c_be_bs 
(-3, 0, 6), [8, 0, 6], 3.11.d_p_co 
(-2, 0, 5), [9, 0, 5], 3.11.d_x_co 
(-1, 0, 4), [10, 0, 4], 3.11.d_bd_co 
(-2, 0, 6), [9, 0, 6], 3.11.e_v_dk 
(-1, 0, 5), [10, 0, 5], 3.11.e_bc_dk 
(0, 1, 3), [0, 1, 3], 3.11.e_bk_dk 
(0, 2, 2), [0, 2, 2], 3.11.e_bl_dk 
(-1, 0, 6), [10, 0, 6], 3.11.f_bb_eg 
(0, 1, 5), [0, 1, 5], 3.11.g_bm_fc 
(0, 2, 4), [0, 2, 4], 3.11.g_bp_fc 
(0, 3, 3), [0, 3, 3], 3.11.g_bq_fc 
(0, 1, 6), [0, 1, 6], 3.11.h_bn_fy 
(0, 2, 5), [0, 2, 5], 3.11.h_br_fy 
(0, 2, 6), [0, 2, 6], 3.11.i_bt_gu 
(0, 3, 5), [0, 3, 5], 3.11.i_bw_gu 
(0, 4, 4), [0, 4, 4], 3.11.i_bx_gu 
(0, 3, 6), [0, 3, 6], 3.11.j_bz_hq 
(0, 4, 6), [0, 4, 6], 3.11.k_cf_im 
(0, 5, 5), [0, 5, 5], 3.11.k_cg_im 
(0, 5, 6), [0, 5, 6], 3.11.l_cl_ji 
(0, 6, 6), [0, 6, 6], 3.11.m_cr_ke 
