(-7, -6, 0), [1, 2, 0], 3.13.an_dd_ana 
(-7, -5, 0), [1, 3, 0], 3.13.am_cw_ama 
(-6, -6, 0), [2, 2, 0], 3.13.am_cx_ama 
(-7, -4, 0), [1, 0, 0], 3.13.al_cp_ala 
(-6, -5, 0), [2, 3, 0], 3.13.al_cr_ala 
(-7, -3, 0), [1, 1, 0], 3.13.ak_ci_aka 
(-6, -4, 0), [2, 0, 0], 3.13.ak_cl_aka 
(-5, -5, 0), [3, 3, 0], 3.13.ak_cm_aka 
(-7, -2, 0), [1, 2, 0], 3.13.aj_cb_aja 
(-6, -3, 0), [2, 1, 0], 3.13.aj_cf_aja 
(-5, -4, 0), [3, 0, 0], 3.13.aj_ch_aja 
(-7, -1, 0), [1, 3, 0], 3.13.ai_bu_aia 
(-6, -2, 0), [2, 2, 0], 3.13.ai_bz_aia 
(-5, -3, 0), [3, 1, 0], 3.13.ai_cc_aia 
(-4, -4, 0), [0, 0, 0], 3.13.ai_cd_aia 
(-6, -1, 0), [2, 3, 0], 3.13.ah_bt_aha 
(-5, -2, 0), [3, 2, 0], 3.13.ah_bx_aha 
(-7, 0, 1), [1, 0, 1], 3.13.ag_bg_aga 
(-5, -1, 0), [3, 3, 0], 3.13.ag_bs_aga 
(-4, -2, 0), [0, 2, 0], 3.13.ag_bv_aga 
(-3, -3, 0), [1, 1, 0], 3.13.ag_bw_aga 
(-7, 0, 2), [1, 0, 2], 3.13.af_z_afa 
(-6, 0, 1), [2, 0, 1], 3.13.af_bh_afa 
(-7, 0, 3), [1, 0, 3], 3.13.ae_s_aea 
(-6, 0, 2), [2, 0, 2], 3.13.ae_bb_aea 
(-5, 0, 1), [3, 0, 1], 3.13.ae_bi_aea 
(-3, -1, 0), [1, 3, 0], 3.13.ae_bq_aea 
(-7, 0, 4), [1, 0, 0], 3.13.ad_l_ada 
(-6, 0, 3), [2, 0, 3], 3.13.ad_v_ada 
(-5, 0, 2), [3, 0, 2], 3.13.ad_bd_ada 
(-4, 0, 1), [0, 0, 1], 3.13.ad_bj_ada 
(-7, 0, 5), [1, 0, 1], 3.13.ac_e_aca 
(-6, 0, 4), [2, 0, 0], 3.13.ac_p_aca 
(-5, 0, 3), [3, 0, 3], 3.13.ac_y_aca 
(-4, 0, 2), [0, 0, 2], 3.13.ac_bf_aca 
(-3, 0, 1), [1, 0, 1], 3.13.ac_bk_aca 
(-7, 0, 6), [1, 0, 2], 3.13.ab_ad_aba 
(-6, 0, 5), [2, 0, 1], 3.13.ab_j_aba 
(-5, 0, 4), [3, 0, 0], 3.13.ab_t_aba 
(-4, 0, 3), [0, 0, 3], 3.13.ab_bb_aba 
(-3, 0, 2), [1, 0, 2], 3.13.ab_bh_aba 
(-7, 0, 7), [1, 0, 3], 3.13.a_ak_a 
(-6, 0, 6), [2, 0, 2], 3.13.a_d_a 
(-5, 0, 5), [3, 0, 1], 3.13.a_o_a 
(-4, 0, 4), [0, 0, 0], 3.13.a_x_a 
(-3, 0, 3), [1, 0, 3], 3.13.a_be_a 
(-2, 0, 2), [2, 0, 2], 3.13.a_bj_a 
(-6, 0, 7), [2, 0, 3], 3.13.b_ad_ba 
(-5, 0, 6), [3, 0, 2], 3.13.b_j_ba 
(-4, 0, 5), [0, 0, 1], 3.13.b_t_ba 
