(-8, -3, -3), [8, 13, 13], 3.16.ao_eb_aua 
(-7, -5, 0), [9, 11, 0], 3.16.am_df_aou 
(-7, -7, 4), [9, 9, 4], 3.16.ak_bp_aeu 
(-7, -4, 1), [9, 12, 1], 3.16.ak_cn_alg 
(-7, -3, 0), [9, 13, 0], 3.16.ak_cr_ami 
(-5, -5, 0), [11, 11, 0], 3.16.ak_cv_ami 
(-7, -5, 4), [9, 11, 4], 3.16.ai_bj_aem 
(-7, -4, 3), [9, 12, 3], 3.16.ai_br_agq 
(-7, -1, 0), [9, 15, 0], 3.16.ai_cd_ajw 
(-5, -4, 1), [11, 12, 1], 3.16.ai_ch_ajc 
(-5, -3, 0), [11, 13, 0], 3.16.ai_cl_ajw 
(-7, -7, 8), [9, 9, 8], 3.16.ag_ap_hs 
(-7, -4, 5), [9, 12, 5], 3.16.ag_v_aca 
(-7, -3, 4), [9, 13, 4], 3.16.ag_bd_aee 
(-8, 1, 1), [8, 1, 1], 3.16.ag_bh_ahs 
(-5, -5, 4), [11, 11, 4], 3.16.ag_bh_ado 
(-7, 0, 1), [9, 0, 1], 3.16.ag_bp_ahk 
(-5, -4, 3), [11, 12, 3], 3.16.ag_bp_afc 
(-5, -1, 0), [11, 15, 0], 3.16.ag_cb_ahk 
(-8, -3, 7), [8, 13, 7], 3.16.ae_af_bo 
(-7, -4, 7), [9, 12, 7], 3.16.ae_ab_cq 
(-7, -1, 4), [9, 15, 4], 3.16.ae_x_adw 
(-5, -4, 5), [11, 12, 5], 3.16.ae_x_abc 
(-7, 0, 3), [9, 0, 3], 3.16.ae_bb_aey 
(-5, -3, 4), [11, 13, 4], 3.16.ae_bf_acq 
(-4, -3, 3), [12, 13, 3], 3.16.ae_bn_ado 
(-5, 0, 1), [11, 0, 1], 3.16.ae_br_aey 
(-4, -1, 1), [12, 15, 1], 3.16.ae_bv_aeu 
(-5, -5, 8), [11, 11, 8], 3.16.ac_ah_fg 
(-5, -4, 7), [11, 12, 7], 3.16.ac_f_cy 
(-8, 3, 3), [8, 3, 3], 3.16.ac_j_afg 
(-7, 0, 5), [9, 0, 5], 3.16.ac_n_acm 
(-7, 1, 4), [9, 1, 4], 3.16.ac_r_ado 
(-4, -3, 5), [12, 13, 5], 3.16.ac_z_ae 
(-5, -1, 4), [11, 15, 4], 3.16.ac_bd_abs 
(-5, 0, 3), [11, 0, 3], 3.16.ac_bh_acm 
(-3, -3, 4), [13, 13, 4], 3.16.ac_bh_abc 
(-4, -1, 3), [12, 15, 3], 3.16.ac_bl_aca 
(-4, 1, 1), [12, 1, 1], 3.16.ac_bp_acq 
(-7, 0, 7), [9, 0, 7], 3.16.a_ab_a 
(-7, 3, 4), [9, 3, 4], 3.16.a_l_adg 
(-4, -3, 7), [12, 13, 7], 3.16.a_l_dg 
(-5, 0, 5), [11, 0, 5], 3.16.a_x_a 
(-5, 1, 4), [11, 1, 4], 3.16.a_bb_au 
(-4, -1, 5), [12, 15, 5], 3.16.a_bb_u 
(-4, 1, 3), [12, 1, 3], 3.16.a_bj_am 
(-3, -1, 4), [13, 15, 4], 3.16.a_bj_m 
(-3, 0, 3), [13, 0, 3], 3.16.a_bn_a 
(-8, 5, 5), [8, 5, 5], 3.16.c_ah_afg 
(-7, 4, 5), [9, 4, 5], 3.16.c_f_acy 
(-3, -3, 8), [13, 13, 8], 3.16.c_j_fg 
(-5, 0, 7), [11, 0, 7], 3.16.c_n_cm 
(-4, -1, 7), [12, 15, 7], 3.16.c_r_do 
(-5, 3, 4), [11, 3, 4], 3.16.c_z_e 
(-4, 1, 5), [12, 1, 5], 3.16.c_bd_bs 
(-4, 3, 3), [12, 3, 3], 3.16.c_bh_bc 
(-3, 0, 5), [13, 0, 5], 3.16.c_bh_cm 
(-3, 1, 4), [13, 1, 4], 3.16.c_bl_ca 
(-1, -1, 4), [15, 15, 4], 3.16.c_bp_cq 
(-7, 3, 8), [9, 3, 8], 3.16.e_af_abo 
(-7, 4, 7), [9, 4, 7], 3.16.e_ab_acq 
(-5, 4, 5), [11, 4, 5], 3.16.e_x_bc 
(-4, 1, 7), [12, 1, 7], 3.16.e_x_dw 
(-3, 0, 7), [13, 0, 7], 3.16.e_bb_ey 
(-4, 3, 5), [12, 3, 5], 3.16.e_bf_cq 
(-3, 3, 4), [13, 3, 4], 3.16.e_bn_do 
(-1, 0, 5), [15, 0, 5], 3.16.e_br_ey 
(-1, 1, 4), [15, 1, 4], 3.16.e_bv_eu 
(-8, 7, 7), [8, 7, 7], 3.16.g_ap_ahs 
(-5, 4, 7), [11, 4, 7], 3.16.g_v_ca 
(-4, 3, 7), [12, 3, 7], 3.16.g_bd_ee 
(-4, 5, 5), [12, 5, 5], 3.16.g_bh_do 
(-1, -1, 8), [15, 15, 8], 3.16.g_bh_hs 
(-3, 4, 5), [13, 4, 5], 3.16.g_bp_fc 
(-1, 0, 7), [15, 0, 7], 3.16.g_bp_hk 
(0, 1, 5), [0, 1, 5], 3.16.g_cb_hk 
(-4, 5, 7), [12, 5, 7], 3.16.i_bj_em 
(-3, 4, 7), [13, 4, 7], 3.16.i_br_gq 
(0, 1, 7), [0, 1, 7], 3.16.i_cd_jw 
