(-8, -8, 0), [9, 9, 0], 3.17.aq_el_auy 
(-8, -7, 0), [9, 10, 0], 3.17.ap_ed_atq 
(-8, -6, 0), [9, 11, 0], 3.17.ao_dv_asi 
(-7, -7, 0), [10, 10, 0], 3.17.ao_dw_asi 
(-8, -5, 0), [9, 12, 0], 3.17.an_dn_ara 
(-7, -6, 0), [10, 11, 0], 3.17.an_dp_ara 
(-8, -4, 0), [9, 13, 0], 3.17.am_df_aps 
(-7, -5, 0), [10, 12, 0], 3.17.am_di_aps 
(-6, -6, 0), [11, 11, 0], 3.17.am_dj_aps 
(-8, -3, 0), [9, 14, 0], 3.17.al_cx_aok 
(-7, -4, 0), [10, 13, 0], 3.17.al_db_aok 
(-6, -5, 0), [11, 12, 0], 3.17.al_dd_aok 
(-8, -2, 0), [9, 15, 0], 3.17.ak_cp_anc 
(-7, -3, 0), [10, 14, 0], 3.17.ak_cu_anc 
(-6, -4, 0), [11, 13, 0], 3.17.ak_cx_anc 
(-5, -5, 0), [12, 12, 0], 3.17.ak_cy_anc 
(-8, -1, 0), [9, 16, 0], 3.17.aj_ch_alu 
(-7, -2, 0), [10, 15, 0], 3.17.aj_cn_alu 
(-6, -3, 0), [11, 14, 0], 3.17.aj_cr_alu 
(-5, -4, 0), [12, 13, 0], 3.17.aj_ct_alu 
(-7, -1, 0), [10, 16, 0], 3.17.ai_cg_akm 
(-6, -2, 0), [11, 15, 0], 3.17.ai_cl_akm 
(-5, -3, 0), [12, 14, 0], 3.17.ai_co_akm 
(-4, -4, 0), [13, 13, 0], 3.17.ai_cp_akm 
(-8, 0, 1), [9, 0, 1], 3.17.ah_br_aje 
(-6, -1, 0), [11, 16, 0], 3.17.ah_cf_aje 
(-5, -2, 0), [12, 15, 0], 3.17.ah_cj_aje 
(-8, 0, 2), [9, 0, 2], 3.17.ag_bj_ahw 
(-7, 0, 1), [10, 0, 1], 3.17.ag_bs_ahw 
(-5, -1, 0), [12, 16, 0], 3.17.ag_ce_ahw 
(-4, -2, 0), [13, 15, 0], 3.17.ag_ch_ahw 
(-3, -3, 0), [14, 14, 0], 3.17.ag_ci_ahw 
(-8, 0, 3), [9, 0, 3], 3.17.af_bb_ago 
(-7, 0, 2), [10, 0, 2], 3.17.af_bl_ago 
(-6, 0, 1), [11, 0, 1], 3.17.af_bt_ago 
(-8, 0, 4), [9, 0, 4], 3.17.ae_t_afg 
(-7, 0, 3), [10, 0, 3], 3.17.ae_be_afg 
(-6, 0, 2), [11, 0, 2], 3.17.ae_bn_afg 
(-5, 0, 1), [12, 0, 1], 3.17.ae_bu_afg 
(-3, -1, 0), [14, 16, 0], 3.17.ae_cc_afg 
(-8, 0, 5), [9, 0, 5], 3.17.ad_l_ady 
(-7, 0, 4), [10, 0, 4], 3.17.ad_x_ady 
(-6, 0, 3), [11, 0, 3], 3.17.ad_bh_ady 
(-5, 0, 2), [12, 0, 2], 3.17.ad_bp_ady 
(-4, 0, 1), [13, 0, 1], 3.17.ad_bv_ady 
(-8, 0, 6), [9, 0, 6], 3.17.ac_d_acq 
(-7, 0, 5), [10, 0, 5], 3.17.ac_q_acq 
(-6, 0, 4), [11, 0, 4], 3.17.ac_bb_acq 
(-5, 0, 3), [12, 0, 3], 3.17.ac_bk_acq 
(-4, 0, 2), [13, 0, 2], 3.17.ac_br_acq 
(-3, 0, 1), [14, 0, 1], 3.17.ac_bw_acq 
(-8, 0, 7), [9, 0, 7], 3.17.ab_af_abi 
(-7, 0, 6), [10, 0, 6], 3.17.ab_j_abi 
(-6, 0, 5), [11, 0, 5], 3.17.ab_v_abi 
(-5, 0, 4), [12, 0, 4], 3.17.ab_bf_abi 
(-4, 0, 3), [13, 0, 3], 3.17.ab_bn_abi 
(-3, 0, 2), [14, 0, 2], 3.17.ab_bt_abi 
(-8, 0, 8), [9, 0, 8], 3.17.a_an_a 
(-7, 0, 7), [10, 0, 7], 3.17.a_c_a 
(-6, 0, 6), [11, 0, 6], 3.17.a_p_a 
(-5, 0, 5), [12, 0, 5], 3.17.a_ba_a 
(-4, 0, 4), [13, 0, 4], 3.17.a_bj_a 
(-3, 0, 3), [14, 0, 3], 3.17.a_bq_a 
(-2, 0, 2), [15, 0, 2], 3.17.a_bv_a 
(-7, 0, 8), [10, 0, 8], 3.17.b_af_bi 
(-6, 0, 7), [11, 0, 7], 3.17.b_j_bi 
(-5, 0, 6), [12, 0, 6], 3.17.b_v_bi 
(-4, 0, 5), [13, 0, 5], 3.17.b_bf_bi 
(-3, 0, 4), [14, 0, 4], 3.17.b_bn_bi 
(-2, 0, 3), [15, 0, 3], 3.17.b_bt_bi 
(-6, 0, 8), [11, 0, 8], 3.17.c_d_cq 
(-5, 0, 7), [12, 0, 7], 3.17.c_q_cq 
(-4, 0, 6), [13, 0, 6], 3.17.c_bb_cq 
(-3, 0, 5), [14, 0, 5], 3.17.c_bk_cq 
(-2, 0, 4), [15, 0, 4], 3.17.c_br_cq 
(-1, 0, 3), [16, 0, 3], 3.17.c_bw_cq 
(-5, 0, 8), [12, 0, 8], 3.17.d_l_dy 
(-4, 0, 7), [13, 0, 7], 3.17.d_x_dy 
(-3, 0, 6), [14, 0, 6], 3.17.d_bh_dy 
(-2, 0, 5), [15, 0, 5], 3.17.d_bp_dy 
(-1, 0, 4), [16, 0, 4], 3.17.d_bv_dy 
(-4, 0, 8), [13, 0, 8], 3.17.e_t_fg 
(-3, 0, 7), [14, 0, 7], 3.17.e_be_fg 
(-2, 0, 6), [15, 0, 6], 3.17.e_bn_fg 
(-1, 0, 5), [16, 0, 5], 3.17.e_bu_fg 
(0, 1, 3), [0, 1, 3], 3.17.e_cc_fg 
(-3, 0, 8), [14, 0, 8], 3.17.f_bb_go 
(-2, 0, 7), [15, 0, 7], 3.17.f_bl_go 
(-1, 0, 6), [16, 0, 6], 3.17.f_bt_go 
(-2, 0, 8), [15, 0, 8], 3.17.g_bj_hw 
(-1, 0, 7), [16, 0, 7], 3.17.g_bs_hw 
(0, 1, 5), [0, 1, 5], 3.17.g_ce_hw 
(0, 2, 4), [0, 2, 4], 3.17.g_ch_hw 
(0, 3, 3), [0, 3, 3], 3.17.g_ci_hw 
(-1, 0, 8), [16, 0, 8], 3.17.h_br_je 
(0, 1, 6), [0, 1, 6], 3.17.h_cf_je 
(0, 2, 5), [0, 2, 5], 3.17.h_cj_je 
(0, 1, 7), [0, 1, 7], 3.17.i_cg_km 
(0, 2, 6), [0, 2, 6], 3.17.i_cl_km 
(0, 3, 5), [0, 3, 5], 3.17.i_co_km 
(0, 4, 4), [0, 4, 4], 3.17.i_cp_km 
(0, 1, 8), [0, 1, 8], 3.17.j_ch_lu 
(0, 2, 7), [0, 2, 7], 3.17.j_cn_lu 
(0, 3, 6), [0, 3, 6], 3.17.j_cr_lu 
(0, 4, 5), [0, 4, 5], 3.17.j_ct_lu 
(0, 2, 8), [0, 2, 8], 3.17.k_cp_nc 
(0, 3, 7), [0, 3, 7], 3.17.k_cu_nc 
(0, 4, 6), [0, 4, 6], 3.17.k_cx_nc 
(0, 5, 5), [0, 5, 5], 3.17.k_cy_nc 
(0, 3, 8), [0, 3, 8], 3.17.l_cx_ok 
(0, 4, 7), [0, 4, 7], 3.17.l_db_ok 
(0, 5, 6), [0, 5, 6], 3.17.l_dd_ok 
(0, 4, 8), [0, 4, 8], 3.17.m_df_ps 
(0, 5, 7), [0, 5, 7], 3.17.m_di_ps 
(0, 6, 6), [0, 6, 6], 3.17.m_dj_ps 
(0, 5, 8), [0, 5, 8], 3.17.n_dn_ra 
(0, 6, 7), [0, 6, 7], 3.17.n_dp_ra 
(0, 6, 8), [0, 6, 8], 3.17.o_dv_si 
(0, 7, 7), [0, 7, 7], 3.17.o_dw_si 
(0, 7, 8), [0, 7, 8], 3.17.p_ed_tq 
(0, 8, 8), [0, 8, 8], 3.17.q_el_uy 
