(-9, -9, 0), [14, 14, 0], 3.23.as_fu_abfw 
(-9, -8, 0), [14, 15, 0], 3.23.ar_fl_abec 
(-9, -7, 0), [14, 16, 0], 3.23.aq_fc_abci 
(-8, -8, 0), [15, 15, 0], 3.23.aq_fd_abci 
(-9, -6, 0), [14, 17, 0], 3.23.ap_et_abao 
(-8, -7, 0), [15, 16, 0], 3.23.ap_ev_abao 
(-9, -5, 0), [14, 18, 0], 3.23.ao_ek_ayu 
(-8, -6, 0), [15, 17, 0], 3.23.ao_en_ayu 
(-7, -7, 0), [16, 16, 0], 3.23.ao_eo_ayu 
(-9, -4, 0), [14, 19, 0], 3.23.an_eb_axa 
(-8, -5, 0), [15, 18, 0], 3.23.an_ef_axa 
(-7, -6, 0), [16, 17, 0], 3.23.an_eh_axa 
(-9, -3, 0), [14, 20, 0], 3.23.am_ds_avg 
(-8, -4, 0), [15, 19, 0], 3.23.am_dx_avg 
(-7, -5, 0), [16, 18, 0], 3.23.am_ea_avg 
(-6, -6, 0), [17, 17, 0], 3.23.am_eb_avg 
(-9, -2, 0), [14, 21, 0], 3.23.al_dj_atm 
(-8, -3, 0), [15, 20, 0], 3.23.al_dp_atm 
(-7, -4, 0), [16, 19, 0], 3.23.al_dt_atm 
(-6, -5, 0), [17, 18, 0], 3.23.al_dv_atm 
(-9, -1, 0), [14, 22, 0], 3.23.ak_da_ars 
(-8, -2, 0), [15, 21, 0], 3.23.ak_dh_ars 
(-7, -3, 0), [16, 20, 0], 3.23.ak_dm_ars 
(-6, -4, 0), [17, 19, 0], 3.23.ak_dp_ars 
(-5, -5, 0), [18, 18, 0], 3.23.ak_dq_ars 
(-8, -1, 0), [15, 22, 0], 3.23.aj_cz_apy 
(-7, -2, 0), [16, 21, 0], 3.23.aj_df_apy 
(-6, -3, 0), [17, 20, 0], 3.23.aj_dj_apy 
(-5, -4, 0), [18, 19, 0], 3.23.aj_dl_apy 
(-9, 0, 1), [14, 0, 1], 3.23.ai_ci_aoe 
(-7, -1, 0), [16, 22, 0], 3.23.ai_cy_aoe 
(-6, -2, 0), [17, 21, 0], 3.23.ai_dd_aoe 
(-5, -3, 0), [18, 20, 0], 3.23.ai_dg_aoe 
(-4, -4, 0), [19, 19, 0], 3.23.ai_dh_aoe 
(-9, 0, 2), [14, 0, 2], 3.23.ah_bz_amk 
(-8, 0, 1), [15, 0, 1], 3.23.ah_cj_amk 
(-6, -1, 0), [17, 22, 0], 3.23.ah_cx_amk 
(-5, -2, 0), [18, 21, 0], 3.23.ah_db_amk 
(-9, 0, 3), [14, 0, 3], 3.23.ag_bq_akq 
(-8, 0, 2), [15, 0, 2], 3.23.ag_cb_akq 
(-7, 0, 1), [16, 0, 1], 3.23.ag_ck_akq 
(-5, -1, 0), [18, 22, 0], 3.23.ag_cw_akq 
(-4, -2, 0), [19, 21, 0], 3.23.ag_cz_akq 
(-3, -3, 0), [20, 20, 0], 3.23.ag_da_akq 
(-9, 0, 4), [14, 0, 4], 3.23.af_bh_aiw 
(-8, 0, 3), [15, 0, 3], 3.23.af_bt_aiw 
(-7, 0, 2), [16, 0, 2], 3.23.af_cd_aiw 
(-6, 0, 1), [17, 0, 1], 3.23.af_cl_aiw 
(-9, 0, 5), [14, 0, 5], 3.23.ae_y_ahc 
(-8, 0, 4), [15, 0, 4], 3.23.ae_bl_ahc 
(-7, 0, 3), [16, 0, 3], 3.23.ae_bw_ahc 
(-6, 0, 2), [17, 0, 2], 3.23.ae_cf_ahc 
(-5, 0, 1), [18, 0, 1], 3.23.ae_cm_ahc 
(-3, -1, 0), [20, 22, 0], 3.23.ae_cu_ahc 
(-2, -2, 0), [21, 21, 0], 3.23.ae_cv_ahc 
(-9, 0, 6), [14, 0, 6], 3.23.ad_p_afi 
(-8, 0, 5), [15, 0, 5], 3.23.ad_bd_afi 
(-7, 0, 4), [16, 0, 4], 3.23.ad_bp_afi 
(-6, 0, 3), [17, 0, 3], 3.23.ad_bz_afi 
(-5, 0, 2), [18, 0, 2], 3.23.ad_ch_afi 
(-4, 0, 1), [19, 0, 1], 3.23.ad_cn_afi 
(-9, 0, 7), [14, 0, 7], 3.23.ac_g_ado 
(-8, 0, 6), [15, 0, 6], 3.23.ac_v_ado 
(-7, 0, 5), [16, 0, 5], 3.23.ac_bi_ado 
(-6, 0, 4), [17, 0, 4], 3.23.ac_bt_ado 
(-5, 0, 3), [18, 0, 3], 3.23.ac_cc_ado 
(-4, 0, 2), [19, 0, 2], 3.23.ac_cj_ado 
(-3, 0, 1), [20, 0, 1], 3.23.ac_co_ado 
