(-10, -6, -6), [15, 19, 19] 
(-10, -9, -1), [15, 16, 24] 
(-10, -8, -2), [15, 17, 23] 
(-10, -8, -1), [15, 17, 24] 
(-10, -7, -1), [15, 18, 24] 
(-10, -6, -2), [15, 19, 23] 
(-10, -4, -4), [15, 21, 21] 
(-10, -6, -1), [15, 19, 24] 
(-10, -8, 2), [15, 17, 2] 
(-10, -3, -3), [15, 22, 22] 
(-9, -5, -2), [16, 20, 23] 
(-8, -5, -3), [17, 20, 22] 
(-10, -7, 2), [15, 18, 2] 
(-8, -5, -2), [17, 20, 23] 
(-10, -8, 4), [15, 17, 4] 
(-10, -6, 2), [15, 19, 2] 
(-10, -3, -1), [15, 22, 24] 
(-10, -2, -2), [15, 23, 23] 
(-8, -5, -1), [17, 20, 24] 
(-7, -5, -2), [18, 20, 23] 
(-6, -5, -3), [19, 20, 22] 
(-10, -9, 6), [15, 16, 6] 
(-10, -8, 6), [15, 17, 6] 
(-9, -8, 5), [16, 17, 5] 
(-10, -6, 4), [15, 19, 4] 
(-10, -4, 2), [15, 21, 2] 
(-9, -5, 2), [16, 20, 2] 
(-10, -1, -1), [15, 24, 24] 
(-8, -5, 1), [17, 20, 1] 
(-6, -5, -1), [19, 20, 24] 
(-10, -9, 8), [15, 16, 8] 
(-10, -7, 6), [15, 18, 6] 
(5, -8, -8), [5, 17, 17] 
(-8, -5, 2), [17, 20, 2] 
(-10, -8, 8), [15, 17, 8] 
(-10, -6, 6), [15, 19, 6] 
(-9, -6, 5), [16, 19, 5] 
(-8, -7, 5), [17, 18, 5] 
(-10, -4, 4), [15, 21, 4] 
(-9, -5, 4), [16, 20, 4] 
(-10, -2, 2), [15, 23, 2] 
(-10, -1, 1), [15, 24, 1] 
(-8, -5, 3), [17, 20, 3] 
(-7, -5, 2), [18, 20, 2] 
(-6, -5, 1), [19, 20, 1] 
(-5, -4, -1), [20, 21, 24] 
(-5, -3, -2), [20, 22, 23] 
(-10, -7, 8), [15, 18, 8] 
(-10, -3, 4), [15, 22, 4] 
(-8, -6, 5), [17, 19, 5] 
(-8, -5, 4), [17, 20, 4] 
