(-4, -2, 0), [0, 2, 0], 3.5.ag_x_aci 
(-3, -3, 0), [1, 1, 0], 3.5.ag_y_aci 
(-3, -1, 0), [1, 3, 0], 3.5.ae_s_abo 
(-4, 0, 1), [0, 0, 1], 3.5.ad_l_abe 
(-4, 0, 2), [0, 0, 2], 3.5.ac_h_au 
(-3, 0, 1), [1, 0, 1], 3.5.ac_m_au 
(-4, 0, 3), [0, 0, 3], 3.5.ab_d_ak 
(-3, 0, 2), [1, 0, 2], 3.5.ab_j_ak 
(-4, 0, 4), [0, 0, 0], 3.5.a_ab_a 
(-3, 0, 3), [1, 0, 3], 3.5.a_g_a 
(-2, 0, 2), [2, 0, 2], 3.5.a_l_a 
(-3, 0, 4), [1, 0, 0], 3.5.b_d_k 
(-2, 0, 3), [2, 0, 3], 3.5.b_j_k 
(-2, 0, 4), [2, 0, 0], 3.5.c_h_u 
(-1, 0, 3), [3, 0, 3], 3.5.c_m_u 
(-1, 0, 4), [3, 0, 0], 3.5.d_l_be 
(0, 1, 3), [0, 1, 3], 3.5.e_s_bo 
(0, 2, 4), [0, 2, 0], 3.5.g_x_ci 
(0, 3, 3), [0, 3, 3], 3.5.g_y_ci 
