(-5, -3, 0), [3, 1, 0], 3.7.ai_bk_aei 
(-4, -4, 0), [0, 0, 0], 3.7.ai_bl_aei 
(-5, -2, 0), [3, 2, 0], 3.7.ah_bf_adu 
(-5, -1, 0), [3, 3, 0], 3.7.ag_ba_adg 
(-4, -2, 0), [0, 2, 0], 3.7.ag_bd_adg 
(-3, -3, 0), [1, 1, 0], 3.7.ag_be_adg 
(-5, 0, 1), [3, 0, 1], 3.7.ae_q_ace 
(-3, -1, 0), [1, 3, 0], 3.7.ae_y_ace 
(-2, -2, 0), [2, 2, 0], 3.7.ae_z_ace 
(-5, 0, 2), [3, 0, 2], 3.7.ad_l_abq 
(-4, 0, 1), [0, 0, 1], 3.7.ad_r_abq 
(-5, 0, 3), [3, 0, 3], 3.7.ac_g_abc 
(-4, 0, 2), [0, 0, 2], 3.7.ac_n_abc 
(-3, 0, 1), [1, 0, 1], 3.7.ac_s_abc 
(-5, 0, 4), [3, 0, 0], 3.7.ab_b_ao 
(-4, 0, 3), [0, 0, 3], 3.7.ab_j_ao 
(-3, 0, 2), [1, 0, 2], 3.7.ab_p_ao 
(-5, 0, 5), [3, 0, 1], 3.7.a_ae_a 
(-4, 0, 4), [0, 0, 0], 3.7.a_f_a 
(-3, 0, 3), [1, 0, 3], 3.7.a_m_a 
(-2, 0, 2), [2, 0, 2], 3.7.a_r_a 
(-4, 0, 5), [0, 0, 1], 3.7.b_b_o 
(-3, 0, 4), [1, 0, 0], 3.7.b_j_o 
(-2, 0, 3), [2, 0, 3], 3.7.b_p_o 
(-3, 0, 5), [1, 0, 1], 3.7.c_g_bc 
(-2, 0, 4), [2, 0, 0], 3.7.c_n_bc 
(-1, 0, 3), [3, 0, 3], 3.7.c_s_bc 
(-2, 0, 5), [2, 0, 1], 3.7.d_l_bq 
(-1, 0, 4), [3, 0, 0], 3.7.d_r_bq 
(-1, 0, 5), [3, 0, 1], 3.7.e_q_ce 
(0, 1, 3), [0, 1, 3], 3.7.e_y_ce 
(0, 2, 2), [0, 2, 2], 3.7.e_z_ce 
(0, 1, 5), [0, 1, 1], 3.7.g_ba_dg 
(0, 2, 4), [0, 2, 0], 3.7.g_bd_dg 
(0, 3, 3), [0, 3, 3], 3.7.g_be_dg 
(0, 2, 5), [0, 2, 1], 3.7.h_bf_du 
(0, 3, 5), [0, 3, 1], 3.7.i_bk_ei 
(0, 4, 4), [0, 0, 0], 3.7.i_bl_ei 
