(-5, -4, 1), [3, 0, 1], 3.8.ai_bj_aee 
(-5, -5, 4), [3, 3, 0], 3.8.ag_j_e 
(-5, -4, 3), [3, 0, 3], 3.8.ag_r_abk 
(-4, -3, 1), [0, 1, 1], 3.8.ag_bd_adg 
(-5, -4, 5), [3, 0, 1], 3.8.ae_ab_bk 
(-5, -3, 4), [3, 1, 0], 3.8.ae_h_ae 
(-4, -3, 3), [0, 1, 3], 3.8.ae_p_abc 
(-5, 0, 1), [3, 0, 1], 3.8.ae_t_acm 
(-4, -1, 1), [0, 3, 1], 3.8.ae_x_aci 
(-4, -3, 5), [0, 1, 1], 3.8.ac_b_bc 
(-5, -1, 4), [3, 3, 0], 3.8.ac_f_am 
(-5, 0, 3), [3, 0, 3], 3.8.ac_j_abg 
(-3, -3, 4), [1, 1, 0], 3.8.ac_j_e 
(-4, -1, 3), [0, 3, 3], 3.8.ac_n_au 
(-4, 1, 1), [0, 1, 1], 3.8.ac_r_abk 
(-5, 0, 5), [3, 0, 1], 3.8.a_ab_a 
(-5, 1, 4), [3, 1, 0], 3.8.a_d_au 
(-4, -1, 5), [0, 3, 1], 3.8.a_d_u 
(-4, 1, 3), [0, 1, 3], 3.8.a_l_am 
(-3, -1, 4), [1, 3, 0], 3.8.a_l_m 
(-3, 0, 3), [1, 0, 3], 3.8.a_p_a 
(-5, 3, 4), [3, 3, 0], 3.8.c_b_abc 
(-4, 1, 5), [0, 1, 1], 3.8.c_f_m 
(-4, 3, 3), [0, 3, 3], 3.8.c_j_ae 
(-3, 0, 5), [1, 0, 1], 3.8.c_j_bg 
(-3, 1, 4), [1, 1, 0], 3.8.c_n_u 
(-1, -1, 4), [3, 3, 0], 3.8.c_r_bk 
(-5, 4, 5), [3, 0, 1], 3.8.e_ab_abk 
(-4, 3, 5), [0, 3, 1], 3.8.e_h_e 
(-3, 3, 4), [1, 3, 0], 3.8.e_p_bc 
(-1, 0, 5), [3, 0, 1], 3.8.e_t_cm 
(-1, 1, 4), [3, 1, 0], 3.8.e_x_ci 
(-4, 5, 5), [0, 1, 1], 3.8.g_j_ae 
(-3, 4, 5), [1, 0, 1], 3.8.g_r_bk 
(-1, 3, 4), [3, 3, 0], 3.8.g_bd_dg 
(-1, 4, 5), [3, 0, 1], 3.8.i_bj_ee 
