(-5, -5, 0), [4, 4, 0], 3.9.ak_ca_agy 
(-6, -2, -2), [3, 7, 7], 3.9.ak_cd_ahw 
(-5, -3, -2), [4, 6, 7], 3.9.ak_cg_aic 
(-6, -4, 2), [3, 5, 2], 3.9.ai_bf_ads 
(-6, -1, -1), [3, 8, 8], 3.9.ai_bo_afu 
(-4, -4, 0), [5, 5, 0], 3.9.ai_br_afo 
(-5, -2, 0), [4, 7, 0], 3.9.ah_bl_aew 
(-6, -4, 4), [3, 5, 4], 3.9.ag_l_am 
(-5, -4, 3), [4, 5, 3], 3.9.ag_u_abw 
(-6, -2, 2), [3, 7, 2], 3.9.ag_x_adg 
(-5, -3, 2), [4, 6, 2], 3.9.ag_ba_ada 
(-5, -1, 0), [4, 8, 0], 3.9.ag_bg_aee 
(-4, -3, 1), [5, 6, 1], 3.9.ag_bg_ads 
(-4, -2, 0), [5, 7, 0], 3.9.ag_bj_aee 
(-4, -4, 3), [5, 5, 3], 3.9.af_t_abq 
(-4, -3, 2), [5, 6, 2], 3.9.af_z_aco 
(-6, -2, 4), [3, 7, 4], 3.9.ae_h_ay 
(-5, -3, 4), [4, 6, 4], 3.9.ae_k_am 
(-6, 1, 1), [3, 1, 1], 3.9.ae_q_ada 
(-5, -2, 3), [4, 7, 3], 3.9.ae_q_abq 
(-5, 0, 1), [4, 0, 1], 3.9.ae_w_acu 
(-3, -2, 1), [6, 7, 1], 3.9.ae_bc_aco 
(-6, -1, 4), [3, 8, 4], 3.9.ad_f_abe 
(-4, -3, 4), [5, 6, 4], 3.9.ad_l_ag 
(-5, 0, 2), [4, 0, 2], 3.9.ad_r_acc 
(-4, -2, 3), [5, 7, 3], 3.9.ad_r_abe 
(-4, 0, 1), [5, 0, 1], 3.9.ad_x_acc 
(-3, -2, 2), [6, 7, 2], 3.9.ad_x_abq 
(-4, -4, 6), [5, 5, 6], 3.9.ac_af_ci 
(-6, 2, 2), [3, 2, 2], 3.9.ac_h_aci 
(-4, -1, 3), [5, 8, 3], 3.9.ac_q_ay 
(-4, 0, 2), [5, 0, 2], 3.9.ac_t_abk 
(-3, -1, 2), [6, 8, 2], 3.9.ac_w_abe 
(-5, 0, 4), [4, 0, 4], 3.9.ab_h_as 
(-3, -2, 4), [6, 7, 4], 3.9.ab_n_g 
(-2, -2, 3), [7, 7, 3], 3.9.ab_t_ag 
(-5, 0, 5), [4, 0, 5], 3.9.a_c_a 
(-5, 2, 3), [4, 2, 3], 3.9.a_i_abe 
(-3, -2, 5), [6, 7, 5], 3.9.a_i_be 
(-4, 0, 4), [5, 0, 4], 3.9.a_l_a 
(-4, 1, 3), [5, 1, 3], 3.9.a_o_am 
(-3, -1, 4), [6, 8, 4], 3.9.a_o_m 
(-3, 1, 2), [6, 1, 2], 3.9.a_u_ag 
(-2, -1, 3), [7, 8, 3], 3.9.a_u_g 
(-2, 0, 2), [7, 0, 2], 3.9.a_x_a 
(-4, 0, 5), [5, 0, 5], 3.9.b_h_s 
(-4, 2, 3), [5, 2, 3], 3.9.b_n_ag 
(-3, 2, 2), [6, 2, 2], 3.9.b_t_g 
(-6, 4, 4), [3, 4, 4], 3.9.c_af_aci 
(-2, -2, 6), [7, 7, 6], 3.9.c_h_ci 
(-3, 1, 4), [6, 1, 4], 3.9.c_q_y 
(-2, 0, 4), [7, 0, 4], 3.9.c_t_bk 
(-2, 1, 3), [7, 1, 3], 3.9.c_w_be 
(-4, 1, 6), [5, 1, 6], 3.9.d_f_be 
(-4, 3, 4), [5, 3, 4], 3.9.d_l_g 
(-3, 2, 4), [6, 2, 4], 3.9.d_r_be 
(-2, 0, 5), [7, 0, 5], 3.9.d_r_cc 
(-2, 2, 3), [7, 2, 3], 3.9.d_x_bq 
(-1, 0, 4), [8, 0, 4], 3.9.d_x_cc 
(-4, 2, 6), [5, 2, 6], 3.9.e_h_y 
(-4, 3, 5), [5, 3, 5], 3.9.e_k_m 
(-3, 2, 5), [6, 2, 5], 3.9.e_q_bq 
(-1, -1, 6), [8, 8, 6], 3.9.e_q_da 
(-1, 0, 5), [8, 0, 5], 3.9.e_w_cu 
(-1, 2, 3), [8, 2, 3], 3.9.e_bc_co 
(-3, 4, 4), [6, 4, 4], 3.9.f_t_bq 
(-2, 3, 4), [7, 3, 4], 3.9.f_z_co 
(-4, 4, 6), [5, 4, 6], 3.9.g_l_m 
(-3, 4, 5), [6, 4, 5], 3.9.g_u_bw 
(-2, 2, 6), [7, 2, 6], 3.9.g_x_dg 
(-2, 3, 5), [7, 3, 5], 3.9.g_ba_da 
(-1, 3, 4), [8, 3, 4], 3.9.g_bg_ds 
(0, 1, 5), [0, 1, 5], 3.9.g_bg_ee 
(0, 2, 4), [0, 2, 4], 3.9.g_bj_ee 
(0, 2, 5), [0, 2, 5], 3.9.h_bl_ew 
(-2, 4, 6), [7, 4, 6], 3.9.i_bf_ds 
(1, 1, 6), [1, 1, 6], 3.9.i_bo_fu 
(0, 4, 4), [0, 4, 4], 3.9.i_br_fo 
(0, 5, 5), [0, 5, 5], 3.9.k_ca_gy 
(2, 2, 6), [2, 2, 6], 3.9.k_cd_hw 
(2, 3, 5), [2, 3, 5], 3.9.k_cg_ic 
