(-8, -8, -8), [8, 8, 8], 3.16.ay_jg_abxg 
(-8, -8, -4), [8, 8, 12], 3.16.au_gu_abim 
(-8, -8, 0), [8, 8, 0], 3.16.aq_ei_ats 
(-8, -4, -4), [8, 12, 12], 3.16.aq_ey_ayq 
(-8, -8, 4), [8, 8, 4], 3.16.am_bw_aey 
(-8, -4, 0), [8, 12, 0], 3.16.am_dc_aou 
(-4, -4, -4), [12, 12, 12], 3.16.am_ds_arg 
(-8, -8, 8), [8, 8, 8], 3.16.ai_aq_jw 
(-8, -4, 4), [8, 12, 4], 3.16.ai_bg_aey 
(-8, 0, 0), [8, 0, 0], 3.16.ai_bw_ajw 
(-4, -4, 0), [12, 12, 0], 3.16.ai_cm_ajw 
(-8, -4, 8), [8, 12, 8], 3.16.ae_aq_ey 
(-8, 0, 4), [8, 0, 4], 3.16.ae_q_aey 
(-4, -4, 4), [12, 12, 4], 3.16.ae_bg_acm 
(-4, 0, 0), [12, 0, 0], 3.16.ae_bw_aey 
(-8, 0, 8), [8, 0, 8], 3.16.a_aq_a 
(-8, 4, 4), [8, 4, 4], 3.16.a_a_aey 
(-4, -4, 8), [12, 12, 8], 3.16.a_a_ey 
(-4, 0, 4), [12, 0, 4], 3.16.a_bg_a 
(0, 0, 0), [0, 0, 0], 3.16.a_bw_a 
(-8, 4, 8), [8, 4, 8], 3.16.e_aq_aey 
(-4, 0, 8), [12, 0, 8], 3.16.e_q_ey 
(-4, 4, 4), [12, 4, 4], 3.16.e_bg_cm 
(0, 0, 4), [0, 0, 4], 3.16.e_bw_ey 
(-8, 8, 8), [8, 8, 8], 3.16.i_aq_ajw 
(-4, 4, 8), [12, 4, 8], 3.16.i_bg_ey 
(0, 0, 8), [0, 0, 8], 3.16.i_bw_jw 
(0, 4, 4), [0, 4, 4], 3.16.i_cm_jw 
(-4, 8, 8), [12, 8, 8], 3.16.m_bw_ey 
(0, 4, 8), [0, 4, 8], 3.16.m_dc_ou 
(4, 4, 4), [4, 4, 4], 3.16.m_ds_rg 
(0, 8, 8), [0, 8, 8], 3.16.q_ei_ts 
(4, 4, 8), [4, 4, 8], 3.16.q_ey_yq 
(4, 8, 8), [4, 8, 8], 3.16.u_gu_bim 
(8, 8, 8), [8, 8, 8], 3.16.y_jg_bxg 
