(-10, -10, -10), [15, 15, 15], 3.25.abe_ol_adse 
(-10, -10, -5), [15, 15, 20], 3.25.az_kp_acpi 
(-10, -10, 5), [15, 15, 5], 3.25.ap_cx_ajq 
(-5, -5, -5), [20, 20, 20], 3.25.ap_fu_abhr 
(-10, -10, 10), [15, 15, 10], 3.25.ak_az_tg 
(-5, -5, 5), [20, 20, 5], 3.25.af_by_aev 
(-5, 5, 5), [20, 5, 5], 3.25.f_by_ev 
(-10, 10, 10), [15, 10, 10], 3.25.k_az_atg 
(-5, 10, 10), [20, 10, 10], 3.25.p_cx_jq 
(5, 5, 5), [5, 5, 5], 3.25.p_fu_bhr 
(5, 10, 10), [5, 10, 10], 3.25.z_kp_cpi 
(10, 10, 10), [10, 10, 10], 3.25.be_ol_dse 
