(-4, -4, -4), [0, 0, 0], 3.4.am_ci_age 
(-4, -4, -2), [0, 0, 2], 3.4.ak_bs_aei 
(-4, -4, 0), [0, 0, 0], 3.4.ai_bc_acm 
(-4, -2, -2), [0, 2, 2], 3.4.ai_bg_adc 
(-4, -4, 2), [0, 0, 2], 3.4.ag_m_aq 
(-4, -2, 0), [0, 2, 0], 3.4.ag_u_abw 
(-2, -2, -2), [2, 2, 2], 3.4.ag_y_ace 
(-4, -4, 4), [0, 0, 0], 3.4.ae_ae_bg 
(-4, -2, 2), [0, 2, 2], 3.4.ae_i_aq 
(-4, 0, 0), [0, 0, 0], 3.4.ae_m_abg 
(-2, -2, 0), [2, 2, 0], 3.4.ae_q_abg 
(-4, -2, 4), [0, 2, 0], 3.4.ac_ae_q 
(-4, 0, 2), [0, 0, 2], 3.4.ac_e_aq 
(-2, -2, 2), [2, 2, 2], 3.4.ac_i_ai 
(-2, 0, 0), [2, 0, 0], 3.4.ac_m_aq 
(-4, 0, 4), [0, 0, 0], 3.4.a_ae_a 
(-4, 2, 2), [0, 2, 2], 3.4.a_a_aq 
(-2, -2, 4), [2, 2, 0], 3.4.a_a_q 
(-2, 0, 2), [2, 0, 2], 3.4.a_i_a 
(0, 0, 0), [0, 0, 0], 3.4.a_m_a 
(-4, 2, 4), [0, 2, 0], 3.4.c_ae_aq 
(-2, 0, 4), [2, 0, 0], 3.4.c_e_q 
(-2, 2, 2), [2, 2, 2], 3.4.c_i_i 
(0, 0, 2), [0, 0, 2], 3.4.c_m_q 
(-4, 4, 4), [0, 0, 0], 3.4.e_ae_abg 
(-2, 2, 4), [2, 2, 0], 3.4.e_i_q 
(0, 0, 4), [0, 0, 0], 3.4.e_m_bg 
(0, 2, 2), [0, 2, 2], 3.4.e_q_bg 
(-2, 4, 4), [2, 0, 0], 3.4.g_m_q 
(0, 2, 4), [0, 2, 0], 3.4.g_u_bw 
(2, 2, 2), [2, 2, 2], 3.4.g_y_ce 
(0, 4, 4), [0, 0, 0], 3.4.i_bc_cm 
(2, 2, 4), [2, 2, 0], 3.4.i_bg_dc 
(2, 4, 4), [2, 0, 0], 3.4.k_bs_ei 
(4, 4, 4), [0, 0, 0], 3.4.m_ci_ge 
