(-6, -6, -6), [2, 2, 2], 3.9.as_ff_auu 
(-6, -6, -3), [2, 2, 1], 3.9.ap_dv_aoo 
(-6, -6, 0), [2, 2, 0], 3.9.am_cl_aii 
(-6, -3, -3), [2, 1, 1], 3.9.am_cu_akk 
(-6, -6, 3), [2, 2, 3], 3.9.aj_bb_acc 
(-6, -3, 0), [2, 1, 0], 3.9.aj_bt_agg 
(-3, -3, -3), [1, 1, 1], 3.9.aj_cc_ahh 
(-6, -6, 6), [2, 2, 2], 3.9.ag_aj_ee 
(-6, -3, 3), [2, 1, 3], 3.9.ag_s_acc 
(-3, -3, 0), [1, 1, 0], 3.9.ag_bk_aee 
(-6, -3, 6), [2, 1, 2], 3.9.ad_aj_cc 
(-6, 0, 3), [2, 0, 3], 3.9.ad_j_acc 
(-3, -3, 3), [1, 1, 3], 3.9.ad_s_abb 
(-3, 0, 0), [1, 0, 0], 3.9.ad_bb_acc 
(-3, 0, 3), [1, 0, 3], 3.9.a_s_a 
(0, 0, 0), [0, 0, 0], 3.9.a_bb_a 
(-6, 3, 6), [2, 3, 2], 3.9.d_aj_acc 
(-3, 0, 6), [1, 0, 2], 3.9.d_j_cc 
(-3, 3, 3), [1, 3, 3], 3.9.d_s_bb 
(0, 0, 3), [0, 0, 3], 3.9.d_bb_cc 
(-6, 6, 6), [2, 2, 2], 3.9.g_aj_aee 
(-3, 3, 6), [1, 3, 2], 3.9.g_s_cc 
(0, 3, 3), [0, 3, 3], 3.9.g_bk_ee 
(-3, 6, 6), [1, 2, 2], 3.9.j_bb_cc 
(0, 3, 6), [0, 3, 2], 3.9.j_bt_gg 
(3, 3, 3), [3, 3, 3], 3.9.j_cc_hh 
(0, 6, 6), [0, 2, 2], 3.9.m_cl_ii 
(3, 3, 6), [3, 3, 2], 3.9.m_cu_kk 
(3, 6, 6), [3, 2, 2], 3.9.p_dv_oo 
(6, 6, 6), [2, 2, 2], 3.9.s_ff_uu 
