(-6, -11, 51), [2, 1, 3], 3.11.ar_ey_avc 
(-6, -10, 45), [2, 2, 1], 3.11.aq_em_asw 
(-5, -11, 51), [3, 1, 3], 3.11.aq_en_atd 
(-6, -9, 38), [2, 3, 2], 3.11.ap_dz_aqk 
(-6, -9, 39), [2, 3, 3], 3.11.ap_ea_aqq 
(-4, -11, 51), [0, 1, 3], 3.11.ap_ec_are 
(-5, -10, 45), [3, 2, 1], 3.11.ap_ec_ard 
(-6, -9, 41), [2, 3, 1], 3.11.ap_ec_arc 
(-6, -8, 32), [2, 0, 0], 3.11.ao_dn_aoe 
(-5, -9, 38), [3, 3, 2], 3.11.ao_dq_aoy 
(-6, -8, 35), [2, 0, 3], 3.11.ao_dq_aow 
(-3, -11, 51), [1, 1, 3], 3.11.ao_dr_apf 
(-5, -9, 39), [3, 3, 3], 3.11.ao_dr_apd 
(-6, -8, 36), [2, 0, 0], 3.11.ao_dr_apc 
(-4, -10, 45), [0, 2, 1], 3.11.ao_ds_apk 
(-5, -9, 41), [3, 3, 1], 3.11.ao_dt_apn 
(-6, -7, 25), [2, 1, 1], 3.11.an_da_als 
(-6, -7, 26), [2, 1, 2], 3.11.an_db_aly 
(-6, -7, 27), [2, 1, 3], 3.11.an_dc_ame 
(-6, -7, 29), [2, 1, 1], 3.11.an_de_amq 
(-5, -8, 32), [3, 0, 0], 3.11.an_df_amy 
(-6, -7, 30), [2, 1, 2], 3.11.an_df_amw 
(-2, -11, 51), [2, 1, 3], 3.11.an_dg_ang 
(-6, -7, 31), [2, 1, 3], 3.11.an_dg_anc 
(-4, -9, 38), [0, 3, 2], 3.11.an_dh_anm 
(-3, -10, 45), [1, 2, 1], 3.11.an_di_anr 
(-4, -9, 39), [0, 3, 3], 3.11.an_di_anq 
(-5, -8, 35), [3, 0, 3], 3.11.an_di_ann 
(-5, -8, 36), [3, 0, 0], 3.11.an_dj_ans 
(-4, -9, 41), [0, 3, 1], 3.11.an_dk_any 
(-6, -6, 18), [2, 2, 2], 3.11.am_cn_ajg 
(-6, -6, 19), [2, 2, 3], 3.11.am_co_ajm 
(-6, -6, 21), [2, 2, 1], 3.11.am_cq_ajy 
(-6, -6, 23), [2, 2, 3], 3.11.am_cs_akk 
(-5, -7, 25), [3, 1, 1], 3.11.am_ct_akt 
(-6, -6, 24), [2, 2, 0], 3.11.am_ct_akq 
(-6, -6, 25), [2, 2, 1], 3.11.am_cu_akw 
(-1, -11, 51), [3, 1, 3], 3.11.am_cv_alh 
(-5, -7, 27), [3, 1, 3], 3.11.am_cv_ald 
(-5, -7, 29), [3, 1, 1], 3.11.am_cx_aln 
(-2, -10, 45), [2, 2, 1], 3.11.am_cy_aly 
(-6, -6, 29), [2, 2, 1], 3.11.am_cy_alu 
(-5, -7, 30), [3, 1, 2], 3.11.am_cy_als 
(-3, -9, 39), [1, 3, 3], 3.11.am_cz_amd 
(-5, -7, 31), [3, 1, 3], 3.11.am_cz_alx 
(-4, -8, 35), [0, 0, 3], 3.11.am_da_ame 
(-3, -9, 41), [1, 3, 1], 3.11.am_db_amj 
(-4, -8, 36), [0, 0, 0], 3.11.am_db_ami 
(-6, -5, 13), [2, 3, 1], 3.11.al_cc_ahg 
(-6, -5, 14), [2, 3, 2], 3.11.al_cd_ahm 
