(-7, -11, 55), [6, 2, 3], 3.13.as_fp_azv 
(-7, -10, 48), [6, 3, 9], 3.13.ar_fb_awy 
(-7, -10, 49), [6, 3, 10], 3.13.ar_fc_axf 
(-6, -11, 55), [7, 2, 3], 3.13.ar_fe_axs 
(-7, -9, 41), [6, 4, 2], 3.13.aq_en_aub 
(-7, -9, 42), [6, 4, 3], 3.13.aq_eo_aui 
(-7, -9, 43), [6, 4, 4], 3.13.aq_ep_aup 
(-7, -9, 45), [6, 4, 6], 3.13.aq_er_avd 
(-6, -10, 48), [7, 3, 9], 3.13.aq_er_avc 
(-6, -10, 49), [7, 3, 10], 3.13.aq_es_avi 
(-5, -11, 55), [8, 2, 3], 3.13.aq_et_avp 
(-7, -8, 32), [6, 5, 6], 3.13.ap_dx_aqq 
(-7, -8, 34), [6, 5, 8], 3.13.ap_dz_are 
(-7, -8, 35), [6, 5, 9], 3.13.ap_ea_arl 
(-7, -8, 36), [6, 5, 10], 3.13.ap_eb_ars 
(-7, -8, 37), [6, 5, 11], 3.13.ap_ec_arz 
(-6, -9, 41), [7, 4, 2], 3.13.ap_ee_asm 
(-7, -8, 40), [6, 5, 1], 3.13.ap_ef_asu 
(-6, -9, 42), [7, 4, 3], 3.13.ap_ef_ass 
(-6, -9, 43), [7, 4, 4], 3.13.ap_eg_asy 
(-5, -10, 48), [8, 3, 9], 3.13.ap_eh_atg 
(-4, -11, 55), [9, 2, 3], 3.13.ap_ei_atm 
(-5, -10, 49), [8, 3, 10], 3.13.ap_ei_atl 
(-6, -9, 45), [7, 4, 6], 3.13.ap_ei_atk 
(-7, -7, 25), [6, 6, 12], 3.13.ao_dj_ant 
(-7, -7, 27), [6, 6, 1], 3.13.ao_dl_aoh 
(-7, -7, 28), [6, 6, 2], 3.13.ao_dm_aoo 
(-7, -7, 29), [6, 6, 3], 3.13.ao_dn_aov 
(-7, -7, 31), [6, 6, 5], 3.13.ao_dp_apj 
(-6, -8, 35), [7, 5, 9], 3.13.ao_ds_aqc 
(-7, -7, 35), [6, 6, 9], 3.13.ao_dt_aql 
(-6, -8, 37), [7, 5, 11], 3.13.ao_du_aqo 
(-7, -7, 37), [6, 6, 11], 3.13.ao_dv_aqz 
(-5, -9, 41), [8, 4, 2], 3.13.ao_dv_aqx 
(-3, -11, 55), [10, 2, 3], 3.13.ao_dx_arj 
(-5, -9, 43), [8, 4, 4], 3.13.ao_dx_arh 
(-6, -8, 40), [7, 5, 1], 3.13.ao_dx_arg 
(-4, -10, 49), [9, 3, 10], 3.13.ao_dy_aro 
(-5, -9, 45), [8, 4, 6], 3.13.ao_dz_arr 
(-7, -6, 18), [6, 7, 5], 3.13.an_cv_akw 
(-7, -6, 20), [6, 7, 7], 3.13.an_cx_alk 
(-7, -6, 21), [6, 7, 8], 3.13.an_cy_alr 
(-7, -6, 22), [6, 7, 9], 3.13.an_cz_aly 
(-7, -6, 23), [6, 7, 10], 3.13.an_da_amf 
(-6, -7, 25), [7, 6, 12], 3.13.an_dc_amu 
(-7, -6, 25), [6, 7, 12], 3.13.an_dc_amt 
(-7, -6, 27), [6, 7, 1], 3.13.an_de_anh 
(-7, -6, 28), [6, 7, 2], 3.13.an_df_ano 
(-6, -7, 28), [7, 6, 2], 3.13.an_df_anm 
(-7, -6, 29), [6, 7, 3], 3.13.an_dg_anv 
(-6, -7, 29), [7, 6, 3], 3.13.an_dg_ans 
(-5, -8, 32), [8, 5, 6], 3.13.an_dh_aoe 
(-7, -6, 30), [6, 7, 4], 3.13.an_dh_aoc 
(-6, -7, 30), [7, 6, 4], 3.13.an_dh_any 
(-6, -7, 31), [7, 6, 5], 3.13.an_di_aoe 
(-7, -6, 32), [6, 7, 6], 3.13.an_dj_aoq 
(-7, -6, 33), [6, 7, 7], 3.13.an_dk_aox 
(-5, -8, 35), [8, 5, 9], 3.13.an_dk_aot 
(-6, -7, 33), [7, 6, 7], 3.13.an_dk_aoq 
(-6, -7, 34), [7, 6, 8], 3.13.an_dl_aow 
(-4, -9, 41), [9, 4, 2], 3.13.an_dm_api 
(-2, -11, 55), [11, 2, 3], 3.13.an_dm_apg 
(-5, -8, 37), [8, 5, 11], 3.13.an_dm_apd 
(-6, -7, 35), [7, 6, 9], 3.13.an_dm_apc 
(-3, -10, 48), [10, 3, 9], 3.13.an_dn_apo 
(-3, -10, 49), [10, 3, 10], 3.13.an_do_apr 
(-4, -9, 43), [9, 4, 4], 3.13.an_do_apq 
(-6, -7, 37), [7, 6, 11], 3.13.an_do_apo 
(-5, -8, 40), [8, 5, 1], 3.13.an_dp_aps 
(-4, -9, 45), [9, 4, 6], 3.13.an_dq_apy 
(-7, -5, 11), [6, 8, 11], 3.13.am_ch_ahz 
(-7, -5, 14), [6, 8, 1], 3.13.am_ck_aiu 
(-7, -5, 15), [6, 8, 2], 3.13.am_cl_ajb 
(-7, -5, 18), [6, 8, 5], 3.13.am_co_ajw 
(-7, -5, 21), [6, 8, 8], 3.13.am_cr_akr 
(-7, -5, 22), [6, 8, 9], 3.13.am_cs_aky 
(-7, -5, 23), [6, 8, 10], 3.13.am_ct_alf 
(-6, -6, 25), [7, 7, 12], 3.13.am_cw_alu 
(-6, -6, 27), [7, 7, 1], 3.13.am_cy_amg 
(-7, -5, 29), [6, 8, 3], 3.13.am_cz_amv 
(-4, -8, 35), [9, 5, 9], 3.13.am_dc_ank 
(-3, -9, 41), [10, 4, 2], 3.13.am_dd_ant 
(-5, -7, 33), [8, 6, 7], 3.13.am_dd_anj 
(-3, -9, 42), [10, 4, 3], 3.13.am_de_anw 
(-3, -9, 43), [10, 4, 4], 3.13.am_df_anz 
(-5, -7, 35), [8, 6, 9], 3.13.am_df_ant 
(-3, -9, 45), [10, 4, 6], 3.13.am_dh_aof 
(-5, -7, 37), [8, 6, 11], 3.13.am_dh_aod 
(-7, -4, 3), [6, 9, 3], 3.13.al_bs_aev 
(-7, -4, 4), [6, 9, 4], 3.13.al_bt_afc 
(-7, -4, 6), [6, 9, 6], 3.13.al_bv_afq 
(-7, -4, 7), [6, 9, 7], 3.13.al_bw_afx 
(-7, -4, 8), [6, 9, 8], 3.13.al_bx_age 
(-7, -4, 9), [6, 9, 9], 3.13.al_by_agl 
(-7, -4, 11), [6, 9, 11], 3.13.al_ca_agz 
(-6, -5, 11), [7, 8, 11], 3.13.al_cc_aho 
(-7, -4, 15), [6, 9, 2], 3.13.al_ce_aib 
(-7, -4, 17), [6, 9, 4], 3.13.al_cg_aip 
(-6, -5, 16), [7, 8, 3], 3.13.al_ch_ais 
(-7, -4, 19), [6, 9, 6], 3.13.al_ci_ajd 
(-6, -5, 17), [7, 8, 4], 3.13.al_ci_aiy 
(-7, -4, 20), [6, 9, 7], 3.13.al_cj_ajk 
(-6, -5, 18), [7, 8, 5], 3.13.al_cj_aje 
(-6, -5, 19), [7, 8, 6], 3.13.al_ck_ajk 
(-7, -4, 23), [6, 9, 10], 3.13.al_cm_akf 
(-5, -6, 21), [8, 7, 8], 3.13.al_cm_akb 
(-6, -5, 21), [7, 8, 8], 3.13.al_cm_ajw 
(-6, -5, 22), [7, 8, 9], 3.13.al_cn_akc 
(-7, -4, 25), [6, 9, 12], 3.13.al_co_akt 
(-5, -6, 23), [8, 7, 10], 3.13.al_co_akl 
(-6, -5, 23), [7, 8, 10], 3.13.al_co_aki 
(-7, -4, 27), [6, 9, 1], 3.13.al_cq_alh 
(-5, -6, 25), [8, 7, 12], 3.13.al_cq_akv 
(-5, -6, 27), [8, 7, 1], 3.13.al_cs_alf 
(-5, -6, 28), [8, 7, 2], 3.13.al_ct_alk 
