(-8, -13, 75), [0, 3, 3], 3.17.av_ho_aboc 
(-8, -12, 65), [0, 0, 1], 3.17.au_gw_abjs 
(-8, -12, 67), [0, 0, 3], 3.17.au_gy_abki 
(-7, -13, 75), [1, 3, 3], 3.17.au_hb_ablf 
(-8, -11, 57), [0, 1, 1], 3.17.at_gg_abfy 
(-8, -11, 59), [0, 1, 3], 3.17.at_gi_abgo 
(-8, -11, 60), [0, 1, 0], 3.17.at_gj_abgw 
(-7, -12, 65), [1, 0, 1], 3.17.at_gk_abhf 
(-8, -11, 61), [0, 1, 1], 3.17.at_gk_abhe 
(-8, -11, 63), [0, 1, 3], 3.17.at_gm_abhu 
(-7, -12, 67), [1, 0, 3], 3.17.at_gm_abht 
(-6, -13, 75), [2, 3, 3], 3.17.at_go_abii 
(-8, -10, 49), [0, 2, 1], 3.17.as_fq_abce 
(-8, -10, 53), [0, 2, 1], 3.17.as_fu_abdk 
(-7, -11, 57), [1, 1, 1], 3.17.as_fv_abdt 
(-8, -10, 54), [0, 2, 2], 3.17.as_fv_abds 
(-8, -10, 56), [0, 2, 0], 3.17.as_fx_abei 
(-7, -11, 59), [1, 1, 3], 3.17.as_fx_abeh 
(-6, -12, 65), [2, 0, 1], 3.17.as_fy_abes 
(-8, -10, 57), [0, 2, 1], 3.17.as_fy_abeq 
(-7, -11, 61), [1, 1, 1], 3.17.as_fz_abev 
(-6, -12, 67), [2, 0, 3], 3.17.as_ga_abfe 
(-5, -13, 75), [3, 3, 3], 3.17.as_gb_abfl 
(-7, -11, 63), [1, 1, 3], 3.17.as_gb_abfj 
(-8, -9, 41), [0, 3, 1], 3.17.ar_fa_ayk 
(-8, -9, 43), [0, 3, 3], 3.17.ar_fc_aza 
(-8, -9, 44), [0, 3, 0], 3.17.ar_fd_azi 
(-8, -9, 45), [0, 3, 1], 3.17.ar_fe_azq 
(-8, -9, 46), [0, 3, 2], 3.17.ar_ff_azy 
(-7, -10, 49), [1, 2, 1], 3.17.ar_fg_abah 
(-8, -9, 47), [0, 3, 3], 3.17.ar_fg_abag 
(-8, -9, 50), [0, 3, 2], 3.17.ar_fj_abbe 
(-7, -10, 52), [1, 2, 0], 3.17.ar_fj_abbc 
(-6, -11, 57), [2, 1, 1], 3.17.ar_fk_abbo 
