(-8, -15, 93), [11, 4, 17] 
(-8, -14, 85), [11, 5, 9] 
(-7, -15, 93), [12, 4, 17] 
(-8, -13, 77), [11, 6, 1] 
(-6, -15, 93), [13, 4, 17] 
(-7, -14, 85), [12, 5, 9] 
(-8, -13, 79), [11, 6, 3] 
(-8, -12, 67), [11, 7, 10] 
(-8, -12, 68), [11, 7, 11] 
(-8, -12, 69), [11, 7, 12] 
(-8, -12, 71), [11, 7, 14] 
(-5, -15, 93), [14, 4, 17] 
(-7, -13, 77), [12, 6, 1] 
(-6, -14, 85), [13, 5, 9] 
(-7, -13, 79), [12, 6, 3] 
(-8, -11, 58), [11, 8, 1] 
(-8, -11, 59), [11, 8, 2] 
(-8, -11, 60), [11, 8, 3] 
(-8, -11, 61), [11, 8, 4] 
(-7, -12, 67), [12, 7, 10] 
(-8, -11, 63), [11, 8, 6] 
(-7, -12, 68), [12, 7, 11] 
(-8, -11, 64), [11, 8, 7] 
(-4, -15, 93), [15, 4, 17] 
(-7, -12, 69), [12, 7, 12] 
(-8, -11, 65), [11, 8, 8] 
(-5, -14, 85), [14, 5, 9] 
(-6, -13, 77), [13, 6, 1] 
(-8, -11, 67), [11, 8, 10] 
(-7, -12, 71), [12, 7, 14] 
(-7, -12, 72), [12, 7, 15] 
(-6, -13, 79), [13, 6, 3] 
(-8, -10, 53), [11, 9, 15] 
(-8, -10, 55), [11, 9, 17] 
(-8, -10, 56), [11, 9, 18] 
(-7, -11, 60), [12, 8, 3] 
(-3, -15, 93), [16, 4, 17] 
(-7, -11, 61), [12, 8, 4] 
(-6, -12, 67), [13, 7, 10] 
(-7, -11, 63), [12, 8, 6] 
(-6, -12, 69), [13, 7, 12] 
(-8, -10, 61), [11, 9, 4] 
(-7, -11, 64), [12, 8, 7] 
(-5, -13, 77), [14, 6, 1] 
(-7, -11, 65), [12, 8, 8] 
(-6, -12, 71), [13, 7, 14] 
(-5, -13, 79), [14, 6, 3] 
(-6, -12, 72), [13, 7, 15] 
(-7, -11, 67), [12, 8, 10] 
(-8, -9, 41), [11, 10, 3] 
(-8, -9, 42), [11, 10, 4] 
(-8, -9, 43), [11, 10, 5] 
