(-9, -16, 108), [3, 0, 0], 3.23.az_kp_acns 
(-9, -15, 98), [3, 1, 2], 3.23.ay_jw_acim 
(-9, -15, 99), [3, 1, 3], 3.23.ay_jx_aciv 
(-8, -16, 108), [0, 0, 0], 3.23.ay_jz_acjo 
(-9, -15, 101), [3, 1, 1], 3.23.ay_jz_acjn 
(-9, -14, 89), [3, 2, 1], 3.23.ax_je_acdp 
(-9, -14, 90), [3, 2, 2], 3.23.ax_jf_acdy 
(-8, -15, 98), [0, 1, 2], 3.23.ax_jh_aces 
(-8, -15, 99), [0, 1, 3], 3.23.ax_ji_acfa 
(-9, -14, 93), [3, 2, 1], 3.23.ax_ji_acez 
(-7, -16, 108), [1, 0, 0], 3.23.ax_jj_acfk 
(-8, -15, 101), [0, 1, 1], 3.23.ax_jk_acfq 
(-9, -13, 79), [3, 3, 3], 3.23.aw_il_abyj 
(-9, -13, 80), [3, 3, 0], 3.23.aw_im_abys 
(-9, -13, 81), [3, 3, 1], 3.23.aw_in_abzb 
(-9, -13, 83), [3, 3, 3], 3.23.aw_ip_abzt 
(-8, -14, 89), [0, 2, 1], 3.23.aw_iq_acae 
(-8, -14, 90), [0, 2, 2], 3.23.aw_ir_acam 
(-9, -13, 85), [3, 3, 1], 3.23.aw_ir_acal 
(-7, -15, 98), [1, 1, 2], 3.23.aw_is_acay 
(-7, -15, 99), [1, 1, 3], 3.23.aw_it_acbf 
(-9, -13, 87), [3, 3, 3], 3.23.aw_it_acbd 
(-8, -14, 93), [0, 2, 1], 3.23.aw_iu_acbk 
(-7, -15, 101), [1, 1, 1], 3.23.aw_iv_acbt 
(-9, -12, 70), [3, 0, 2], 3.23.av_ht_abtm 
(-9, -12, 71), [3, 0, 3], 3.23.av_hu_abtv 
(-9, -12, 72), [3, 0, 0], 3.23.av_hv_abue 
(-9, -12, 74), [3, 0, 2], 3.23.av_hx_abuw 
(-8, -13, 79), [0, 3, 3], 3.23.av_hy_abvi 
(-9, -12, 75), [3, 0, 3], 3.23.av_hy_abvf 
(-8, -13, 80), [0, 3, 0], 3.23.av_hz_abvq 
(-9, -12, 76), [3, 0, 0], 3.23.av_hz_abvo 
(-8, -13, 81), [0, 3, 1], 3.23.av_ia_abvy 
(-9, -12, 77), [3, 0, 1], 3.23.av_ia_abvx 
(-7, -14, 89), [1, 2, 1], 3.23.av_ic_abwt 
(-9, -12, 79), [3, 0, 3], 3.23.av_ic_abwp 
(-8, -13, 83), [0, 3, 3], 3.23.av_ic_abwo 
(-6, -15, 98), [2, 1, 2], 3.23.av_id_abxe 
(-5, -16, 108), [3, 0, 0], 3.23.av_id_abxc 
(-7, -14, 90), [1, 2, 2], 3.23.av_id_abxa 
(-8, -13, 84), [0, 3, 0], 3.23.av_id_abww 
(-6, -15, 99), [2, 1, 3], 3.23.av_ie_abxk 
(-8, -13, 85), [0, 3, 1], 3.23.av_ie_abxe 
(-6, -15, 101), [2, 1, 1], 3.23.av_ig_abxw 
(-7, -14, 93), [1, 2, 1], 3.23.av_ig_abxv 
(-8, -13, 87), [0, 3, 3], 3.23.av_ig_abxu 
(-9, -11, 60), [3, 1, 0], 3.23.au_ha_abog 
(-9, -11, 61), [3, 1, 1], 3.23.au_hb_abop 
(-9, -11, 63), [3, 1, 3], 3.23.au_hd_abph 
(-9, -11, 65), [3, 1, 1], 3.23.au_hf_abpz 
(-9, -11, 66), [3, 1, 2], 3.23.au_hg_abqi 
(-9, -11, 67), [3, 1, 3], 3.23.au_hh_abqr 
(-7, -13, 80), [1, 3, 0], 3.23.au_hm_abso 
(-7, -13, 81), [1, 3, 1], 3.23.au_hn_absv 
(-9, -11, 73), [3, 1, 1], 3.23.au_hn_abst 
(-5, -15, 98), [3, 1, 2], 3.23.au_ho_abtk 
(-6, -14, 89), [2, 2, 1], 3.23.au_ho_abti 
(-8, -12, 77), [0, 0, 1], 3.23.au_ho_absy 
(-5, -15, 99), [3, 1, 3], 3.23.au_hp_abtp 
(-9, -11, 75), [3, 1, 3], 3.23.au_hp_abtl 
(-7, -13, 83), [1, 3, 3], 3.23.au_hp_abtj 
(-8, -12, 79), [0, 0, 3], 3.23.au_hq_abto 
(-5, -15, 101), [3, 1, 1], 3.23.au_hr_abtz 
(-7, -13, 85), [1, 3, 1], 3.23.au_hr_abtx 
(-8, -12, 80), [0, 0, 0], 3.23.au_hr_abtw 
(-6, -14, 93), [2, 2, 1], 3.23.au_hs_abug 
(-7, -13, 87), [1, 3, 3], 3.23.au_ht_abul 
(-9, -10, 50), [3, 2, 2], 3.23.at_gh_abja 
(-9, -10, 51), [3, 2, 3], 3.23.at_gi_abjj 
(-9, -10, 52), [3, 2, 0], 3.23.at_gj_abjs 
(-9, -10, 53), [3, 2, 1], 3.23.at_gk_abkb 
(-9, -10, 54), [3, 2, 2], 3.23.at_gl_abkk 
(-9, -10, 56), [3, 2, 0], 3.23.at_gn_ablc 
(-9, -10, 57), [3, 2, 1], 3.23.at_go_abll 
(-9, -10, 58), [3, 2, 2], 3.23.at_gp_ablu 
(-9, -10, 59), [3, 2, 3], 3.23.at_gq_abmd 
(-8, -11, 62), [0, 1, 2], 3.23.at_gr_abmo 
(-9, -10, 61), [3, 2, 1], 3.23.at_gs_abmv 
(-9, -10, 63), [3, 2, 3], 3.23.at_gu_abnn 
(-9, -10, 64), [3, 2, 0], 3.23.at_gv_abnw 
(-7, -12, 71), [1, 0, 3], 3.23.at_gw_aboj 
(-9, -10, 65), [3, 2, 1], 3.23.at_gw_abof 
(-8, -11, 67), [0, 1, 3], 3.23.at_gw_aboc 
(-7, -12, 72), [1, 0, 0], 3.23.at_gx_aboq 
(-8, -11, 68), [0, 1, 0], 3.23.at_gx_abok 
(-6, -13, 79), [2, 3, 3], 3.23.at_gy_abpg 
