(-9, -17, 121), [16, 8, 21], 3.25.aba_ln_acwp 
(-9, -16, 111), [16, 9, 11], 3.25.az_ku_acrf 
(-9, -16, 112), [16, 9, 12], 3.25.az_kv_acro 
(-8, -17, 121), [17, 8, 21], 3.25.az_kw_acry 
(-9, -15, 101), [16, 10, 1], 3.25.ay_kb_aclv 
(-9, -15, 102), [16, 10, 2], 3.25.ay_kc_acme 
(-9, -15, 103), [16, 10, 3], 3.25.ay_kd_acmn 
(-8, -16, 111), [17, 9, 11], 3.25.ay_ke_acmy 
(-7, -17, 121), [18, 8, 21], 3.25.ay_kf_acnh 
(-8, -16, 112), [17, 9, 12], 3.25.ay_kf_acng 
(-9, -14, 91), [16, 11, 16], 3.25.ax_ji_acgl 
(-9, -14, 92), [16, 11, 17], 3.25.ax_jj_acgu 
(-9, -14, 93), [16, 11, 18], 3.25.ax_jk_achd 
(-9, -14, 94), [16, 11, 19], 3.25.ax_jl_achm 
(-8, -15, 101), [17, 10, 1], 3.25.ax_jm_achy 
(-8, -15, 102), [17, 10, 2], 3.25.ax_jn_acig 
(-9, -14, 96), [16, 11, 21], 3.25.ax_jn_acie 
(-7, -16, 111), [18, 9, 11], 3.25.ax_jo_acir 
(-6, -17, 121), [19, 8, 21], 3.25.ax_jo_aciq 
(-8, -15, 103), [17, 10, 3], 3.25.ax_jo_acio 
(-9, -14, 97), [16, 11, 22], 3.25.ax_jo_acin 
(-7, -16, 112), [18, 9, 12], 3.25.ax_jp_aciy 
(-9, -13, 82), [16, 12, 7], 3.25.aw_iq_acbk 
(-9, -13, 83), [16, 12, 8], 3.25.aw_ir_acbt 
(-9, -13, 84), [16, 12, 9], 3.25.aw_is_accc 
(-8, -14, 91), [17, 11, 16], 3.25.aw_iu_accy 
(-9, -13, 87), [16, 12, 12], 3.25.aw_iv_acdd 
(-8, -14, 93), [17, 11, 18], 3.25.aw_iw_acdo 
(-7, -15, 101), [18, 10, 1], 3.25.aw_ix_aceb 
(-9, -13, 89), [16, 12, 14], 3.25.aw_ix_acdv 
(-6, -16, 111), [19, 9, 11], 3.25.aw_iy_acek 
(-6, -16, 112), [19, 9, 12], 3.25.aw_iz_aceq 
(-7, -15, 103), [18, 10, 3], 3.25.aw_iz_acep 
(-9, -13, 91), [16, 12, 16], 3.25.aw_iz_acen 
(-8, -14, 97), [17, 11, 22], 3.25.aw_ja_aceu 
(-9, -12, 71), [16, 13, 21], 3.25.av_hw_abvr 
(-9, -12, 72), [16, 13, 22], 3.25.av_hx_abwa 
(-9, -12, 73), [16, 13, 23], 3.25.av_hy_abwj 
(-9, -12, 74), [16, 13, 24], 3.25.av_hz_abws 
(-9, -12, 76), [16, 13, 1], 3.25.av_ib_abxk 
(-8, -13, 81), [17, 12, 6], 3.25.av_ic_abxy 
(-8, -13, 82), [17, 12, 7], 3.25.av_id_abyg 
(-9, -12, 78), [16, 13, 3], 3.25.av_id_abyc 
(-8, -13, 83), [17, 12, 8], 3.25.av_ie_abyo 
(-9, -12, 79), [16, 13, 4], 3.25.av_ie_abyl 
(-7, -14, 91), [18, 11, 16], 3.25.av_ig_abzl 
(-9, -12, 81), [16, 13, 6], 3.25.av_ig_abzd 
(-7, -14, 92), [18, 11, 17], 3.25.av_ih_abzs 
(-6, -15, 101), [19, 10, 1], 3.25.av_ii_acae 
(-7, -14, 93), [18, 11, 18], 3.25.av_ii_abzz 
(-9, -12, 83), [16, 13, 8], 3.25.av_ii_abzv 
(-8, -13, 87), [17, 12, 12], 3.25.av_ii_abzu 
(-6, -15, 102), [19, 10, 2], 3.25.av_ij_acak 
(-7, -14, 94), [18, 11, 19], 3.25.av_ij_acag 
(-9, -12, 84), [16, 13, 9], 3.25.av_ij_acae 
(-8, -13, 88), [17, 12, 13], 3.25.av_ij_acac 
(-6, -15, 103), [19, 10, 3], 3.25.av_ik_acaq 
(-8, -13, 89), [17, 12, 14], 3.25.av_ik_acak 
(-7, -14, 96), [18, 11, 21], 3.25.av_il_acau 
(-7, -14, 97), [18, 11, 22], 3.25.av_im_acbb 
(-8, -13, 91), [17, 12, 16], 3.25.av_im_acba 
(-9, -11, 61), [16, 14, 11], 3.25.au_hd_abqh 
(-9, -11, 63), [16, 14, 13], 3.25.au_hf_abqz 
(-9, -11, 67), [16, 14, 17], 3.25.au_hj_absj 
(-8, -12, 71), [17, 13, 21], 3.25.au_hk_absy 
(-9, -11, 69), [16, 14, 19], 3.25.au_hl_abtb 
(-9, -11, 71), [16, 14, 21], 3.25.au_hn_abtt 
(-9, -11, 73), [16, 14, 23], 3.25.au_hp_abul 
(-7, -13, 83), [18, 12, 8], 3.25.au_hr_abvj 
(-6, -14, 91), [19, 11, 16], 3.25.au_hs_abvy 
(-8, -12, 79), [17, 13, 4], 3.25.au_hs_abvk 
(-9, -11, 77), [16, 14, 2], 3.25.au_ht_abvv 
(-8, -12, 81), [17, 13, 6], 3.25.au_hu_abwa 
(-8, -12, 83), [17, 13, 8], 3.25.au_hw_abwq 
(-7, -13, 89), [18, 12, 14], 3.25.au_hx_abwz 
(-6, -14, 97), [19, 11, 22], 3.25.au_hy_abxi 
(-7, -13, 91), [18, 12, 16], 3.25.au_hz_abxn 
(-9, -10, 51), [16, 15, 1], 3.25.at_gk_abkx 
(-9, -10, 52), [16, 15, 2], 3.25.at_gl_ablg 
(-9, -10, 53), [16, 15, 3], 3.25.at_gm_ablp 
(-9, -10, 56), [16, 15, 6], 3.25.at_gp_abmq 
(-9, -10, 57), [16, 15, 7], 3.25.at_gq_abmz 
(-9, -10, 58), [16, 15, 8], 3.25.at_gr_abni 
(-9, -10, 61), [16, 15, 11], 3.25.at_gu_aboj 
(-9, -10, 62), [16, 15, 12], 3.25.at_gv_abos 
(-9, -10, 63), [16, 15, 13], 3.25.at_gw_abpb 
(-9, -10, 64), [16, 15, 14], 3.25.at_gx_abpk 
(-7, -12, 71), [18, 13, 21], 3.25.at_gy_abqf 
(-7, -12, 72), [18, 13, 22], 3.25.at_gz_abqm 
(-7, -12, 73), [18, 13, 23], 3.25.at_ha_abqt 
(-9, -10, 67), [16, 15, 17], 3.25.at_ha_abql 
(-9, -10, 68), [16, 15, 18], 3.25.at_hb_abqu 
(-3, -16, 111), [22, 9, 11], 3.25.at_hc_abrp 
(-9, -10, 69), [16, 15, 19], 3.25.at_hc_abrd 
(-8, -11, 71), [17, 14, 21], 3.25.at_hc_abra 
(-3, -16, 112), [22, 9, 12], 3.25.at_hd_abrs 
(-8, -11, 72), [17, 14, 22], 3.25.at_hd_abri 
(-4, -15, 101), [21, 10, 1], 3.25.at_he_absk 
(-8, -11, 73), [17, 14, 23], 3.25.at_he_abrq 
(-9, -10, 72), [16, 15, 22], 3.25.at_hf_abse 
(-9, -10, 73), [16, 15, 23], 3.25.at_hg_absn 
(-7, -12, 79), [18, 13, 4], 3.25.at_hg_absj 
(-8, -11, 76), [17, 14, 1], 3.25.at_hh_abso 
(-7, -12, 81), [18, 13, 6], 3.25.at_hi_absx 
(-8, -11, 77), [17, 14, 2], 3.25.at_hi_absw 
(-6, -13, 88), [19, 12, 13], 3.25.at_hj_abti 
(-6, -13, 89), [19, 12, 14], 3.25.at_hk_abto 
(-7, -12, 83), [18, 13, 8], 3.25.at_hk_abtl 
(-7, -12, 84), [18, 13, 9], 3.25.at_hl_abts 
(-6, -13, 91), [19, 12, 16], 3.25.at_hm_abua 
(-9, -9, 41), [16, 16, 16], 3.25.as_fr_abfn 
(-9, -9, 43), [16, 16, 18], 3.25.as_ft_abgf 
(-9, -9, 47), [16, 16, 22], 3.25.as_fx_abhp 
(-9, -9, 49), [16, 16, 24], 3.25.as_fz_abih 
(-9, -9, 51), [16, 16, 1], 3.25.as_gb_abiz 
(-9, -9, 53), [16, 16, 3], 3.25.as_gd_abjr 
(-4, -14, 91), [21, 11, 16], 3.25.as_gq_aboy 
(-8, -10, 67), [17, 15, 17], 3.25.as_gq_abnw 
(-4, -14, 92), [21, 11, 17], 3.25.as_gr_abpc 
(-7, -11, 71), [18, 14, 21], 3.25.as_gr_aboh 
(-4, -14, 93), [21, 11, 18], 3.25.as_gs_abpg 
(-7, -11, 73), [18, 14, 23], 3.25.as_gt_abov 
(-8, -10, 73), [17, 15, 23], 3.25.as_gw_abps 
(-7, -11, 77), [18, 14, 2], 3.25.as_gx_abpx 
(-7, -11, 79), [18, 14, 4], 3.25.as_gz_abql 
(-9, -8, 31), [16, 17, 6], 3.25.ar_ey_abad 
(-9, -8, 33), [16, 17, 8], 3.25.ar_fa_abav 
(-9, -8, 36), [16, 17, 11], 3.25.ar_fd_abbw 
(-9, -8, 37), [16, 17, 12], 3.25.ar_fe_abcf 
(-9, -8, 38), [16, 17, 13], 3.25.ar_ff_abco 
(-9, -8, 39), [16, 17, 14], 3.25.ar_fg_abcx 
(-9, -8, 42), [16, 17, 17], 3.25.ar_fj_abdy 
(-9, -8, 43), [16, 17, 18], 3.25.ar_fk_abeh 
(-9, -8, 44), [16, 17, 19], 3.25.ar_fl_abeq 
(-9, -8, 47), [16, 17, 22], 3.25.ar_fo_abfr 
(-7, -10, 51), [18, 15, 1], 3.25.ar_fq_abgz 
(-9, -8, 49), [16, 17, 24], 3.25.ar_fq_abgj 
(-7, -10, 53), [18, 15, 3], 3.25.ar_fs_abhn 
(-9, -8, 51), [16, 17, 1], 3.25.ar_fs_abhb 
(-9, -8, 53), [16, 17, 3], 3.25.ar_fu_abht 
(-8, -9, 54), [17, 16, 4], 3.25.ar_fv_abhy 
(-1, -16, 111), [24, 9, 11], 3.25.ar_fw_abjb 
(-7, -10, 57), [18, 15, 7], 3.25.ar_fw_abip 
(-8, -9, 56), [17, 16, 6], 3.25.ar_fx_abio 
(-8, -9, 57), [17, 16, 7], 3.25.ar_fy_abiw 
(-9, -8, 59), [16, 17, 9], 3.25.ar_ga_abjv 
(-7, -10, 61), [18, 15, 11], 3.25.ar_ga_abjr 
(-8, -9, 59), [17, 16, 9], 3.25.ar_ga_abjm 
