(-2, -4, 8), [2, 0, 0], 3.3.ag_t_abo 
(-2, -3, 5), [2, 1, 1], 3.3.af_o_abc 
(-1, -4, 8), [3, 0, 0], 3.3.af_p_abg 
(-2, -3, 7), [2, 1, 3], 3.3.af_q_abg 
(-2, -2, 1), [2, 2, 1], 3.3.ae_i_ao 
(-1, -3, 5), [3, 1, 1], 3.3.ae_l_ax 
(-2, -2, 5), [2, 2, 1], 3.3.ae_m_aw 
(-1, -3, 7), [3, 1, 3], 3.3.ae_n_az 
(-1, -2, 1), [3, 2, 1], 3.3.ad_g_an 
(-2, -1, 1), [2, 3, 1], 3.3.ad_g_ai 
(-2, -1, 2), [2, 3, 2], 3.3.ad_h_ak 
(-1, -2, 4), [3, 2, 0], 3.3.ad_j_aq 
(-1, -2, 5), [3, 2, 1], 3.3.ad_k_ar 
(-2, -1, 5), [2, 3, 1], 3.3.ad_k_aq 
(-2, 0, -5), [2, 0, 3], 3.3.ac_ac_k 
(-2, 0, -4), [2, 0, 0], 3.3.ac_ab_i 
(-2, 0, -1), [2, 0, 3], 3.3.ac_c_c 
(-2, 0, 1), [2, 0, 1], 3.3.ac_e_ac 
(1, -3, 5), [1, 1, 1], 3.3.ac_f_an 
(-1, -1, 5), [3, 3, 1], 3.3.ac_j_al 
(-1, 0, -5), [3, 0, 3], 3.3.ab_ac_f 
(-1, 0, -4), [3, 0, 0], 3.3.ab_ab_e 
(-2, 1, -2), [2, 1, 2], 3.3.ab_ab_k 
(-2, 1, -1), [2, 1, 3], 3.3.ab_a_i 
(1, -2, 1), [1, 2, 1], 3.3.ab_c_al 
(-1, 0, -1), [3, 0, 3], 3.3.ab_c_b 
(-2, 1, 1), [2, 1, 1], 3.3.ab_c_e 
(1, -2, 2), [1, 2, 2], 3.3.ab_d_ak 
(-2, 1, 2), [2, 1, 2], 3.3.ab_d_c 
(-1, 0, 1), [3, 0, 1], 3.3.ab_e_ab 
(1, -2, 4), [1, 2, 0], 3.3.ab_f_ai 
(1, -2, 5), [1, 2, 1], 3.3.ab_g_ah 
(-2, 1, 5), [2, 1, 1], 3.3.ab_g_ae 
(-1, 0, 4), [3, 0, 0], 3.3.ab_h_ae 
(2, -2, 1), [2, 2, 1], 3.3.a_a_ak 
(-2, 2, 1), [2, 2, 1], 3.3.a_a_k 
(1, -1, -1), [1, 3, 3], 3.3.a_b_ah 
(-1, 1, -1), [3, 1, 3], 3.3.a_b_h 
(1, -1, 1), [1, 3, 1], 3.3.a_d_af 
(-1, 1, 1), [3, 1, 1], 3.3.a_d_f 
(1, -1, 5), [1, 3, 1], 3.3.a_h_ab 
(-1, 1, 5), [3, 1, 1], 3.3.a_h_b 
(1, 0, -5), [1, 0, 3], 3.3.b_ac_af 
(2, -1, -2), [2, 3, 2], 3.3.b_ab_ak 
(1, 0, -4), [1, 0, 0], 3.3.b_ab_ae 
(2, -1, -1), [2, 3, 3], 3.3.b_a_ai 
(2, -1, 1), [2, 3, 1], 3.3.b_c_ae 
(1, 0, -1), [1, 0, 3], 3.3.b_c_ab 
(-1, 2, 1), [3, 2, 1], 3.3.b_c_l 
(2, -1, 2), [2, 3, 2], 3.3.b_d_ac 
(-1, 2, 2), [3, 2, 2], 3.3.b_d_k 
(1, 0, 1), [1, 0, 1], 3.3.b_e_b 
(-1, 2, 4), [3, 2, 0], 3.3.b_f_i 
(2, -1, 5), [2, 3, 1], 3.3.b_g_e 
(-1, 2, 5), [3, 2, 1], 3.3.b_g_h 
(1, 0, 4), [1, 0, 0], 3.3.b_h_e 
(2, 0, -5), [2, 0, 3], 3.3.c_ac_ak 
(2, 0, -4), [2, 0, 0], 3.3.c_ab_ai 
(2, 0, -1), [2, 0, 3], 3.3.c_c_ac 
(2, 0, 1), [2, 0, 1], 3.3.c_e_c 
(-1, 3, 5), [3, 3, 1], 3.3.c_f_n 
(1, 1, 5), [1, 1, 1], 3.3.c_j_l 
(2, 1, 1), [2, 1, 1], 3.3.d_g_i 
(1, 2, 1), [1, 2, 1], 3.3.d_g_n 
(2, 1, 2), [2, 1, 2], 3.3.d_h_k 
(1, 2, 4), [1, 2, 0], 3.3.d_j_q 
(2, 1, 5), [2, 1, 1], 3.3.d_k_q 
(1, 2, 5), [1, 2, 1], 3.3.d_k_r 
(2, 2, 1), [2, 2, 1], 3.3.e_i_o 
(1, 3, 5), [1, 3, 1], 3.3.e_l_x 
(2, 2, 5), [2, 2, 1], 3.3.e_m_w 
(1, 3, 7), [1, 3, 3], 3.3.e_n_z 
(2, 3, 5), [2, 3, 1], 3.3.f_o_bc 
(1, 4, 8), [1, 0, 0], 3.3.f_p_bg 
(2, 3, 7), [2, 3, 3], 3.3.f_q_bg 
(2, 4, 8), [2, 0, 0], 3.3.g_t_bo 
