(-3, -5, 13), [1, 3, 1], 3.4.ai_bg_adb 
(-3, -4, 9), [1, 0, 1], 3.4.ah_z_ach 
(-3, -3, 5), [1, 1, 1], 3.4.ag_s_abn 
(-3, -3, 7), [1, 1, 3], 3.4.ag_u_abt 
(-1, -5, 13), [3, 3, 1], 3.4.ag_w_acb 
(-3, -3, 9), [1, 1, 1], 3.4.ag_w_abz 
(-3, -1, 1), [1, 3, 1], 3.4.ae_i_al 
(-3, -1, 3), [1, 3, 3], 3.4.ae_k_ar 
(-1, -3, 5), [3, 1, 1], 3.4.ae_m_abd 
(-1, -3, 9), [3, 1, 1], 3.4.ae_q_abh 
(-3, 0, -7), [1, 0, 1], 3.4.ad_ad_v 
(-3, 0, -5), [1, 0, 3], 3.4.ad_ab_p 
(-3, 0, -3), [1, 0, 1], 3.4.ad_b_j 
(-3, 1, -3), [1, 1, 1], 3.4.ac_ac_r 
(-3, 1, -1), [1, 1, 3], 3.4.ac_a_l 
(1, -3, 5), [1, 1, 1], 3.4.ac_g_at 
(1, -3, 9), [1, 1, 1], 3.4.ac_k_ap 
(-1, -1, 7), [3, 3, 3], 3.4.ac_m_ap 
(-1, 0, -7), [3, 0, 1], 3.4.ab_ad_h 
(1, -1, 5), [1, 3, 1], 3.4.a_i_ad 
(-1, 1, 5), [3, 1, 1], 3.4.a_i_d 
(1, -1, 7), [1, 3, 3], 3.4.a_k_ab 
(-1, 1, 7), [3, 1, 3], 3.4.a_k_b 
(1, 0, -7), [1, 0, 1], 3.4.b_ad_ah 
(3, -1, -3), [3, 3, 1], 3.4.c_ac_ar 
(3, -1, -1), [3, 3, 3], 3.4.c_a_al 
(-1, 3, 5), [3, 3, 1], 3.4.c_g_t 
(-1, 3, 9), [3, 3, 1], 3.4.c_k_p 
(1, 1, 7), [1, 1, 3], 3.4.c_m_p 
(3, 0, -7), [3, 0, 1], 3.4.d_ad_av 
(3, 0, -5), [3, 0, 3], 3.4.d_ab_ap 
(3, 0, -3), [3, 0, 1], 3.4.d_b_aj 
(3, 1, 1), [3, 1, 1], 3.4.e_i_l 
(3, 1, 3), [3, 1, 3], 3.4.e_k_r 
(1, 3, 5), [1, 3, 1], 3.4.e_m_bd 
(1, 3, 9), [1, 3, 1], 3.4.e_q_bh 
(3, 3, 5), [3, 3, 1], 3.4.g_s_bn 
(3, 3, 7), [3, 3, 3], 3.4.g_u_bt 
(3, 3, 9), [3, 3, 1], 3.4.g_w_bz 
(1, 5, 13), [1, 1, 1], 3.4.g_w_cb 
(3, 4, 9), [3, 0, 1], 3.4.h_z_ch 
(3, 5, 13), [3, 1, 1], 3.4.i_bg_db 
