(-4, -6, 17), [0, 2, 1], 3.5.ak_bu_aey 
(-4, -5, 13), [0, 3, 1], 3.5.aj_bm_ady 
(-3, -6, 17), [1, 2, 1], 3.5.aj_bo_aeh 
(-4, -4, 8), [0, 0, 0], 3.5.ai_bd_acu 
(-4, -4, 9), [0, 0, 1], 3.5.ai_be_acy 
(-4, -4, 11), [0, 0, 3], 3.5.ai_bg_adg 
(-3, -5, 13), [1, 3, 1], 3.5.ai_bh_adl 
(-4, -4, 12), [0, 0, 0], 3.5.ai_bh_adk 
(-2, -6, 17), [2, 2, 1], 3.5.ai_bi_adq 
(-4, -3, 4), [0, 1, 0], 3.5.ah_v_abu 
(-4, -3, 7), [0, 1, 3], 3.5.ah_y_acg 
(-3, -4, 8), [1, 0, 0], 3.5.ah_z_acm 
(-4, -3, 8), [0, 1, 0], 3.5.ah_z_ack 
(-3, -4, 9), [1, 0, 1], 3.5.ah_ba_acp 
(-4, -3, 9), [0, 1, 1], 3.5.ah_ba_aco 
(-1, -6, 17), [3, 2, 1], 3.5.ah_bc_acz 
(-2, -5, 13), [2, 3, 1], 3.5.ah_bc_acy 
(-4, -3, 11), [0, 1, 3], 3.5.ah_bc_acw 
(-3, -4, 11), [1, 0, 3], 3.5.ah_bc_acv 
(-3, -4, 12), [1, 0, 0], 3.5.ah_bd_acy 
(-4, -2, 1), [0, 2, 1], 3.5.ag_o_ay 
(-4, -2, 3), [0, 2, 3], 3.5.ag_q_abg 
(-3, -3, 7), [1, 1, 3], 3.5.ag_v_abz 
(-4, -2, 9), [0, 2, 1], 3.5.ag_w_ace 
(-1, -5, 13), [3, 3, 1], 3.5.ag_x_acl 
(-3, -3, 9), [1, 1, 1], 3.5.ag_x_acf 
(-3, -3, 11), [1, 1, 3], 3.5.ag_z_acl 
(-4, -1, -4), [0, 3, 0], 3.5.af_f_g 
(-4, -1, -3), [0, 3, 1], 3.5.af_g_c 
(-4, -1, -1), [0, 3, 3], 3.5.af_i_ag 
(-3, -2, -1), [1, 2, 3], 3.5.af_k_ar 
(-4, -1, 1), [0, 3, 1], 3.5.af_k_ao 
(-4, -1, 2), [0, 3, 2], 3.5.af_l_as 
(-3, -2, 1), [1, 2, 1], 3.5.af_m_ax 
(-3, -2, 3), [1, 2, 3], 3.5.af_o_abd 
(-3, -2, 4), [1, 2, 0], 3.5.af_p_abg 
(1, -6, 17), [1, 2, 1], 3.5.af_q_abr 
