(-5, -9, 35), [3, 3, 3], 3.8.ao_dk_amh 
(-5, -7, 25), [3, 1, 1], 3.8.am_cq_ajd 
(-3, -9, 35), [1, 3, 3], 3.8.am_cs_ajp 
(-5, -7, 27), [3, 1, 3], 3.8.am_cs_ajn 
(-5, -6, 19), [3, 2, 3], 3.8.al_cf_ahj 
(-5, -6, 23), [3, 2, 3], 3.8.al_cj_aid 
(-5, -5, 13), [3, 3, 1], 3.8.ak_bu_afp 
(-5, -5, 15), [3, 3, 3], 3.8.ak_bw_afz 
(-5, -5, 17), [3, 3, 1], 3.8.ak_by_agj 
(-1, -9, 35), [3, 3, 3], 3.8.ak_ca_agx 
(-5, -5, 19), [3, 3, 3], 3.8.ak_ca_agt 
(-3, -7, 25), [1, 1, 1], 3.8.ak_cc_ahf 
(-5, -5, 21), [3, 3, 1], 3.8.ak_cc_ahd 
(-3, -7, 27), [1, 1, 3], 3.8.ak_ce_ahl 
(-5, -4, 7), [3, 0, 3], 3.8.aj_bj_adv 
(-5, -3, 1), [3, 1, 1], 3.8.ai_y_acb 
(-5, -3, 3), [3, 1, 3], 3.8.ai_ba_acl 
(-5, -3, 5), [3, 1, 1], 3.8.ai_bc_acv 
(-5, -3, 7), [3, 1, 3], 3.8.ai_be_adf 
(1, -9, 35), [1, 3, 3], 3.8.ai_bi_aef 
(-5, -3, 13), [3, 1, 1], 3.8.ai_bk_aej 
(-3, -5, 17), [1, 3, 1], 3.8.ai_bo_afb 
(-3, -5, 19), [1, 3, 3], 3.8.ai_bq_afh 
(-3, -5, 21), [1, 3, 1], 3.8.ai_bs_afn 
(-5, -2, -1), [3, 2, 3], 3.8.ah_r_abb 
(-5, -2, 3), [3, 2, 3], 3.8.ah_v_abv 
(-3, -4, 17), [1, 0, 1], 3.8.ah_bl_ael 
(-5, -1, -7), [3, 3, 1], 3.8.ag_g_t 
(-5, -1, -5), [3, 3, 3], 3.8.ag_i_j 
(-5, -1, -3), [3, 3, 1], 3.8.ag_k_ab 
(-3, -3, 1), [1, 1, 1], 3.8.ag_s_abz 
(-5, -1, 15), [3, 3, 3], 3.8.ag_bc_adn 
(-1, -5, 17), [3, 3, 1], 3.8.ag_be_adt 
(-1, -5, 19), [3, 3, 3], 3.8.ag_bg_adv 
(-3, -3, 15), [1, 1, 3], 3.8.ag_bg_adp 
(-1, -5, 21), [3, 3, 1], 3.8.ag_bi_adx 
(-3, -3, 17), [1, 1, 1], 3.8.ag_bi_adv 
(-5, 0, -15), [3, 0, 1], 3.8.af_ah_cx 
(-5, 0, -13), [3, 0, 3], 3.8.af_af_cn 
(-5, 0, -7), [3, 0, 1], 3.8.af_b_bj 
(-5, 1, -9), [3, 1, 3], 3.8.ae_ag_cj 
(-5, 1, -7), [3, 1, 1], 3.8.ae_ae_bz 
(-5, 1, -3), [3, 1, 1], 3.8.ae_a_bf 
(-1, -3, 1), [3, 1, 1], 3.8.ae_m_abx 
(-3, -1, 9), [1, 3, 1], 3.8.ae_u_abr 
(-3, -1, 11), [1, 3, 3], 3.8.ae_w_abx 
(-1, -3, 17), [3, 1, 1], 3.8.ae_bc_acn 
(-3, 0, -15), [1, 0, 1], 3.8.ad_ah_bt 
(-3, 0, -7), [1, 0, 1], 3.8.ad_b_v 
(1, -4, 9), [1, 0, 1], 3.8.ad_n_acd 
(-1, -2, 15), [3, 2, 3], 3.8.ad_z_abv 
(-3, 1, -9), [1, 1, 3], 3.8.ac_ae_br 
(1, -3, 1), [1, 1, 1], 3.8.ac_g_abv 
(-3, 1, 3), [1, 1, 3], 3.8.ac_i_h 
(-3, 1, 5), [1, 1, 1], 3.8.ac_k_b 
(1, -3, 9), [1, 1, 1], 3.8.ac_o_abn 
(1, -3, 11), [1, 1, 3], 3.8.ac_q_abl 
(1, -3, 13), [1, 1, 1], 3.8.ac_s_abj 
(-3, 1, 15), [1, 1, 3], 3.8.ac_u_abd 
(-1, -1, 15), [3, 3, 3], 3.8.ac_y_abf 
(1, -2, 15), [1, 2, 3], 3.8.ab_v_ar 
(3, -3, 1), [3, 1, 1], 3.8.a_a_abt 
(-3, 3, 1), [1, 3, 1], 3.8.a_a_bt 
(1, -1, 13), [1, 3, 1], 3.8.a_u_ad 
(-1, 1, 13), [3, 1, 1], 3.8.a_u_d 
(1, -1, 15), [1, 3, 3], 3.8.a_w_ab 
(-1, 1, 15), [3, 1, 3], 3.8.a_w_b 
(-1, 2, 15), [3, 2, 3], 3.8.b_v_r 
(3, -1, -9), [3, 3, 3], 3.8.c_ae_abr 
(-1, 3, 1), [3, 3, 1], 3.8.c_g_bv 
(3, -1, 3), [3, 3, 3], 3.8.c_i_ah 
(3, -1, 5), [3, 3, 1], 3.8.c_k_ab 
(-1, 3, 9), [3, 3, 1], 3.8.c_o_bn 
(-1, 3, 11), [3, 3, 3], 3.8.c_q_bl 
(-1, 3, 13), [3, 3, 1], 3.8.c_s_bj 
(3, -1, 15), [3, 3, 3], 3.8.c_u_bd 
(1, 1, 15), [1, 1, 3], 3.8.c_y_bf 
(3, 0, -15), [3, 0, 1], 3.8.d_ah_abt 
(3, 0, -7), [3, 0, 1], 3.8.d_b_av 
(-1, 4, 9), [3, 0, 1], 3.8.d_n_cd 
(1, 2, 15), [1, 2, 3], 3.8.d_z_bv 
(5, -1, -9), [1, 3, 3], 3.8.e_ag_acj 
(5, -1, -7), [1, 3, 1], 3.8.e_ae_abz 
(5, -1, -3), [1, 3, 1], 3.8.e_a_abf 
(1, 3, 1), [1, 3, 1], 3.8.e_m_bx 
(3, 1, 9), [3, 1, 1], 3.8.e_u_br 
(3, 1, 11), [3, 1, 3], 3.8.e_w_bx 
(1, 3, 17), [1, 3, 1], 3.8.e_bc_cn 
(5, 0, -15), [1, 0, 1], 3.8.f_ah_acx 
(5, 0, -13), [1, 0, 3], 3.8.f_af_acn 
(5, 0, -7), [1, 0, 1], 3.8.f_b_abj 
(5, 1, -7), [1, 1, 1], 3.8.g_g_at 
(5, 1, -5), [1, 1, 3], 3.8.g_i_aj 
(5, 1, -3), [1, 1, 1], 3.8.g_k_b 
(3, 3, 1), [3, 3, 1], 3.8.g_s_bz 
(5, 1, 15), [1, 1, 3], 3.8.g_bc_dn 
(1, 5, 17), [1, 1, 1], 3.8.g_be_dt 
(3, 3, 15), [3, 3, 3], 3.8.g_bg_dp 
(1, 5, 19), [1, 1, 3], 3.8.g_bg_dv 
(3, 3, 17), [3, 3, 1], 3.8.g_bi_dv 
(1, 5, 21), [1, 1, 1], 3.8.g_bi_dx 
(5, 2, -1), [1, 2, 3], 3.8.h_r_bb 
(5, 2, 3), [1, 2, 3], 3.8.h_v_bv 
(3, 4, 17), [3, 0, 1], 3.8.h_bl_el 
(5, 3, 1), [1, 3, 1], 3.8.i_y_cb 
(5, 3, 3), [1, 3, 3], 3.8.i_ba_cl 
(5, 3, 5), [1, 3, 1], 3.8.i_bc_cv 
(5, 3, 7), [1, 3, 3], 3.8.i_be_df 
(-1, 9, 35), [3, 1, 3], 3.8.i_bi_ef 
(5, 3, 13), [1, 3, 1], 3.8.i_bk_ej 
(3, 5, 17), [3, 1, 1], 3.8.i_bo_fb 
(3, 5, 19), [3, 1, 3], 3.8.i_bq_fh 
(3, 5, 21), [3, 1, 1], 3.8.i_bs_fn 
(5, 4, 7), [1, 0, 3], 3.8.j_bj_dv 
(5, 5, 13), [1, 1, 1], 3.8.k_bu_fp 
(5, 5, 15), [1, 1, 3], 3.8.k_bw_fz 
(5, 5, 17), [1, 1, 1], 3.8.k_by_gj 
(5, 5, 19), [1, 1, 3], 3.8.k_ca_gt 
(1, 9, 35), [1, 1, 3], 3.8.k_ca_gx 
(5, 5, 21), [1, 1, 1], 3.8.k_cc_hd 
(3, 7, 25), [3, 3, 1], 3.8.k_cc_hf 
(3, 7, 27), [3, 3, 3], 3.8.k_ce_hl 
(5, 6, 19), [1, 2, 3], 3.8.l_cf_hj 
(5, 6, 23), [1, 2, 3], 3.8.l_cj_id 
(5, 7, 25), [1, 3, 1], 3.8.m_cq_jd 
(5, 7, 27), [1, 3, 3], 3.8.m_cs_jn 
(3, 9, 35), [3, 1, 3], 3.8.m_cs_jp 
(5, 9, 35), [1, 1, 3], 3.8.o_dk_mh 
