(-5, -9, 37), [3, 3, 1], 3.9.ao_dn_anj 
(-5, -8, 31), [3, 0, 3], 3.9.an_dc_aln 
(-5, -8, 32), [3, 0, 0], 3.9.an_dd_als 
(-4, -9, 37), [0, 3, 1], 3.9.an_de_aly 
(-5, -7, 25), [3, 1, 1], 3.9.am_cr_ajr 
(-5, -7, 26), [3, 1, 2], 3.9.am_cs_ajw 
(-4, -8, 31), [0, 0, 3], 3.9.am_cu_aki 
(-4, -8, 32), [0, 0, 0], 3.9.am_cv_akm 
(-5, -7, 29), [3, 1, 1], 3.9.am_cv_akl 
(-5, -6, 19), [3, 2, 3], 3.9.al_cg_ahv 
(-5, -6, 20), [3, 2, 0], 3.9.al_ch_aia 
(-5, -6, 22), [3, 2, 2], 3.9.al_cj_aik 
(-4, -7, 25), [0, 1, 1], 3.9.al_ck_ais 
(-4, -7, 26), [0, 1, 2], 3.9.al_cl_aiw 
(-2, -9, 37), [2, 3, 1], 3.9.al_cm_ajc 
(-5, -6, 25), [3, 2, 1], 3.9.al_cm_aiz 
(-4, -7, 29), [0, 1, 1], 3.9.al_co_aji 
(-5, -5, 14), [3, 3, 2], 3.9.ak_bw_age 
(-5, -5, 17), [3, 3, 1], 3.9.ak_bz_agt 
(-4, -6, 19), [0, 2, 3], 3.9.ak_ca_ahc 
(-5, -5, 19), [3, 3, 3], 3.9.ak_cb_ahd 
(-1, -9, 37), [3, 3, 1], 3.9.ak_cd_ahr 
(-2, -8, 31), [2, 0, 3], 3.9.ak_ce_ahy 
(-5, -5, 23), [3, 3, 3], 3.9.ak_cf_ahx 
(-4, -6, 25), [0, 2, 1], 3.9.ak_cg_aia 
(-5, -4, 7), [3, 0, 3], 3.9.aj_bk_aed 
(-5, -4, 8), [3, 0, 0], 3.9.aj_bl_aei 
(-5, -4, 10), [3, 0, 2], 3.9.aj_bn_aes 
(-5, -4, 11), [3, 0, 3], 3.9.aj_bo_aex 
(-4, -5, 14), [0, 3, 2], 3.9.aj_br_afq 
(-5, -4, 14), [3, 0, 2], 3.9.aj_br_afm 
(-5, -4, 16), [3, 0, 0], 3.9.aj_bt_afw 
(-4, -5, 17), [0, 3, 1], 3.9.aj_bu_agc 
(-5, -4, 17), [3, 0, 1], 3.9.aj_bu_agb 
(-2, -7, 25), [2, 1, 1], 3.9.aj_bw_agu 
(-1, -8, 31), [3, 0, 3], 3.9.aj_bw_agt 
(-5, -4, 19), [3, 0, 3], 3.9.aj_bw_agl 
(-4, -5, 19), [0, 3, 3], 3.9.aj_bw_agk 
(-2, -7, 26), [2, 1, 2], 3.9.aj_bx_agw 
(-5, -4, 20), [3, 0, 0], 3.9.aj_bx_agq 
(-4, -5, 20), [0, 3, 0], 3.9.aj_bx_ago 
(-2, -7, 29), [2, 1, 1], 3.9.aj_ca_ahc 
(-4, -5, 23), [0, 3, 3], 3.9.aj_ca_aha 
(-5, -3, 5), [3, 1, 1], 3.9.ai_bd_adb 
(-5, -3, 7), [3, 1, 3], 3.9.ai_bf_adl 
(-4, -4, 7), [0, 0, 3], 3.9.ai_bg_adw 
(-5, -3, 10), [3, 1, 2], 3.9.ai_bi_aea 
(-5, -3, 11), [3, 1, 3], 3.9.ai_bj_aef 
(-1, -7, 25), [3, 1, 1], 3.9.ai_bp_afv 
(-4, -4, 17), [0, 0, 1], 3.9.ai_bq_afk 
(-5, -3, 19), [3, 1, 3], 3.9.ai_br_aft 
(-4, -4, 19), [0, 0, 3], 3.9.ai_bs_afs 
(-2, -6, 25), [2, 2, 1], 3.9.ai_bu_agc 
(-5, -2, -5), [3, 2, 3], 3.9.ah_o_al 
(-5, -2, -4), [3, 2, 0], 3.9.ah_p_aq 
(-5, -2, -1), [3, 2, 3], 3.9.ah_s_abf 
(-5, -2, 1), [3, 2, 1], 3.9.ah_u_abp 
